nameOfIssuer,sprice,sshPrnamt
ARES MGMT L P,12.9224652087,60360
ARGO GROUP INTL HLDGS LTD,59.8396671062,219169
ARIAD PHARMACEUTICALS INC,6.24990230457,383846
ARISTA NETWORKS INC,77.8489477018,28414
ARM HLDGS PLC,45.240001178,373519
ARMADA HOFFLER PPTYS INC,10.4743405885,55087
ARMCO METALS HLDGS INC,0.41095890411,29200
ARMOUR RESIDENTIAL REIT INC,21.7600562744,216084
ARMSTRONG WORLD INDS INC NEW,45.7300217478,3134571
AROTECH CORP,2.07100591716,10140
ARQULE INC,2.1634468889,32818
ARRAY BIOPHARMA INC,4.21872959206,689070
ARRIS GROUP INC NEW,30.5701820728,2518827
ARROW ELECTRS INC,54.1796299888,732194
ARROWHEAD RESH CORP,6.1487171826,254362
ARTISAN PARTNERS ASSET MGMT,36.0603197136,459286
ASANKO GOLD INC,1.46165777229,380390
ASBURY AUTOMOTIVE GROUP INC,67.4403417373,614039
ASCENA RETAIL GROUP INC,9.8499019977,1006609
ASCENT CAP GROUP INC,16.7137951929,19804
ASCENT SOLAR TECHNOLOGIES IN,0.155303618574,19317
ASHFORD HOSPITALITY PRIME IN,14.4940423262,56230
ASHFORD HOSPITALITY TR INC,6.30653196404,179655
ASHFORD INC,53.2427973093,15758
ASHLAND INC NEW,102.699811613,1682710
ASML HOLDING N V,88.7719754753,122978
ASPEN INSURANCE HOLDINGS LTD,48.2993993944,358638
ASPEN TECHNOLOGY INC,37.762125138,211111
ASSOCIATED BANC CORP,10.3876046523,859871
ASSOCIATED CAP GROUP INC,30.495774157,22954
ASSURANT INC,80.5403717193,842087
ASSURED GUARANTY LTD,26.4300445547,2074306
ASTA FDG INC,7.98851090566,11141
ASTEC INDS INC,40.6967898981,13146
ASTORIA FINL CORP,15.8489578926,129977
ASTRAZENECA PLC,33.9502954779,1668822
ASTRONICS CORP,40.6992440605,14816
AT&T INC,34.4100124312,23802171
ATHENAHEALTH INC,160.934658981,25849
ATHERSYS INC,1.03860648684,33699
ATLANTIC COAST FINL CORP,5.88012139605,15816
ATLANTIC PWR CORP,1.96974374807,161950
ATLANTIC TELE NETWORK INC,78.2191780822,14600
ATLANTICUS HLDGS CORP,3.19616460248,27533
ATLAS AIR WORLDWIDE HLDGS IN,41.3415290686,169031
ATLAS ENERGY GROUP LLC,0.95642193858,57506
ATLASSIAN CORP PLC,30.0893276916,10635
ATMEL CORP,8.61006302018,692794
ATMOS ENERGY CORP,63.0401747837,840353
ATOSSA GENETICS INC,0.308088729554,35704
ATRICURE INC,22.4603462889,16518
ATRION CORP,381.112984823,5930
ATWOOD OCEANICS INC,10.2291245765,972615
ATYR PHARMA INC,9.81199910119,13351
AU OPTRONICS CORP,2.90867436324,89044
AUTHENTIDATE HLDG CORP,0.704284396747,59635
AUTODESK INC,60.9293078843,1048264
AUTOHOME INC,34.9203679057,606351
AUTOLIV INC,124.769379044,326835
AUTOMATIC DATA PROCESSING IN,84.7197695786,1674497
AUTONATION INC,59.6604231607,1160032
AUTOZONE INC,741.905293484,177369
AVAGO TECHNOLOGIES LTD,145.149759627,1391797
AVALANCHE BIOTECHNOLOGIES IN,9.52200611356,184835
AVALONBAY CMNTYS INC,184.130217194,1427707
AVANGRID INC,38.4003092769,636323
AVEO PHARMACEUTICALS INC,1.26349039221,18995
AVERY DENNISON CORP,62.6602865358,1473533
AVG TECHNOLOGIES N V,20.0484203365,49979
AVIANCA HLDGS SA,4.27018207949,2006706
AVIAT NETWORKS INC,0.762270904451,60346
AVID TECHNOLOGY INC,7.29288214702,13712
AVIS BUDGET GROUP,36.2916001973,362949
AVISTA CORP,35.3747954582,80057
AVIVA PLC,15.2091176319,484775
AVNET INC,42.8399406553,1459946
AVOLON HLDGS LTD,30.9598629955,1202880
AVON PRODS INC,4.05012174664,2181169
AVX CORP NEW,12.1323714877,39646
AWARE INC MASS,3.25169503252,14454
AXALTA COATING SYS LTD,26.6500387062,12611689
AXCELIS TECHNOLOGIES INC,2.60926288324,9198
AXIALL CORP,15.3997374462,760987
AXIS CAPITAL HOLDINGS LTD,56.2204409918,1056573
AXOGEN INC,5.00797448166,31350
AXSOME THERAPEUTICS INC,9.25243592893,24426
AZZ INC,55.566073457,73948
B & G FOODS INC NEW,35.0017399374,34484
B2GOLD CORP,1.02160383758,372943
BABCOCK & WILCOX ENTERPRIS I,20.8695585566,261098
BADGER METER INC,58.6116863239,11107
BAIDU INC,189.040498394,1416871
BAKER HUGHES INC,46.1499203268,3205596
BALCHEM CORP,60.7746104454,24451
BALL CORP,72.7301918035,2840251
BALLARD PWR SYS INC NEW,1.56045749827,904222
BANCO BILBAO VIZCAYA ARGENTA,7.33005264206,3660001
BANCO BRADESCO S A,4.81039034701,16643140
BANCO DE CHILE,59.405642331,66391
BANCO MACRO SA,58.1182526632,279740
BANCO SANTANDER BRASIL S A,3.88947758497,1959132
BANCO SANTANDER CHILE NEW,17.6366968813,140219
BANCO SANTANDER SA,4.8698531094,4528268
BANCOLOMBIA S A,26.7446064843,165940
BANCORP INC DEL,6.3801208865,38714
BANCORPSOUTH INC,23.9899110719,3030649
BANK AMER CORP,16.963385232,67684957
BANK COMM HLDGS,6.68141969529,23498
BANK HAWAII CORP,62.9026263627,193728
BANK MONTREAL QUE,56.419697448,548071
BANK N S HALIFAX,40.4398676178,606728
BANK NEW YORK MELLON CORP,41.2201031617,4776383
BANK OF THE OZARKS INC,49.4599909064,1693490
BANKRATE INC DEL,13.3151979383,13969
BANKUNITED INC,36.0581176986,378611
BANNER CORP,45.8600063896,2256803
BANRO CORP,0.199942238909,90026
BARCLAYS BANK PLC,32.8417513563,65435
BARCLAYS BK PLC,19.3609690119,529364
BARCLAYS PLC,12.9594552656,1308234
BARD C R INC,189.439553373,702868
BARNES & NOBLE ED INC,9.95120157503,130537
BARNES & NOBLE INC,8.71005557312,249941
BARNES GROUP INC,35.3903234748,1406910
BARRETT BILL CORP,3.92921212121,515625
BARRETT BUSINESS SERVICES IN,43.5207823961,6135
BARRICK GOLD CORP,7.37983886881,4743464
BASIC ENERGY SVCS INC NEW,2.68040062885,1334502
BAXALTA INC,39.0301265539,5000240
BAXTER INTL INC,38.1499123249,2952379
BAY BANCORP INC,5.06173786333,13039
BAYTEX ENERGY CORP,3.24078881874,279253
BAZAARVOICE INC,4.37904315064,70335
BB&T CORP,37.8102235213,2088615
BBCN BANCORP INC,17.2170237172,94151
BBVA BANCO FRANCES S A,19.0799700269,663261
BCE INC,38.6202540993,1814566
BE AEROSPACE INC,42.3696861945,2983855
BEACON ROOFING SUPPLY INC,41.1801662072,1426172
BEASLEY BROADCAST GROUP INC,3.57524012807,18740
BEAZER HOMES USA INC,11.4891203795,530763
BEBE STORES INC,0.562703264633,104851
BECTON DICKINSON & CO,154.09035982,426185
BED BATH & BEYOND INC,48.249805661,1749520
BELDEN INC,47.6724258722,92779
BELLATRIX EXPLORATION LTD,1.20908848445,393685
BELLICUM PHARMACEUTICALS INC,20.2667702668,77220
BELMOND LTD,9.50317682827,54929
BEMIS INC,44.6896372283,983897
BENCHMARK ELECTRS INC,20.6721199764,371273
BENEFICIAL BANCORP INC,13.322585373,68230
BENEFITFOCUS INC,36.3900312449,6242946
BERKLEY W R CORP,54.7501113704,3400815
BERKSHIRE HATHAWAY INC DEL,136.315539318,3235882
BERKSHIRE HILLS BANCORP INC,29.1107644306,32050
BERRY PLASTICS GROUP INC,36.1803328412,2380354
BEST BUY INC,30.4499201358,2630089
BGC PARTNERS INC,9.80999260952,1235373
BHP BILLITON LTD,25.7595715875,1856902
BHP BILLITON PLC,22.6480129765,246600
BIG LOTS INC,38.5374059621,351321
BIGLARI HLDGS INC,326.059850374,1604
BIO PATH HOLDINGS INC,1.25177634245,194923
BIO RAD LABS INC,138.648739162,80621
BIO TECHNE CORP,90.0026326181,121552
BIOCRYST PHARMACEUTICALS,10.3198325764,1082285
BIODEL INC,0.330223726575,24226
BIODELIVERY SCIENCES INTL IN,4.7892943359,128829
BIOGEN INC,306.350185877,1541073
BIOLASE INC,0.841897462695,34446
BIOMARIN PHARMACEUTICAL INC,104.760966271,1065540
BIOMED REALTY TRUST INC,23.6900869272,2476901
BIOSCRIP INC,1.74810481905,118986
BIOSPECIFICS TECHNOLOGIES CO,42.982044361,34084
BIOTA PHARMACEUTIALS INC,1.94018765252,131946
BIOTELEMETRY INC,11.6646598435,13288
BITAUTO HLDGS LTD,28.2860968534,17924
BJS RESTAURANTS INC,43.4674946189,209996
BLACK BOX CORP DEL,9.54722985679,20739
BLACK DIAMOND INC,4.41752760955,14035
BLACK HILLS CORP,46.4302954476,1116577
BLACK KNIGHT FINL SVCS INC,33.0599556829,5706148
BLACK STONE MINERALS L P,14.4301047017,479553
BLACKBAUD INC,65.8507434144,104585
BLACKBERRY LTD,9.28025762244,3507769
BLACKHAWK NETWORK HLDGS INC,44.2015811948,47306
BLACKROCK CAPITAL INVESTMENT,9.41763945772,45659
BLACKROCK CORE BD TR,12.6546416092,10589
BLACKROCK CR ALLCTN INC TR,12.3777373842,11553
BLACKROCK ENH CAP & INC FD I,14.1644908616,15320
BLACKROCK ENHANCED EQT DIV T,7.6229269712,17185
BLACKROCK GLOBAL OPP EQTY TR,12.7557018575,17012
BLACKROCK INC,340.518912879,608580
BLACKROCK INTL GRWTH & INC T,6.24943392809,11041
BLACKROCK RES & COMM STRAT T,7.10921934432,22084
BLACKSTONE GROUP L P,29.2401186644,3814793
BLACKSTONE GSO STRATEGIC CR,13.3681069449,124999
BLACKSTONE MTG TR INC,26.7600037751,4291255
BLDRS INDEX FDS TR,23.120961203,81398
BLOCK H & R INC,33.3098636694,1856297
BLOOMIN BRANDS INC,16.8897429473,2318863
BLOUNT INTL INC NEW,9.80762273292,127146
BLUCORA INC,9.80150672258,332908
BLUE BUFFALO PET PRODS INC,18.7099188895,3980990
BLUE EARTH INC,0.502979774116,65609
BLUEBIRD BIO INC,64.2211145944,266034
BLUELINX HLDGS INC,0.528590528901,32161
BLUEPRINT MEDICINES CORP,26.3447113179,93719
BMC STK HLDGS INC,16.7509103756,91995
BNC BANCORP,25.3804859478,338843
BOARDWALK PIPELINE PARTNERS,12.9799846164,7934447
BOB EVANS FARMS INC,38.8492327702,64583
BOEING CO,144.589980457,4435252
BOFI HLDG INC,21.0444058772,110053
BOINGO WIRELESS INC,6.60934981193,18610
BOISE CASCADE CO DEL,25.5341598523,18955
BOJANGLES INC,15.8656850227,73618
BOK FINL CORP,59.7874043816,171123
BON-TON STORES INC,2.09929482503,659269
BONA FILM GROUP LTD,13.2027972028,17875
BONANZA CREEK ENERGY INC,5.27036446923,401680
BOOT BARN HLDGS INC,12.2904293546,1567073
BOOZ ALLEN HAMILTON HLDG COR,30.8505687694,386800
BORGWARNER INC,43.2299761901,8172246
BOSTON BEER INC,201.882210079,23058
BOSTON PRIVATE FINL HLDGS IN,11.3402087816,2779843
BOSTON PROPERTIES INC,127.541007053,1132671
BOSTON SCIENTIFIC CORP,18.4401713893,4853046
BOTTOMLINE TECH DEL INC,29.7303945843,939039
BOULDER BRANDS INC,10.9947416453,23011
BOULDER GROWTH & INCOME FD I,7.73947649667,677436
BOX INC,13.9650964344,54493
BOYD GAMING CORP,19.871169983,261585
BP PLC,31.2601325059,7281639
BP PRUDHOE BAY RTY TR,24.9776984835,10089
BRADY CORP,23.0009337986,20347
BRANDYWINE RLTY TR,13.6601224328,5789626
