,Company,0216price,0216amt,0516price,0516amt,0816price,0816amt,1116price,1116amt,0216-0516chng,0516-0816chng
702,CONAGRA FOODS INC,42.1599663555,7340281,44.620008828,7136350,47.8098798302,6428734,47.1098259844,4298063,-203931,-707616
703,CONCHO RES INC,92.8602170589,2402482,101.040212038,940962,119.269677562,759774,137.350393128,1333662,-1461520,-181188
704,CONE MIDSTREAM PARTNERS LP,9.85001933887,742029,12.5102265559,960734,17.340181856,720350,18.1001002255,638560,218705,-240384
705,CONFORMIS INC,17.2853607462,26265,10.7649720989,22759,7.03537228845,10234,9.92079366349,12499,-3506,-12525
706,CONMED CORP,44.0489853677,486186,41.939857199,990609,47.7299425654,967883,40.0602682123,961701,504423,-22726
707,CONNECTONE BANCORP INC NEW,18.6894860169,675567,16.3498494374,749854,15.6898258324,902177,18.0599040173,1021434,74287,152323
708,CONNECTURE INC,3.57203606055,11758,2.58340714497,13548,2.28155639144,16217,1.90073917635,14205,1790,2669
709,CONNS INC,23.4601921501,26854,12.4610973607,81614,7.51915708812,20880,10.3305177032,33977,54760,-60734
710,CONOCOPHILLIPS,46.6898547779,3031151,40.2698488005,3378781,43.5997321466,5316340,43.4699951407,8826387,347630,1937559
711,CONSOL ENERGY INC,7.90044254359,404028,11.2900847945,1261638,16.0899118836,1060416,19.2002987865,2816727,857610,-201222
712,CONSOLIDATED COMM HLDGS INC,20.9353890579,19393,25.7621852547,61796,27.2364924712,76772,25.2383272736,320148,42403,14976
713,CONSOLIDATED EDISON INC,64.2695274618,1585946,76.6198946908,2005902,80.4398316618,2988507,75.3002965202,1807297,419956,982605
714,CONSTELLATION BRANDS INC,142.439162318,813435,151.091154351,270585,165.399536084,596229,166.489349424,476547,-542850,325644
715,CONSTELLIUM NV,7.71715721464,5572,5.19480519481,61215,4.68262226847,17298,7.17660427008,16721,55643,-43917
716,CONTANGO OIL & GAS COMPANY,6.41217632804,73454,11.8131263942,31829,12.2415022581,75726,10.2195187292,126914,-41625,43897
717,CONTINENTAL BLDG PRODS INC,17.4596657806,1919338,18.5596583212,1568725,22.2300187417,1442239,20.9897292031,1707073,-350613,-126486
718,CONTINENTAL RESOURCES INC,22.9799419106,4026555,30.359615132,890591,45.2706418415,1069236,51.9599486102,1225925,-3135964,178645
719,CONTROLADORA VUELA CIA DE AV,17.159433493,500541,21.0698697763,419509,18.6908124273,120380,17.3921555831,30646,-81032,-299129
720,CONVERGYS CORP,24.8898635628,2522553,27.7702373634,2505020,24.9999898583,2465081,30.4202048933,2418820,-17533,-39939
721,COOPER COS INC,134.196572569,172374,153.971066882,141637,171.568535971,107170,179.262708778,153752,-30737,-34467
722,COOPER STD HLDGS INC,77.5634517766,4925,71.8725378622,11423,78.9874562635,84026,98.8005066693,194999,6498,72603
723,COOPER TIRE & RUBR CO,37.8500764249,1101081,37.0202115977,479873,29.8197275863,423914,38.0199721623,428196,-621208,-55959
724,COPA HOLDINGS SA,48.2636051987,118723,67.7511148864,117725,52.2553347488,65467,87.9364064872,125170,-998,-52258
725,COPART INC,38.0092972382,263304,40.7704404559,307772,49.0106956749,657836,53.5585335541,814268,44468,350064
