nameOfIssuer,titleOfClass,cusip,value,sshPrnamt,sshPrnamtType,investmentDiscretion,otherManager,Sole,Shared,None,putCall
ENVESTNET INC,CMN,29404K106,235,6450,SH,DFND,6,6450,0,0,
ENVISION HEALTHCARE HLDGS IN,CMN,29413U103,28882,1296916,SH,DFND,1,1296916,0,0,
ENVISION HEALTHCARE HLDGS IN,CMN,29413U103,2411,108241,SH,DFND,2,106835,0,1406,
ENVIVA PARTNERS LP,CMN,29414J107,704,26099,SH,DFND,1,26099,0,0,
ENVIVA PARTNERS LP,CMN,29414J107,28626,1060611,SH,DFND,2,1060611,0,0,
ENZO BIOCHEM INC,CMN,294100102,472,92650,SH,DFND,1,92650,0,0,
ENZO BIOCHEM INC,CMN,294100102,99,19449,SH,DFND,2,19449,0,0,
ENZYMOTEC LTD,CMN,M4059L101,6416,916608,SH,DFND,1,916608,0,0,
EOG RES INC,CMN,26875P101,84253,871191,SH,DFND,1,723329,0,147862,
EOG RES INC,CMN,26875P101,48142,497800,SH,DFND,1,497800,0,0,Call
EOG RES INC,CMN,26875P101,17756,183600,SH,DFND,1,183600,0,0,Put
EOG RES INC,CMN,26875P101,93348,965240,SH,DFND,2,961510,0,3730,
EOG RES INC,CMN,26875P101,3793,39224,SH,DFND,3,1810,0,37414,
EOG RES INC,CMN,26875P101,550,5690,SH,DFND,4,0,0,5690,
EOG RES INC,CMN,26875P101,2055,21254,SH,DFND,6,21254,0,0,
EOG RES INC,CMN,26875P101,787,8135,SH,OTR,"6,2",0,8135,0,
EP ENERGY CORP,CMN,268785102,1718,392290,SH,DFND,1,392290,0,0,
EP ENERGY CORP,CMN,268785102,43,9800,SH,DFND,1,9800,0,0,Call
EP ENERGY CORP,CMN,268785102,5,1100,SH,DFND,1,1100,0,0,Put
EP ENERGY CORP,CMN,268785102,1308,298674,SH,DFND,2,298674,0,0,
EPAM SYS INC,CMN,29414B104,19750,284948,SH,DFND,1,284948,0,0,
EPAM SYS INC,CMN,29414B104,718,10358,SH,DFND,2,10358,0,0,
EPAM SYS INC,CMN,29414B104,254,3659,SH,DFND,6,3659,0,0,
EPIQ SYS INC,CMN,26882D109,608,36849,SH,DFND,1,36849,0,0,
EPIZYME INC,CMN,29428V104,229,23321,SH,DFND,1,23321,0,0,
EPLUS INC,CMN,294268107,2774,29380,SH,DFND,1,29380,0,0,
EPR PPTYS,CMN,26884U109,55112,699923,SH,DFND,1,699923,0,0,
EPR PPTYS,CMN,26884U109,98109,1245987,SH,DFND,2,1234836,0,11151,
EPR PPTYS,CMN,26884U109,15911,202074,SH,DFND,3,150,0,201924,
EPR PPTYS,CMN,26884U109,1617,20540,SH,DFND,6,20540,0,0,
EQT CORP,CMN,26884L109,73492,1012014,SH,DFND,1,998385,0,13629,
EQT CORP,CMN,26884L109,450,6200,SH,DFND,1,6200,0,0,Call
EQT CORP,CMN,26884L109,283,3900,SH,DFND,1,3900,0,0,Put
EQT CORP,CMN,26884L109,8662,119284,SH,DFND,2,107284,0,12000,
EQT CORP,CMN,26884L109,800,11011,SH,DFND,6,11011,0,0,
EQT GP HLDGS LP,CMN,26885J103,2408,96054,SH,DFND,1,96054,0,0,
EQT GP HLDGS LP,CMN,26885J103,92594,3693422,SH,DFND,2,3693422,0,0,
EQT MIDSTREAM PARTNERS LP,CMN,26885B100,18071,237183,SH,DFND,1,118973,0,118210,
EQT MIDSTREAM PARTNERS LP,CMN,26885B100,275874,3620868,SH,DFND,2,3620868,0,0,
EQT MIDSTREAM PARTNERS LP,CMN,26885B100,691,9068,SH,DFND,6,9068,0,0,
