nameOfIssuer,sshPrnamt,value
APPLIED GENETIC TECHNOL CORP,12714,294
APPLIED INDL TECHNOLOGIES IN,920236,46684
APPLIED MATLS INC,10342384,233220
APPLIED MICRO CIRCUITS CORP,29045,314
APPROACH RESOURCES INC,141477,3216
APTARGROUP INC,92388,6191
AQUA AMERICA INC,257007,6739
ARAMARK,34832536,901466
ARATANA THERAPEUTICS INC,302107,4716
ARBOR RLTY TR INC,32379,225
ARC DOCUMENT SOLUTIONS INC,19755,116
ARCA BIOPHARMA INC,14772,22
ARCBEST CORP,148315,6453
ARCELORMITTAL SA LUXEMBOURG,14311436,223588
ARCH CAP GROUP LTD,222413,12775
ARCH COAL INC,3058156,11162
ARCHER DANIELS MIDLAND CO,3185934,140531
ARCOS DORADOS HOLDINGS INC,1079607,12092
ARCTIC CAT INC,187072,7374
ARENA PHARMACEUTICALS INC,809764,4746
ARES CAP CORP,2556253,45654
ARES COML REAL ESTATE CORP,26761,332
ARES MGMT L P,128200,2459
ARGAN INC,20652,770
ARGO GROUP INTL HLDGS LTD,120886,6178
ARIAD PHARMACEUTICALS INC,491463,3130
ARISTA NETWORKS INC,3772,235
ARM HLDGS PLC,122770,5554
ARMOUR RESIDENTIAL REIT INC,260252,1127
ARMSTRONG WORLD INDS INC NEW,2838078,162991
ARQULE INC,300601,466
ARRAY BIOPHARMA INC,283885,1295
ARRIS GROUP INC NEW,381034,12395
ARROW ELECTRS INC,436154,26348
ARROW FINL CORP,25646,665
ARROWHEAD RESH CORP,16109,231
ARTESIAN RESOURCES CORP,10980,247
ARTISAN PARTNERS ASSET MGMT,149040,8447
ARUBA NETWORKS INC,347977,6097
ASANKO GOLD INC,2301807,5962
ASBURY AUTOMOTIVE GROUP INC,749966,51552
ASCENA RETAIL GROUP INC,469669,8031
ASCENT CAP GROUP INC,12645,835
ASHFORD HOSPITALITY PRIME IN,62761,1077
ASHFORD HOSPITALITY TR INC,214387,2473
ASHLAND INC NEW,274842,29886
ASML HOLDING N V,494302,46104
ASPEN INSURANCE HOLDINGS LTD,700554,31820
ASPEN TECHNOLOGY INC,365779,16972
ASSOCIATED BANC CORP,888153,8830
ASSOCIATED ESTATES RLTY CORP,152654,2751
