nameOfIssuer,sshPrnamt,value
FORTINET INC,389511,9788
FORTRESS INVESTMENT GROUP LL,8444077,62824
FORTUNA SILVER MINES INC,43578,240
FORTUNE BRANDS HOME & SEC IN,583012,23280
FORUM ENERGY TECHNOLOGIES IN,2602465,94808
FORWARD AIR CORP,949954,45455
FOSSIL GROUP INC,1378126,144041
FOSTER L B CO,14044,760
FOSTER WHEELER AG,139946,4768
FOUNDATION MEDICINE INC,193160,5208
FRANCESCAS HLDGS CORP,24816,366
FRANCO NEVADA CORP,331950,19034
FRANKLIN COVEY CO,29526,594
FRANKLIN ELEC INC,12285,495
FRANKLIN RES INC,2537231,146754
FRANKLIN STREET PPTYS CORP,187607,2360
FRANKS INTL N V,47387,1166
FREDS INC,152424,2330
FREEPORT-MCMORAN COPPER & GO,7567406,276210
FREESCALE SEMICONDUCTOR LTD,132776,3121
FRESENIUS MED CARE AG&CO KGA,703432,23558
FRESH DEL MONTE PRODUCE INC,41821,1282
FRESH MKT INC,23374,782
FRONTIER COMMUNICATIONS CORP,5753164,33599
FRONTLINE LTD,832537,2431
FS INVT CORP,202143,2153
FTD COS INC,79711,2534
FTI CONSULTING INC,74107,2803
FUEL SYS SOLUTIONS INC,12287,137
FUEL TECH INC,18675,105
FUELCELL ENERGY INC,36462,88
FULLER H B CO,11668,561
FULTON FINL CORP PA,392024,4857
FURIEX PHARMACEUTICALS INC,16229,1723
FUSION-IO INC,560191,6330
FUTUREFUEL CORPORATION,57066,947
FX ENERGY INC,33178,120
G & K SVCS INC,777334,40476
G-III APPAREL GROUP LTD,38695,3160
GAIN CAP HLDGS INC,104421,822
GALECTIN THERAPEUTICS INC,41910,579
GALENA BIOPHARMA INC,242296,741
GALLAGHER ARTHUR J & CO,3657109,170421
GAMCO INVESTORS INC,47711,3963
GAMESTOP CORP NEW,1880768,76114
GAMING & LEISURE PPTYS INC,287528,9767
GANNETT INC,1058557,33143
GAP INC DEL,13062003,542987
GARMIN LTD,1588707,96752
GARRISON CAP INC,22062,338
GARTNER INC,146957,10363
GASLOG LTD,375610,11979
GASLOG PARTNERS LP,550941,20049
GASTAR EXPL INC NEW,119714,1043
GATX CORP,90986,6090
GAZIT GLOBE LTD,356074,4729
GENCORP INC,58024,1108
GENERAC HLDGS INC,204642,9974
GENERAL AMERN INVS INC,218549,8047
GENERAL CABLE CORP DEL NEW,299286,7680
GENERAL COMMUNICATION INC,50318,558
GENERAL DYNAMICS CORP,1382260,161103
GENERAL ELECTRIC CO,65255270,1714909
GENERAL FIN CORP DEL,12628,120
GENERAL GROWTH PPTYS INC NEW,3056257,72005
GENERAL MLS INC,1943569,102116
GENERAL MOLY INC,78527,90
GENERAL MTRS CO,11174662,395015
GENESCO INC,27049,2222
GENESEE & WYO INC,115140,12090
GENESIS ENERGY L P,4744069,265858
GENIE ENERGY LTD,208929,1644
GENMARK DIAGNOSTICS INC,11523,156
GENOCEA BIOSCIENCES INC,17281,324
GENOMIC HEALTH INC,71341,1954
GENPACT LIMITED,105653,1852
GENTEX CORP,310444,9031
GENTHERM INC,31732,1410
GENTIVA HEALTH SERVICES INC,19637,296
GENUINE PARTS CO,444072,38990
GENWORTH FINL INC,1814316,31569
GEO GROUP INC,219816,7854
GEOSPACE TECHNOLOGIES CORP,4811,265
GERDAU S A,766294,4513
GERON CORP,108836,349
GETTY RLTY CORP NEW,71738,1368
GEVO INC,378306,325
GFI GROUP INC,218748,726
GIANT INTERACTIVE GROUP INC,314817,3727
GIBRALTAR INDS INC,33551,520
GIGA TRONICS INC,16975,42
GIGAMON INC,114020,2182
GIGOPTIX INC,38398,53
GILDAN ACTIVEWEAR INC,114209,6725
GILEAD SCIENCES INC,28349034,2350418
GLACIER BANCORP INC NEW,2513995,71347
GLADSTONE CAPITAL CORP,126417,1272
GLADSTONE COML CORP,25074,448
GLADSTONE INVT CORP,117340,868
GLATFELTER,81319,2158
GLAXOSMITHKLINE PLC,2233636,119455
GLIMCHER RLTY TR,542209,5873
GLOBAL BRASS & COPPR HLDGS I,1163397,19661
GLOBAL CASH ACCESS HLDGS INC,20291,181
GLOBAL EAGLE ENTMT INC,61250,760
GLOBAL INDEMNITY PLC,33517,871
GLOBAL PMTS INC,1597103,116348
GLOBAL SOURCES LTD,43439,360
GLOBAL X FDS,130750,2449
GLOBALSTAR INC,196663,836
GLOBE SPECIALTY METALS INC,1883998,39149
GLOBUS MED INC,35213,842
GLORI ENERGY INC,69155,751
GLOWPOINT INC,36263,54
GLU MOBILE INC,63349,316
GLYCOMIMETICS INC,100667,849
GNC HLDGS INC,4083347,139243
GOGO INC,679853,13298
GOL LINHAS AEREAS INTLG S A,90288,495
GOLAR LNG LTD BERMUDA,282285,16966
GOLAR LNG PARTNERS LP,4231836,155943
GOLD FIELDS LTD NEW,2000537,7441
GOLDCORP INC NEW,3324890,92798
GOLDEN MINERALS CO,201666,232
GOLDEN STAR RES LTD CDA,752459,444
GOLDMAN SACHS GROUP INC,604408,29788
GOLUB CAP BDC INC,807885,14300
GOODRICH PETE CORP,332574,9179
GOODYEAR TIRE & RUBR CO,896637,24908
GOOGLE INC,3761797,2181595
GORDMANS STORES INC,24295,104
GORMAN RUPP CO,28406,1005
GOVERNMENT PPTYS INCOME TR,693532,17609
GP STRATEGIES CORP,8016,207
GPO AEROPORTUARIO DEL PAC SA,100247,6778
GRACE W R & CO DEL NEW,926292,87562
GRACO INC,2803616,218907
GRAFTECH INTL LTD,155211,1623
GRAHAM HLDGS CO,22083,15858
GRAINGER W W INC,900008,228845
GRAMERCY PPTY TR INC,16211,98
GRAN TIERRA ENERGY INC,557501,4527
GRAND CANYON ED INC,37952,1744
GRANITE CONSTR INC,62876,2263
GRANITE REAL ESTATE INVT TR,105703,3933
GRAPHIC PACKAGING HLDG CO,4467221,52267
GRAY TELEVISION INC,367106,4820
GREAT LAKES DREDGE & DOCK CO,14238,114
GREAT PANTHER SILVER LTD,175686,221
GREAT PLAINS ENERGY INC,501518,13475
GREAT SOUTHN BANCORP INC,25002,802
GREATBATCH INC,72461,3555
GREEN DOT CORP,42606,808
GREEN PLAINS INC,292592,9617
GREENBRIER COS INC,63824,3676
GREENHILL & CO INC,49182,2422
GREENLIGHT CAPITAL RE LTD,134790,4440
GREIF INC,37898,2068
GRIFFON CORP,5812826,72079
GRIFOLS S A,1387899,61137
GROUP 1 AUTOMOTIVE INC,154026,12986
GROUPE CGI INC,145128,5149
GROUPON INC,628488,4161
GRUBHUB INC,6298973,223047
GRUPO AEROPORTUARIO DEL SURE,102044,12961
GRUPO FINANCIERO GALICIA S A,82792,1213
GRUPO FINANCIERO SANTANDER M,3443145,45725
GRUPO TELEVISA SA,2044223,70137
GS FIN CORP,216123,4143
GSI GROUP INC CDA NEW,23624,301
GSI TECHNOLOGY,42572,254
GSV CAP CORP,23242,246
GT ADVANCED TECHNOLOGIES INC,292982,5450
GTT COMMUNICATIONS INC,38865,397
GTX INC DEL,110833,153
GUESS INC,106466,2875
GUGGENHEIM BLD AMR BDS MANG,61487,1355
GUIDANCE SOFTWARE INC,30888,282
GUIDEWIRE SOFTWARE INC,1566051,63675
GULF COAST ULTRA DEEP RTY TR,191725,562
GULFMARK OFFSHORE INC,548199,24768
GULFPORT ENERGY CORP,171163,10749
GW PHARMACEUTICALS PLC,7026,754
H & E EQUIPMENT SERVICES INC,25332,921
H & Q HEALTHCARE INVESTORS,2043490,53866
HAEMONETICS CORP,100126,3532
HAIN CELESTIAL GROUP INC,2604847,231154
HALCON RES CORP,548786,4001
HALLIBURTON CO,6057140,430118
HALOZYME THERAPEUTICS INC,191831,1895
HAMPTON ROADS BANKSHARES INC,35210,61
HANCOCK HLDG CO,279453,9870
HANCOCK JOHN FINL OPPTYS FD,45294,1048
HANCOCK JOHN PREMUIM DIV FD,31300,425
HANESBRANDS INC,323150,31811
HANGER INC,19891,626
HANMI FINL CORP,30160,636
HANOVER INS GROUP INC,111335,7031
HANSEN MEDICAL INC,282064,370
HARBINGER GROUP INC,131899,1675
HARDINGE INC,32938,417
HARLEY DAVIDSON INC,796794,55656
HARMAN INTL INDS INC,301549,32396
HARMONIC INC,394549,2943
HARMONY GOLD MNG LTD,824616,2450
HARRIS & HARRIS GROUP INC,102665,326
HARRIS CORP DEL,481927,36506
HARSCO CORP,151384,4031
HARTE-HANKS INC,92241,663
HARTFORD FINL SVCS GROUP INC,5285705,189280
HARVARD APPARATUS REGENER TE,20325,212
HARVARD BIOSCIENCE INC,33205,151
HARVEST NATURAL RESOURCES IN,64997,324
HASBRO INC,634924,33683
HATTERAS FINL CORP,168011,3328
HAVERTY FURNITURE INC,147140,3697
HAWAIIAN ELEC INDUSTRIES,161850,4098
HAWAIIAN HOLDINGS INC,75446,1034
HCA HOLDINGS INC,532165,30004
HCC INS HLDGS INC,143511,7023
HCP INC,4021275,166400
HD SUPPLY HLDGS INC,60088,1706
HDFC BANK LTD,194019,9085
HEADWATERS INC,45605,634
HEALTH CARE REIT INC,2556282,159713
HEALTH NET INC,370242,15380
HEALTHCARE RLTY TR,1583113,40243
HEALTHCARE SVCS GRP INC,2935980,86435
HEALTHCARE TR AMER INC,538280,6481
HEALTHSOUTH CORP,1339700,48055
HEALTHSTREAM INC,20521,499
HEALTHWAYS INC,31478,552
HEARTLAND EXPRESS INC,46377,990
HEARTLAND PMT SYS INC,78606,3239
HEARTWARE INTL INC,27389,2424
HECLA MNG CO,1426165,4921
HEICO CORP NEW,40605,2109
HEIDRICK & STRUGGLES INTL IN,108234,2002
HELEN OF TROY CORP LTD,151544,9188
HELIX ENERGY SOLUTIONS GRP I,241042,6342
HELMERICH & PAYNE INC,571415,66347
HEMISPHERE MEDIA GROUP INC,12381,156
HENRY JACK & ASSOC INC,170421,10129
HERBALIFE LTD,894487,57731
HERCULES OFFSHORE INC,207772,835
HERCULES TECH GROWTH CAP INC,181835,2938
HERITAGE COMMERCE CORP,21275,174
HERITAGE CRYSTAL CLEAN INC,10047,197
HERITAGE FINL CORP WASH,714159,11491
HERON THERAPEUTICS INC,39986,493
HERSHA HOSPITALITY TR,541190,3631
HERSHEY CO,460068,44796
HERTZ GLOBAL HOLDINGS INC,7097186,198934
HESS CORP,1020635,100931
HEWLETT PACKARD CO,9073419,305592
HEXCEL CORP NEW,70645,2890
HFF INC,958714,35655
HHGREGG INC,148756,1513
HI-CRUSH PARTNERS LP,300000,19668
HIBBETT SPORTS INC,8541,463
HIGHER ONE HLDGS INC,367385,1400
HIGHWOODS PPTYS INC,5067870,212597
HILL INTERNATIONAL INC,13713,85
HILL ROM HLDGS INC,1211111,50273
HILLENBRAND INC,32838,1072
HILLSHIRE BRANDS CO,1023750,63779
HILLTOP HOLDINGS INC,77252,1642
HILTON WORLDWIDE HLDGS INC,1146588,26715
HIMAX TECHNOLOGIES INC,89282,612
HITTITE MICROWAVE CORP,418767,32643
HMS HLDGS CORP,5903791,120496
HNI CORP,69498,2718
HOLLY ENERGY PARTNERS L P,2150329,73950
HOLLYFRONTIER CORP,879816,38439
HOLLYSYS AUTOMATION TECHNOLO,941566,23059
HOLOGIC INC,415985,10545
HOME BANCSHARES INC,1340789,44004
HOME DEPOT INC,14197964,1149467
HOME LN SERVICING SOLUTIONS,2627472,59723
HOME PROPERTIES INC,1280855,81923
HOMEAWAY INC,317591,11059
HOMETRUST BANCSHARES INC,29699,468
HONDA MOTOR LTD,325656,11395
HONEYWELL INTL INC,6159784,572552
HOOKER FURNITURE CORP,69246,1117
HORACE MANN EDUCATORS CORP N,43793,1369
HORIZON PHARMA INC,211424,3344
HORIZON TECHNOLOGY FIN CORP,30137,441
HORMEL FOODS CORP,621342,30663
HORNBECK OFFSHORE SVCS INC N,63414,2975
HORSEHEAD HLDG CORP,130169,2377
HOSPIRA INC,829225,42597
HOSPITALITY PPTYS TR,9993821,303812
HOST HOTELS & RESORTS INC,3958207,87121
HOUGHTON MIFFLIN HARCOURT CO,1772499,33961
HOUSTON WIRE & CABLE CO,11816,147
HOVNANIAN ENTERPRISES INC,81070,418
HOWARD HUGHES CORP,117756,18586
HSBC HLDGS PLC,974202,48960
HSN INC,1032847,61186
HUANENG PWR INTL INC,4926,223
HUB GROUP INC,15720,792
HUBBELL INC,1469553,180976
HUDBAY MINERALS INC,34300,319
HUDSON CITY BANCORP,1858785,18272
HUDSON GLOBAL INC,21031,83
HUDSON PAC PPTYS INC,2371146,60085
HUGOTON RTY TR TEX,26221,288
HUMANA INC,1026563,131113
HUNT J B TRANS SVCS INC,148398,10949
HUNTINGTON BANCSHARES INC,23147707,220829
HUNTINGTON INGALLS INDS INC,72348,6844
HUNTSMAN CORP,610370,17151
HURON CONSULTING GROUP INC,90805,6431
HUTCHINSON TECHNOLOGY INC,39829,100
HYATT HOTELS CORP,364609,22234
HYSTER YALE MATLS HANDLING I,63173,5593
IAC INTERACTIVECORP,485779,33631
IAMGOLD CORP,962959,3967
IBERIABANK CORP,81227,5620
ICAHN ENTERPRISES LP,2559,255
ICF INTL INC,24009,849
ICG GROUP INC,33676,703
ICICI BK LTD,236237,11789
ICON PLC,72359,3409
ICONIX BRAND GROUP INC,1282649,55077
ICU MED INC,34941,2124
IDACORP INC,1471713,85109
IDENIX PHARMACEUTICALS INC,602888,14529
IDERA PHARMACEUTICALS INC,109065,316
IDEX CORP,635477,51308
IDEXX LABS INC,111742,14926
IDT CORP,36200,631
IGATE CORP,17971,654
IGI LABS INC,89900,477
IHS INC,107661,14606
II VI INC,39270,568
IKANOS COMMUNICATIONS,144869,62
ILLINOIS TOOL WKS INC,2078989,182036
ILLUMINA INC,609956,108902
IMATION CORP,130704,450
IMAX CORP,10458,297
IMMERSION CORP,31703,403
IMMUNOCELLULAR THERAPEUTICS,19098,21
IMMUNOGEN INC,78117,926
IMMUNOMEDICS INC,17619,64
IMPAX LABORATORIES INC,277986,8337
IMPERIAL HLDGS INC,38820,265
IMPERIAL OIL LTD,364602,19189
IMPERVA INC,19234,504
IMS HEALTH HLDGS INC,83869,2154
INCONTACT INC,48390,445
INCYTE CORP,927572,52353
INDEPENDENT BANK CORP MASS,735800,28240
INDEPENDENT BANK CORP MICH,49225,634
INDEPENDENT BK GROUP INC,720086,40087
INDEXIQ ETF TR,38126,1143
INDIA GLOBALIZATION CAP INC,10437,15
INFINERA CORPORATION,233380,2147
INFINITY PHARMACEUTICALS INC,3390700,43198
INFINITY PPTY & CAS CORP,20448,1375
INFOBLOX INC,364966,4799
INFORMATICA CORP,207980,7414
INFOSYS LTD,194336,10450
ING GROEP N V,783080,10979
INGERSOLL-RAND PLC,2704142,169036
INGLES MKTS INC,39011,1028
INGRAM MICRO INC,442402,12923
INGREDION INC,1839613,138045
INLAND REAL ESTATE CORP,3229718,34333
INNERWORKINGS INC,52304,445
INNODATA INC,60919,196
INNOPHOS HOLDINGS INC,19983,1150
INNOSPEC INC,10433,450
INNOVATIVE SOLUTIONS & SUPPO,12518,93
INOGEN INC,13216,298
INOVIO PHARMACEUTICALS INC,475648,5142
INPHI CORP,19481,286
INSIGHT ENTERPRISES INC,28660,881
INSMED INC,5474,109
INSPERITY INC,7468,246
INSPIREMD INC,56937,168
INSTALLED BLDG PRODS INC,29220,358
INSTEEL INDUSTRIES INC,15191,299
INSULET CORP,58404,2317
INSYS THERAPEUTICS INC NEW,138431,4323
INTEGRA LIFESCIENCES HLDGS C,400159,18832
INTEGRATED DEVICE TECHNOLOGY,533471,8247
INTEGRATED SILICON SOLUTION,32514,480
INTEGRYS ENERGY GROUP INC,209945,14934
INTEL CORP,27873995,861308
INTELIQUENT INC,87722,1217
INTELSAT S A,349646,9035
INTER PARFUMS INC,28507,842
INTERACTIVE BROKERS GROUP IN,279367,6506
INTERCEPT PHARMACEUTICALS IN,49799,11784
INTERCONTINENTAL EXCHANGE IN,2898466,547519
INTERCONTINENTAL HTLS GRP PL,79589,3304
INTERDIGITAL INC,50151,2398
INTERFACE INC,1184832,22323
INTERMOLECULAR INC,15845,37
INTERMUNE INC,531837,23481
INTERNAP NETWORK SVCS CORP,199685,1407
INTERNATIONAL BANCSHARES COR,190581,5146
INTERNATIONAL BUSINESS MACHS,3208981,581692
INTERNATIONAL FLAVORS&FRAGRA,1784163,186052
INTERNATIONAL GAME TECHNOLOG,2213954,35224
INTERNATIONAL RECTIFIER CORP,324169,9044
INTERNATIONAL SPEEDWAY CORP,35056,1167
INTERNATIONAL TOWER HILL MIN,287205,207
INTEROIL CORP,259974,16623
INTERPUBLIC GROUP COS INC,2354811,45942
INTERSECTIONS INC,17196,85
INTERSIL CORP,4645089,69444
INTERVAL LEISURE GROUP INC,62049,1362
INTERVEST BANCSHARES CORP,26113,202
INTERXION HOLDING N.V,1441518,39469
INTEVAC INC,32430,260
INTL FCSTONE INC,11174,223
INTL PAPER CO,2635627,133021
INTRA CELLULAR THERAPIES INC,25729,434
INTRALINKS HLDGS INC,32361,288
INTRAWEST RESORTS HLDGS INC,126415,1449
INTREPID POTASH INC,636334,10665
INTREXON CORP,17673,444
INTUIT,1163693,93712
INTUITIVE SURGICAL INC,683880,281621
INVACARE CORP,52747,969
INVENSENSE INC,722792,16400
INVENTURE FOODS INC,24225,273
INVESCO LTD,7837393,295862
INVESCO MORTGAGE CAPITAL INC,187740,3259
INVESCO MUN OPPORTUNITY TR,238542,3006
INVESCO MUNI INCOME OPP TRST,127440,887
INVESCO QUALITY MUNI INC TRS,103776,1274
INVESCO VALUE MUN INCOME TR,241900,3626
INVESTMENT TECHNOLOGY GRP NE,220005,3714
INVESTORS BANCORP INC NEW,1022893,11303
INVESTORS REAL ESTATE TR,64102,591
INVESTORS TITLE CO,4264,287
ION GEOPHYSICAL CORP,387781,1636
IPC THE HOSPITALIST CO INC,7266,321
IPG PHOTONICS CORP,521997,35913
IRELAND BK,78904,1097
IRIDIUM COMMUNICATIONS INC,26980,228
IROBOT CORP,728248,29821
IRON MTN INC,1891971,67070
IRONWOOD PHARMACEUTICALS INC,600581,9207
IRSA INVERSIONES Y REP S A,24727,405
ISHARES GOLD TRUST,1229571,15837
ISHARES INC,54244215,1794895
ISHARES S&P GSCI COMMODITY I,133086,4514
ISHARES SILVER TRUST,437236,8854
ISHARES TR,218267195,18831011
ISIS PHARMACEUTICALS INC,776578,26754
ISLE OF CAPRI CASINOS INC,10255,88
ISORAY INC,35936,112
ISTAR FINL INC,1172729,17567
ITAU UNIBANCO HLDG SA,6398367,92009
ITC HLDGS CORP,197447,7202
ITRON INC,52784,2140
ITT CORP NEW,3624917,174358
ITT EDUCATIONAL SERVICES INC,31522,526
ITURAN LOCATION AND CONTROL,25791,628
IXIA,68661,785
IXYS CORP,55929,689
J & J SNACK FOODS CORP,16077,1513
J2 GLOBAL INC,50985,2593
JA SOLAR HOLDINGS CO LTD,36435,396
JABIL CIRCUIT INC,802640,16775
JACK IN THE BOX INC,1312637,78548
JACOBS ENGR GROUP INC DEL,413893,22052
JAKKS PAC INC,116291,900
JAMES HARDIE INDS PLC,3355,219
JANUS CAP GROUP INC,316513,3950
JARDEN CORP,213705,12683
JAVELIN MTG INVT CORP,41077,579
JAZZ PHARMACEUTICALS PLC,118743,17456
JD COM INC,3221,92
JDS UNIPHASE CORP,509330,6352
JETBLUE AIRWAYS CORP,1581642,17161
JINKOSOLAR HLDG CO LTD,123777,3735
JIVE SOFTWARE INC,43866,373
JMP GROUP INC,22234,168
JOES JEANS INC,18436,20
JOHN BEAN TECHNOLOGIES CORP,59087,1831
JOHNSON & JOHNSON,10516336,1100218
JOHNSON CTLS INC,2156725,107685
JONES LANG LASALLE INC,166347,21024
JOURNAL COMMUNICATIONS INC,89790,796
JOY GLOBAL INC,490762,30222
JPMORGAN CHASE & CO,24833139,1425105
JUNIPER NETWORKS INC,11318112,277747
JUST ENERGY GROUP INC,38174,220
K12 INC,241449,5812
KADANT INC,38698,1488
KAISER ALUMINUM CORP,993905,72426
KALOBIOS PHARMACEUTICALS INC,17314,39
KAMAN CORP,1411813,60326
KANDI TECHNOLOGIES GROUP INC,33016,467
KANSAS CITY LIFE INS CO,5252,239
KANSAS CITY SOUTHERN,3656095,393067
KAPSTONE PAPER & PACKAGING C,2207086,73121
KAR AUCTION SVCS INC,82860,2641
KARYOPHARM THERAPEUTICS INC,10481,488
KATE SPADE & CO,4745019,180974
KB FINANCIAL GROUP INC,85774,2982
KB HOME,504364,9421
KBR INC,3761155,89704
KCAP FINL INC,57718,490
KCG HLDGS INC,63977,760
KELLOGG CO,913829,60038
KELLY SVCS INC,140123,2406
KEMET CORP,31131,179
KEMPER CORP DEL,122528,4516
KENNAMETAL INC,2563382,118634
KENNEDY-WILSON HLDGS INC,2858853,76674
KERYX BIOPHARMACEUTICALS INC,163595,2516
KEURIG GREEN MTN INC,1050776,130937
KEY ENERGY SVCS INC,420418,3843
KEY TRONICS CORP,33280,349
KEYCORP NEW,19232206,275598
KEYW HLDG CORP,59023,742
KFORCE INC,15206,329
KILROY RLTY CORP,283292,17643
KIMBALL INTL INC,234274,3917
KIMBERLY CLARK CORP,1879039,208987
KIMCO RLTY CORP,4722434,108521
KINDER MORGAN ENERGY PARTNER,1221172,100393
KINDER MORGAN INC DEL,4357742,144028
KINDER MORGAN MANAGEMENT LLC,2561552,202183
KINDRED BIOSCIENCES INC,14063,262
KINDRED HEALTHCARE INC,127655,2949
KING DIGITAL ENTMT PLC,13813,284
KINROSS GOLD CORP,3276605,13565
KIOR INC,889772,320
KIRBY CORP,242727,28433
KIRKLANDS INC,10206,189
KITE RLTY GROUP TR,558486,3429
KKR & CO L P DEL,3360372,81757
KLA-TENCOR CORP,564496,41005
KNIGHT TRANSN INC,227515,5408
KNOLL INC,86438,1498
KNOT OFFSHORE PARTNERS LP,1928762,54584
KNOWLES CORP,281297,8647
KODIAK OIL & GAS CORP,1039450,15124
KOFAX LTD,10963,94
KOHLS CORP,1411368,74351
KONINKLIJKE PHILIPS N V,175907,5587
KOPIN CORP,127808,417
KOPPERS HOLDINGS INC,28464,1089
KOREA ELECTRIC PWR,45429,836
KORN FERRY INTL,224339,6588
KOSMOS ENERGY LTD,703660,7902
KRAFT FOODS GROUP INC,2444726,146561
KRATON PERFORMANCE POLYMERS,12462,279
KRATOS DEFENSE & SEC SOLUTIO,29775,232
KRISPY KREME DOUGHNUTS INC,50878,813
KROGER CO,10090524,498774
KRONOS WORLDWIDE INC,88426,1386
KULICKE & SOFFA INDS INC,295089,4208
KYOCERA CORP,53468,2544
KYTHERA BIOPHARMACEUTICALS I,12858,493
L BRANDS INC,9924223,582154
L-3 COMMUNICATIONS HLDGS INC,625816,75567
LA QUINTA HLDGS INC,317930,6085
LA Z BOY INC,22409,519
LABORATORY CORP AMER HLDGS,1746653,178857
LACLEDE GROUP INC,32988,1602
LADDER CAP CORP,24612,445
LADENBURG THALMAN FIN SVCS I,44124,139
LAKE SHORE GOLD CORP,340315,311
LAKELAND BANCORP INC,24710,267
LAKELAND FINL CORP,427545,16315
LAM RESEARCH CORP,1478909,99945
LAMAR ADVERTISING CO,6015929,318845
LANCASTER COLONY CORP,36889,3511
LANDEC CORP,27209,340
LANDS END INC NEW,46604,1565
LANDSTAR SYS INC,88820,5684
LANNET INC,62387,3096
LAREDO PETROLEUM INC,3737644,115792
LAS VEGAS SANDS CORP,1425301,108637
LASALLE HOTEL PPTYS,436512,15404
LATAM AIRLS GROUP S A,1140805,15310
LATTICE SEMICONDUCTOR CORP,256979,2120
LAUDER ESTEE COS INC,2593753,192613
LAWSON PRODS INC,10929,178
LAYNE CHRISTENSEN CO,32638,434
LAZARD LTD,120014,6188
LDR HLDG CORP,9744,244
LEAPFROG ENTERPRISES INC,43623,321
LEAR CORP,224085,20015
LEE ENTERPRISES INC,233750,1040
LEGACY RESERVES LP,31094,971
LEGG MASON INC,858760,44064
LEGGETT & PLATT INC,668198,22906
LEHIGH GAS PARTNERS LP,1053448,28306
LEIDOS HLDGS INC,211545,8111
LEJU HLDGS LTD,202759,2121
LENNAR CORP,1754331,73647
LENNOX INTL INC,143434,12847
LEUCADIA NATL CORP,886878,23254
LEVEL 3 COMMUNICATIONS INC,323560,14208
LEXICON PHARMACEUTICALS INC,84709,136
LEXINGTON REALTY TRUST,160216,1764
LEXMARK INTL NEW,423410,20391
LG DISPLAY CO LTD,76327,1204
LGI HOMES INC,27268,498
LHC GROUP INC,12569,269
LIBBEY INC,17374,463
LIBERATOR MEDICAL HLDGS INC,86756,325
LIBERTY ALL STAR EQUITY FD,17919,108
LIBERTY GLOBAL PLC,12750100,540993
LIBERTY INTERACTIVE CORP,746460,55088
LIBERTY INTERACTIVE CORPORAT,6120805,179707
LIBERTY MEDIA CORP DELAWARE,1813965,247932
LIBERTY PPTY TR,3851077,146071
LIFE TIME FITNESS INC,131017,6386
LIFELOCK INC,1573321,21964
LIFEPOINT HOSPITALS INC,85635,5318
LIFETIME BRANDS INC,22124,348
LIFEVANTAGE CORP,113422,163
LIGAND PHARMACEUTICALS INC,201322,12540
LIGHTINTHEBOX HLDG CO LTD,14981,95
LILIS ENERGY INC,21959,38
LILLY ELI & CO,5831576,362550
LIMELIGHT NETWORKS INC,30788894,94214
LIN MEDIA LLC,128754,3509
LINCOLN EDL SVCS CORP,47489,213
LINCOLN ELEC HLDGS INC,292939,20470
LINCOLN NATL CORP IND,7363371,378772
LINDSAY CORP,6115,517
LINEAR TECHNOLOGY CORP,1449455,68225
LINKEDIN CORP,1608484,275807
LINN ENERGY LLC,580188,18769
LINNCO LLC,2166417,67788
LIONBRIDGE TECHNOLOGIES INC,42610,253
LIONS GATE ENTMNT CORP,82216,2349
LIQTECH INTL INC,21732,43
LIQUIDITY SERVICES INC,13572,214
LITHIA MTRS INC,195861,18425
LITTELFUSE INC,421068,39138
LIVE NATION ENTERTAINMENT IN,2538046,62665
LIVEDEAL INC,36531,160
LIVEPERSON INC,75669,768
LKQ CORP,3687555,98421
LLOYDS BANKING GROUP PLC,2185836,11235
LOCKHEED MARTIN CORP,1047681,168393
LOEWS CORP,813347,35795
LOGITECH INTL S A,711525,9271
LOGMEIN INC,104753,4883
LOMBARD MED INC,16400,118
LORAL SPACE & COMMUNICATNS I,14133,1027
LORILLARD INC,1234622,75274
LOUISIANA PAC CORP,6597056,99088
LOWES COS INC,4945998,237359
LPL FINL HLDGS INC,149739,7448
LSB INDS INC,8913,371
LSI INDS INC,113450,905
LTC PPTYS INC,111626,4358
LUBYS INC,26007,153
LUCAS ENERGY INC,19763,11
LULULEMON ATHLETICA INC,132722,5373
LUMBER LIQUIDATORS HLDGS INC,473117,35933
LUMENIS LTD,321415,3131
LUMINEX CORP DEL,102116,1752
LUMOS NETWORKS CORP,131827,1908
LUXOFT HLDG INC,12247,442
LUXOTTICA GROUP S P A,31680,1836
LYDALL INC DEL,13076,358
LYON WILLIAM HOMES,1513527,46072
LYONDELLBASELL INDUSTRIES N,3100877,302800
M & T BK CORP,2622471,325318
M D C HLDGS INC,233050,7059
M/I HOMES INC,1425723,34603
MACERICH CO,1086056,72495
MACK CALI RLTY CORP,3331544,71562
MACQUARIE INFRASTR CO LLC,442922,27625
MACYS INC,1914086,111056
MADDEN STEVEN LTD,1056489,36237
MADISON SQUARE GARDEN CO,80860,5050
MAG SILVER CORP,19128,181
MAGELLAN HEALTH INC,139134,8660
MAGELLAN MIDSTREAM PRTNRS LP,10421949,875860
MAGICJACK VOCALTEC LTD,87742,1327
MAGNA INTL INC,403700,43499
MAGNACHIP SEMICONDUCTOR CORP,39904,563
MAGNETEK INC,10958,260
MAGNUM HUNTER RES CORP DEL,546280,4480
MAIDEN HOLDINGS LTD,3981894,48141
MAIN STREET CAPITAL CORP,80219,2642
MAINSOURCE FINANCIAL GP INC,16062,277
MALLINCKRODT PUB LTD CO,1592324,127418
MAM SOFTWARE GROUP INC,10061,54
