nameOfIssuer,sshPrnamt,value
CENTERPOINT ENERGY INC,1335747,32686
CENTRAIS ELETRICAS BRASILEIR,48307,147
CENTRAL EUROPEAN MEDIA ENTRP,50988,115
CENTRAL FD CDA LTD,116619,1436
CENTRAL GARDEN & PET CO,34306,276
CENTRUS ENERGY CORP,96412,984
CENTURY ALUM CO,89656,2328
CENTURY CASINOS INC,24559,126
CENTURY CMNTYS INC,10136,176
CENTURYLINK INC,2858451,116882
CENVEO INC,11661,29
CEPHEID,3503137,154243
CERES INC,18352,8
CERNER CORP,4967333,295903
CERULEAN PHARMA INC,44346,187
CERUS CORP,23661,95
CESCA THERAPEUTICS INC,45401,55
CEVA INC,13631,183
CF INDS HLDGS INC,799628,223272
CHAMBERS STR PPTYS,2796719,21059
CHANGYOU COM LTD,177883,4257
CHANNELADVISOR CORP,10154,167
CHARLES RIV LABS INTL INC,159278,9515
CHART INDS INC,26858,1642
CHARTER COMMUNICATIONS INC D,805955,121997
CHATHAM LODGING TR,63649,1469
CHC GROUP LTD,45309,254
CHECK POINT SOFTWARE TECH LT,1897549,131387
CHECKPOINT SYS INC,19957,244
CHEESECAKE FACTORY INC,341170,15523
CHEETAH MOBILE INC,125290,2287
CHEGG INC,99534,621
CHEMED CORP NEW,22616,2327
CHEMICAL FINL CORP,29297,788
CHEMTURA CORP,513942,11991
CHEMUNG FINL CORP,7444,209
CHENIERE ENERGY INC,325562,26055
CHENIERE ENERGY PARTNERS LP,862181,28211
CHENIERE ENERGY PTNRS LP HLD,134839,3298
CHESAPEAKE ENERGY CORP,7988246,183650
CHESAPEAKE GRANITE WASH TR,26974,286
CHESAPEAKE LODGING TR,5076275,147974
CHESAPEAKE UTILS CORP,7425,309
CHEVRON CORP NEW,4472319,533636
CHICAGO BRIDGE & IRON CO N V,119861,6934
CHICOS FAS INC,680555,10052
CHILDRENS PL INC,85611,4080
CHIMERA INVT CORP,16995298,51666
CHIMERIX INC,10096,279
CHINA CORD BLOOD CORP,14309,70
CHINA DIGITAL TV HLDG CO LTD,10836,44
CHINA DISTANCE ED HLDGS LTD,818006,11460
CHINA FD INC,10828,225
CHINA HGS REAL ESTATE INC,15774,80
CHINA LIFE INS CO LTD,146780,6120
CHINA LODGING GROUP LTD,28152,725
CHINA MING YANG WIND PWR GRO,210212,639
CHINA MOBILE GAMES & ENTMT G,54862,1155
CHINA MOBILE LIMITED,430966,25320
CHINA PETE & CHEM CORP,85562,7474
CHINA RECYCLING ENERGY CORP,18679,23
CHINA TELECOM CORP LTD,27170,1669
CHINA UNICOM (HONG KONG) LTD,85900,1291
CHINA XD PLASTICS CO LTD,100223,548
CHIPMOS TECH BERMUDA LTD,13181,298
CHIPOTLE MEXICAN GRILL INC,223290,148843
CHIQUITA BRANDS INTL INC,37432,531
CHOICE HOTELS INTL INC,37881,1969
CHUBB CORP,647423,58968
CHUNGHWA TELECOM CO LTD,106469,3191
CHURCH & DWIGHT INC,799485,56092
CHURCHILL DOWNS INC,6490,633
CHUYS HLDGS INC,556970,17483
CIBER INC,201540,691
CIENA CORP,224462,3753
CIGNA CORPORATION,4850167,439862
CIM COML TR CORP,230159,5082
CIMAREX ENERGY CO,1802678,228093
CINCINNATI BELL INC NEW,603572,2034
CINCINNATI FINL CORP,447323,21047
CINEDIGM CORP,57987,90
CINEMARK HOLDINGS INC,225297,7669
CINTAS CORP,401881,28369
CIRCOR INTL INC,639419,43052
CIRRUS LOGIC INC,327922,6837
CISCO SYS INC,27880988,701763
CIT GROUP INC,761605,35003
CITI TRENDS INC,21963,485
CITIGROUP INC,44131088,916196
CITIZENS FINL GROUP INC,3682692,86248
CITRIX SYS INC,4155108,296426
CITY HLDG CO,47368,1996
CITY NATL CORP,228747,17309
CITY OFFICE REIT INC,39467,536
CIVEO CORP,289989,3367
CIVITAS SOLUTIONS INC,118847,1856
CLARCOR INC,785181,49529
CLAYMORE EXCHANGE TRD FD TR,2441532,89880
CLAYMORE EXCHANGE-TRD FD TR,44643,1199
CLEAN ENERGY FUELS CORP,93421,729
CLEAN HARBORS INC,119419,6439
CLEAR CHANNEL OUTDOOR HLDGS,81858,552
CLEARWATER PAPER CORP,156645,9416
CLECO CORP NEW,1372559,66089
CLIFFS NAT RES INC,2520192,26160
CLOROX CO DEL,532908,51180
CLOUD PEAK ENERGY INC,54060,683
CLOUGH GLOBAL OPPORTUNITIES,10710,128
CLOVIS ONCOLOGY INC,338336,15347
CM FIN INC,12402,164
CME GROUP INC,829241,66302
CMS ENERGY CORP,525529,15587
CNA FINL CORP,81394,3095
CNH INDL N V,2372595,18814
CNO FINL GROUP INC,5782838,98076
CNOOC LTD,53771,9278
COACH INC,1205798,42938
COBALT INTL ENERGY INC,4069492,55345
COBIZ FINANCIAL INC,1142809,12777
COCA COLA BOTTLING CO CONS,18341,1368
COCA COLA CO,9520773,406156
COCA COLA ENTERPRISES INC NE,3923779,174059
COCA COLA FEMSA S A B DE C V,11404,1149
CODEXIS INC,18114,42
COEUR MNG INC,169178,839
COGENT COMMUNICATIONS HLDGS,18926,636
COGNEX CORP,135883,5472
COGNIZANT TECHNOLOGY SOLUTIO,2018594,90372
COHEN & STEERS INC,361024,13878
COHEN & STEERS INFRASTRUCTUR,83927,1943
COHEN & STEERS QUALITY RLTY,12431,132
COHERENT INC,21160,1298
COHU INC,10169,122
COLFAX CORP,61788,3520
COLGATE PALMOLIVE CO,5390858,351591
COLONY FINL INC,90818,2032
COLUMBIA BKG SYS INC,111722,2772
COLUMBIA PPTY TR INC,228765,5461
COLUMBIA SPORTSWEAR CO,126761,4536
COMBIMATRIX CORPORATION,17671,22
COMCAST CORP NEW,11017967,592247
COMERICA INC,1721518,85836
COMFORT SYS USA INC,1292364,17512
COMMERCE BANCSHARES INC,280908,12541
COMMERCIAL METALS CO,1362097,23251
COMMERCIAL VEH GROUP INC,17729,110
COMMSCOPE HLDG CO INC,1275287,30492
COMMUNITY BK SYS INC,1091691,36670
COMMUNITY HEALTH SYS INC NEW,295658,10142
COMMVAULT SYSTEMS INC,287292,14479
COMPANHIA BRASILEIRA DE DIST,52583,2293
COMPANHIA DE SANEAMENTO BASI,308563,2503
COMPANHIA ENERGETICA DE MINA,955512,5953
COMPANHIA PARANAENSE ENERG C,11361,155
COMPANHIA SIDERURGICA NACION,3202922,11371
COMPANIA DE MINAS BUENAVENTU,1205269,13957
COMPASS DIVERSIFIED HOLDINGS,104687,1833
COMPASS MINERALS INTL INC,33860,2853
COMPRESSCO PARTNERS L P,2391855,57788
COMPUGEN LTD,16491,141
COMPUTER PROGRAMS & SYS INC,19424,1116
COMPUTER SCIENCES CORP,914708,55935
COMPUTER TASK GROUP INC,11504,128
COMPUWARE CORP,3204570,34001
COMSCORE INC,51067,1859
COMSTOCK MNG INC,24867,30
COMSTOCK RES INC,219676,4091
COMTECH TELECOMMUNICATIONS C,7589,282
COMVERSE INC,22082,493
CON-WAY INC,133891,6360
CONAGRA FOODS INC,5901593,194989
CONATUS PHARMACEUTICALS INC,19770,121
CONCERT PHARMACEUTICALS INC,54631,689
CONCHO RES INC,124417,15600
CONCUR TECHNOLOGIES INC,174332,22108
CONE MIDSTREAM PARTNERS LP,1697253,47693
CONMED CORP,50579,1863
CONNECTICUT WTR SVC INC,11496,374
CONNECTONE BANCORP INC NEW,338054,6440
CONNS INC,46250,1400
CONOCOPHILLIPS,4291749,328404
CONSOL ENERGY INC,1448659,54846
CONSOLIDATED COMM HLDGS INC,49050,1229
CONSOLIDATED EDISON INC,1238048,70148
CONSOLIDATED TOMOKA LD CO,4466,219
CONSOLIDATED WATER CO INC,18395,215
CONSTANT CONTACT INC,201706,5474
CONSTELLATION BRANDS INC,1333724,116247
CONSTELLIUM NV,636782,15671
CONTAINER STORE GROUP INC,11772,256
CONTANGO OIL & GAS COMPANY,50634,1683
CONTINENTAL BLDG PRODS INC,176918,2583
CONTINENTAL RESOURCES INC,189478,12596
CONVERGYS CORP,2468607,43991
CONVERSANT INC,316254,10832
COOPER COS INC,133112,20732
COOPER STD HLDGS INC,15813,987
COOPER TIRE & RUBR CO,34149,980
COPA HOLDINGS SA,55650,5970
COPART INC,122493,3835
CORE LABORATORIES N V,706078,103334
CORE MARK HOLDING CO INC,520668,27616
CORELOGIC INC,125533,3399
CORENERGY INFRASTRUCTURE TR,1760990,13172
CORESITE RLTY CORP,121069,3980
CORINTHIAN COLLEGES INC,281706,31
CORIUM INTL INC,763685,4689
CORMEDIX INC,11377,21
CORNERSTONE ONDEMAND INC,415419,14294
CORNERSTONE PROGRESSIVE RTN,11625,48
CORNING INC,6232453,120536
CORONADO BIOSCIENCES INC,268316,563
CORP RES SVCS INC,62067,93
CORPORATE EXECUTIVE BRD CO,41019,2464
CORPORATE OFFICE PPTYS TR,1782864,45855
CORRECTIONS CORP AMER NEW,178560,6136
CORVEL CORP,22712,773
COSAN LTD,60087,646
COSI INC,14539,33
COSTAMARE INC,103522,2273
COSTAR GROUP INC,44759,6962
COSTCO WHSL CORP NEW,4835719,606013
COTY INC,43160,714
COUPONS COM INC,40623,486
COURIER CORP,26145,322
COUSINS PPTYS INC,621340,7425
COVANCE INC,157353,12384
COVANTA HLDG CORP,158919,3372
COVIDIEN PLC,1371824,118677
COWEN GROUP INC NEW,41327,155
CPFL ENERGIA S A,380639,5920
CRACKER BARREL OLD CTRY STOR,7157,739
CRAFT BREWERS ALLIANCE INC,13330,192
CRANE CO,982694,62116
CRAY INC,24142,633
CREDICORP LTD,293190,44972
CREDIT ACCEP CORP MICH,5014,632
CREDIT SUISSE ASSET MGMT INC,10708,37
CREDIT SUISSE GROUP,862450,23838
CREDIT SUISSE NASSAU BRH,25295,908
CREE INC,268088,10978
CRESCENT PT ENERGY CORP,2484500,89691
CRESTWOOD EQUITY PARTNERS LP,1045333,11049
CRESTWOOD MIDSTREAM PARTNERS,3614629,81943
CRESUD S A C I F Y A,12241,133
CRH PLC,155463,3546
CRITEO S A,3873,130
CROCS INC,109370,1376
CROSS CTRY HEALTHCARE INC,60611,563
CROWN CASTLE INTL CORP,1682616,136204
CROWN HOLDINGS INC,418552,18634
CSG SYS INTL INC,18634,490
CSS INDS INC,52008,1261
CST BRANDS INC,112008,4027
CSX CORP,2263934,72582
CTC MEDIA INC,34509,230
CTI BIOPHARMA CORP,452470,1095
CTRIP COM INTL LTD,550712,31258
CTS CORP,1513381,24048
CUBESMART,5546323,99723
CUBIC CORP,659973,30887
CUBIST PHARMACEUTICALS INC,362186,19409
CUI GLOBAL INC,27847,202
CULLEN FROST BANKERS INC,173638,13285
CULP INC,13628,247
CUMMINS INC,743905,98181
CUMULUS MEDIA INC,62585,252
CURIS INC,141449,199
CURRENCYSHARES AUSTRALIAN DL,158247,13875
CURRENCYSHARES CDN DLR TR,20118,1786
CURRENCYSHARES EURO TR,728109,90635
CURRENCYSHARES SWEDISH KRONA,3213,443
CURRENCYSHARES SWISS FRANC T,26516,2712
CURRENCYSHS BRIT POUND STER,1207,192
CURRENCYSHS JAPANESE YEN TR,154713,13739
CURTISS WRIGHT CORP,66458,4381
CUSTOMERS BANCORP INC,14698,264
CUTERA INC,43449,439
CVB FINL CORP,549072,7879
CVENT INC,55166,1400
CVR ENERGY INC,1959364,87642
CVR PARTNERS LP,660643,9071
CVR REFNG LP,2523562,58748
CVS HEALTH CORP,3576787,284676
CYAN INC,50539,158
CYBERARK SOFTWARE LTD,5726317,183299
CYBERONICS INC,119450,6111
CYCLACEL PHARMACEUTICALS INC,159529,485
CYPRESS SEMICONDUCTOR CORP,321233,3172
CYREN LTD,29073,64
CYRUSONE INC,144722,3479
CYS INVTS INC,490286,4040
CYTEC INDS INC,245764,11622
CYTOKINETICS INC,77470,273
CYTORI THERAPEUTICS INC,21728,15
CYTRX CORP,19433,49
D R HORTON INC,3181932,65293
DAKOTA PLAINS HLDGS INC,455870,1094
DAKTRONICS INC,51784,636
DANA HLDG CORP,493949,9469
DANAHER CORP DEL,4075852,309684
DARA BIOSCIENCES INC,39881,43
DARDEN RESTAURANTS INC,722972,37205
DARLING INGREDIENTS INC,138453,2536
DATALINK CORP,10686,114
DATAWATCH CORP,51803,531
DAVITA HEALTHCARE PARTNERS I,926093,67735
DAWSON GEOPHYSICAL CO,12090,220
DBX ETF TR,796998,23345
DCP MIDSTREAM PARTNERS LP,7046005,383655
DCT INDUSTRIAL TRUST INC,3274720,24593
DDR CORP,9474664,158511
DEALERTRACK TECHNOLOGIES INC,53894,2340
DEAN FOODS CO NEW,148712,1971
DECKERS OUTDOOR CORP,112791,10961
DEERE & CO,742593,60885
DELEK LOGISTICS PARTNERS LP,1509762,61462
DELEK US HLDGS INC,971347,32171
DELHAIZE GROUP,149340,2582
DELIA'S INC NEW,198331,53
DELPHI AUTOMOTIVE PLC,888089,54476
DELTA AIR LINES INC DEL,3112048,112501
DELTA APPAREL INC,26959,245
DELTA NAT GAS INC,11731,232
DELTIC TIMBER CORP,10322,643
DELUXE CORP,134470,7417
DEMAND MEDIA INC,1187141,10506
DEMANDWARE INC,36800,1874
DENALI FD INC,107281,2329
DENBURY RES INC,677404,10182
DENDREON CORP,2081250,2997
DENISON MINES CORP,101008,115
DENNYS CORP,172170,1210
DENTSPLY INTL INC NEW,651519,29709
DEPOMED INC,102310,1554
DERMA SCIENCES INC,28085,234
DESTINATION MATERNITY CORP,16770,259
DESTINATION XL GROUP INC,49888,236
DEUTSCHE BANK AG,10520288,366737
DEUTSCHE BK AG LONDON BRH,17355,281
DEUTSCHE MUN INCOME,102271,1349
DEVON ENERGY CORP NEW,8126625,554074
DEVRY ED GROUP INC,183680,7863
DEX MEDIA INC NEW,561355,5367
DEXCOM INC,580859,23229
DHT HOLDINGS INC,14816,91
DIAGEO P L C,135844,15676
DIAMOND FOODS INC,12659,362
DIAMOND OFFSHORE DRILLING IN,677006,23201
DIAMOND RESORTS INTL INC,1702410,38747
DIAMONDBACK ENERGY INC,84990,6355
DIAMONDROCK HOSPITALITY CO,393672,4992
DIANA CONTAINERSHIPS INC,114489,258
DIANA SHIPPING INC,49616,444
DICKS SPORTING GOODS INC,325290,14274
DIEBOLD INC,89538,3163
DIGI INTL INC,1115962,8370
DIGITAL RIV INC,20705,301
DIGITAL RLTY TR INC,1811034,112972
DIGITALGLOBE INC,136096,3879
DILLARDS INC,28814,3140
DIME CMNTY BANCSHARES,840212,12099
DINEEQUITY INC,19998,1632
DIODES INC,261736,6260
DIRECTV,2009101,173827
DIREXION SHS ETF TR,3106942,86997
DISCOVER FINL SVCS,1774972,114291
DISCOVERY COMMUNICATNS NEW,7624829,286299
DISCOVERY LABORATORIES INC N,138090,254
DISH NETWORK CORP,745215,48126
DISNEY WALT CO,10816999,963038
DIVERSIFIED RSTRNT HLDGS INC,66824,329
DOCUMENT SEC SYS INC,126737,108
DOLBY LABORATORIES INC,96501,4033
DOLLAR GEN CORP NEW,3824192,233696
DOLLAR TREE INC,1251014,70144
DOMINION DIAMOND CORP,44673,636
DOMINION RES INC VA NEW,2063509,136774
DOMINOS PIZZA INC,102389,7880
DOMTAR CORP,162962,5725
DONALDSON INC,378503,15379
DONNELLEY R R & SONS CO,1761295,28991
DORAL FINL CORP,44148,293
DORCHESTER MINERALS LP,19026,563
DORIAN LPG LTD,47027,838
DORMAN PRODUCTS INC,5693,228
DOT HILL SYS CORP,19936,75
DOUGLAS EMMETT INC,1550896,39812
DOVER CORP,430460,34578
DOW CHEM CO,4753627,249280
DR PEPPER SNAPPLE GROUP INC,789131,50749
DR REDDYS LABS LTD,30136,1584
DREAMWORKS ANIMATION SKG INC,517597,14114
DRESSER-RAND GROUP INC,813797,66943
DREW INDS INC,19012,802
DREYFUS HIGH YIELD STRATEGIE,45705,169
DRIL-QUIP INC,1942273,173639
DRYSHIPS INC,677770,1674
DS HEALTHCARE GROUP INC,17298,18
DSP GROUP INC,57118,507
DST SYS INC DEL,122615,10290
DSW INC,358027,10780
DTE ENERGY CO,596758,45402
DTF TAX-FREE INCOME INC,19269,290
DU PONT E I DE NEMOURS & CO,3787338,271779
DUCOMMUN INC DEL,21754,596
DUKE ENERGY CORP NEW,1864804,139431
DUKE REALTY CORP,4702025,80781
DUN & BRADSTREET CORP DEL NE,1305269,153330
DUNKIN BRANDS GROUP INC,529975,23753
DUPONT FABROS TECHNOLOGY INC,3099087,83800
DURATA THERAPEUTICS INC,21655,275
DURECT CORP,39992,59
DXP ENTERPRISES INC NEW,3169,233
DYAX CORP,535119,5416
DYCOM INDS INC,36195,1112
DYNAGAS LNG PARTNERS LP,3128083,73854
DYNAVAX TECHNOLOGIES CORP,496751,711
DYNEGY INC NEW DEL,1796621,46696
DYNEX CAP INC,28538,231
E HOUSE CHINA HLDGS LTD,73479,700
E M C CORP MASS,36602343,1070985
E TRADE FINANCIAL CORP,916910,20714
E-COMMERCE CHINA DANGDANG IN,396725,4840
EAGLE BANCORP INC MD,667441,21238
EAGLE BULK SHIPPING INC,52178,48
EAGLE MATERIALS INC,137593,14011
EAGLE ROCK ENERGY PARTNERS L,21709,77
EARTHLINK HLDGS CORP,107644,368
EAST WEST BANCORP INC,288161,9797
EASTGROUP PPTY INC,56116,3400
EASTMAN CHEM CO,1252556,101319
EASTMAN KODAK CO,34522,758
EATON CORP PLC,1191894,75530
EATON VANCE CORP,375330,14161
EATON VANCE ENHANCED EQ INC,21520,295
EATON VANCE LTD DUR INCOME F,19532,285
EATON VANCE NEW YORK MUN BD,45099,556
EATON VANCE RISK MNGD DIV EQ,18821,220
EATON VANCE TAX ADVT DIV INC,22338,451
EATON VANCE TAX MNGD GBL DV,75271,755
EATON VANCE TX MGD DIV EQ IN,30005,342
EATON VANCE TX MNG BY WRT OP,33581,498
EATON VANCE TXMGD GL BUYWR O,24950,303
EBAY INC,14906630,844162
EBIX INC,387143,5490
ECHELON CORP,81524,166
ECHOSTAR CORP,215889,10526
ECLIPSE RES CORP,179293,2980
ECOLAB INC,794484,91230
ECOPETROL S A,841241,26306
EDAP TMS S A,12487,16
EDISON INTL,1826405,102132
EDUCATION MGMT CORP NEW,54368658,59262
EDUCATION RLTY TR INC,263556,2709
EDWARDS LIFESCIENCES CORP,224289,22911
EGA EMERGING GLOBAL SHS TR,28198,740
EGAIN CORP,34099,205
EHEALTH INC,13519,326
EINSTEIN NOAH REST GROUP INC,70143,1414
EL PASO ELEC CO,1216220,44453
EL PASO PIPELINE PARTNERS L,2439752,97980
EL POLLO LOCO HLDGS INC,68720,2468
ELBIT SYS LTD,28818,1790
ELDORADO GOLD CORP NEW,933247,6290
ELDORADO RESORTS INC,30111,127
ELECTRO RENT CORP,42193,581
ELECTRO SCIENTIFIC INDS,47562,323
ELECTRONIC ARTS INC,2001269,71266
ELECTRONICS FOR IMAGING INC,1540664,68051
ELEPHANT TALK COMM CORP,12057,12
ELEVEN BIOTHERAPEUTICS INC,16819,187
ELIZABETH ARDEN INC,48457,811
ELLIE MAE INC,20783,678
ELLINGTON FINANCIAL LLC,159929,3554
ELLINGTON RESIDENTIAL MTG RE,37529,608
EMBOTELLADORA ANDINA S A,19061,365
EMBRAER S A,146149,5732
EMCOR GROUP INC,1271766,50819
EMCORE CORP,12342,70
EMERALD OIL INC,80927,498
EMERGE ENERGY SVCS LP,1586917,182972
EMERGENT BIOSOLUTIONS INC,350206,7463
EMERSON ELEC CO,2112065,132173
EMMIS COMMUNICATIONS CORP,28811,61
EMPIRE DIST ELEC CO,69002,1667
EMPIRE ST RLTY TR INC,96236,1445
EMPLOYERS HOLDINGS INC,27884,537
EMPRESA DIST Y COMERCIAL NOR,31059,345
EMPRESA NACIONAL DE ELCTRCID,76950,3382
EMULEX CORP,637181,3148
ENABLE MIDSTREAM PARTNERS LP,50858,1253
ENANTA PHARMACEUTICALS INC,47467,1878
ENBRIDGE ENERGY MANAGEMENT L,1054498,39238
ENBRIDGE ENERGY PARTNERS L P,552671,21472
ENBRIDGE INC,1332773,63813
ENCANA CORP,1796747,38109
ENCORE CAP GROUP INC,47710,2114
ENCORE WIRE CORP,7890,293
ENDEAVOUR INTL CORP,251239,75
ENDEAVOUR SILVER CORP,122046,533
ENDO INTL PLC,4983923,340601
ENDOCYTE INC,14737,90
ENDOLOGIX INC,1902066,20162
ENDURANCE INTL GROUP HLDGS I,20852775,339275
ENDURANCE SPECIALTY HLDGS LT,953580,52619
ENDURO RTY TR,327292,3698
ENERGEN CORP,158646,11460
ENERGIZER HLDGS INC,1188106,146386
ENERGY FOCUS INC,29494,172
ENERGY RECOVERY INC,66226,234
ENERGY TRANSFER EQUITY L P,19128285,1180023
ENERGY TRANSFER PRTNRS L P,6677613,427300
ENERGY XXI BERMUDA LTD,232618,2641
ENERNOC INC,12457,211
ENERPLUS CORP,382068,7248
ENERSIS S A,183308,2892
ENERSYS,56615,3319
ENGILITY HLDGS INC,95946,2991
ENGLOBAL CORP,17130,37
ENI S P A,1065570,50348
ENLINK MIDSTREAM LLC,363940,15041
ENLINK MIDSTREAM PARTNERS LP,291172,8867
ENNIS INC,35348,466
ENPHASE ENERGY INC,11632,174
ENPRO INDS INC,49324,2986
ENSCO PLC,863653,35678
ENSIGN GROUP INC,27022,940
ENSTAR GROUP LIMITED,798667,108875
ENTEGRIS INC,4511374,51881
ENTERCOM COMMUNICATIONS CORP,289638,2326
ENTERGY CORP NEW,1225318,94754
ENTEROMEDICS INC,96810,119
ENTERPRISE PRODS PARTNERS L,27172704,1095060
ENTRAVISION COMMUNICATIONS C,27722,110
ENTROPIC COMMUNICATIONS INC,168550,448
ENVESTNET INC,53492,2407
ENVISION HEALTHCARE HLDGS IN,2342243,81229
ENVIVIO INC,495420,911
ENZO BIOCHEM INC,91173,470
ENZON PHARMACEUTICALS INC,372368,403
ENZYMOTEC LTD,36571,244
EOG RES INC,1420536,140661
EP ENERGY CORP,65643,1147
EPAM SYS INC,21241,930
EPIQ SYS INC,15091,265
EPIZYME INC,12254,332
EPLUS INC,7426,416
EPR PPTYS,1771457,89777
EQT CORP,328369,30059
EQT MIDSTREAM PARTNERS LP,4088092,366334
EQUIFAX INC,228074,17046
EQUINIX INC,2467823,524363
EQUITY COMWLTH,1475134,37926
EQUITY LIFESTYLE PPTYS INC,646002,27365
EQUITY ONE,259230,5606
EQUITY RESIDENTIAL,1920929,118290
ERA GROUP INC,44848,975
ERICSSON,1337763,16843
ERIE INDTY CO,15613,1184
ESCO TECHNOLOGIES INC,23282,810
ESSA BANCORP INC,35956,406
ESSENT GROUP LTD,6038745,129290
ESSEX PPTY TR INC,325770,58232
ESTERLINE TECHNOLOGIES CORP,978744,108905
ETFS ASIAN GOLD TR,2047,244
ETFS GOLD TR,2132,253
ETFS PRECIOUS METALS BASKET,9058,572
ETFS SILVER TR,10187,171
ETHAN ALLEN INTERIORS INC,166744,3802
EURONET WORLDWIDE INC,79913,3820
EV ENERGY PARTNERS LP,4269,151
EVERBANK FINL CORP,51917,917
EVERCORE PARTNERS INC,135039,6346
EVEREST RE GROUP LTD,1349823,218685
EVERTEC INC,1004470,22439
EVERYDAY HEALTH INC,1994745,27867
EVOGENE LTD,57087,751
EVOLUTION PETROLEUM CORP,12003,110
EVRYWARE GLOBAL INC,75130,198
EXA CORP,16040,181
EXACT SCIENCES CORP,1840614,35671
EXAMWORKS GROUP INC,9870,323
EXAR CORP,22367,200
EXCEL TR INC,22730,268
EXCO RESOURCES INC,433477,1448
EXELIS INC,636142,10522
EXELIXIS INC,2992413,4578
EXELON CORP,22169799,758242
EXETER RES CORP,85927,52
EXFO INC,171443,717
EXLSERVICE HOLDINGS INC,42891,1047
EXONE CO,29098,608
EXPEDIA INC DEL,1951916,171027
EXPEDITORS INTL WASH INC,473682,19222
EXPONENT INC,13595,964
EXPRESS INC,921210,14380
EXPRESS SCRIPTS HLDG CO,2796815,197539
EXTERRAN HLDGS INC,61830,2740
EXTERRAN PARTNERS LP,36372,1067
EXTRA SPACE STORAGE INC,1149797,59295
EXTREME NETWORKS INC,4372733,20946
EXXON MOBIL CORP,15496823,1457476
EZCORP INC,292944,2903
F M C CORP,358008,20474
F5 NETWORKS INC,190920,22670
FABRINET,16167,236
FACEBOOK INC,7521710,594515
FACTSET RESH SYS INC,145014,17624
FAIR ISAAC CORP,75187,4143
FAIRCHILD SEMICONDUCTOR INTL,2947226,45770
FALCONSTOR SOFTWARE INC,25759,30
FAMILY DLR STORES INC,1060029,81877
FARMERS CAP BK CORP,12638,285
FARMERS NATL BANC CORP,32189,257
FARO TECHNOLOGIES INC,3461,176
FASTENAL CO,501868,22534
FATE THERAPEUTICS INC,83692,427
FBL FINL GROUP INC,18969,848
FBR & CO,10844,298
FEDERAL AGRIC MTG CORP,11394,274
FEDERAL REALTY INVT TR,335749,39773
FEDERAL SIGNAL CORP,22069,292
FEDERATED INVS INC PA,561367,16482
FEDERATED PREM INTR MUN INC,17762,228
FEDEX CORP,1411010,227808
FEI CO,49760,3753
FELCOR LODGING TR INC,319714,2993
FERRELLGAS PARTNERS L.P.,49629,1333
FERRO CORP,34996,507
FIBRIA CELULOSE S A,13805,152
FIBROCELL SCIENCE INC,75004,218
FIDELITY,647024,18085
FIDELITY & GTY LIFE,743646,15877
FIDELITY NATIONAL FINANCIAL,1183797,30284
FIDELITY NATL INFORMATION SV,2285107,128651
FIDUS INVT CORP,16411,271
FIESTA RESTAURANT GROUP INC,10251,509
FIFTH STREET FINANCE CORP,710241,6520
FIFTH THIRD BANCORP,16173383,323791
FINANCIAL ENGINES INC,25212,863
FINANCIAL INSTNS INC,11277,254
FINISAR CORP,96414,1604
FINISH LINE INC,228944,5730
FINJAN HLDGS INC,13610,45
FIREEYE INC,312311,9544
FIRST ACCEPTANCE CORP,10777,27
FIRST AMERN FINL CORP,227319,6165
FIRST BANCORP INC ME,20215,337
FIRST BANCORP P R,12229,58
FIRST BUSEY CORP,36101,201
FIRST CASH FINL SVCS INC,515061,28833
FIRST COMWLTH FINL CORP PA,252784,2121
FIRST CTZNS BANC CORP,20700,207
FIRST CTZNS BANCSHARES INC N,4545,984
FIRST FINL BANCORP OH,164781,2609
FIRST FINL BANKSHARES,1590591,44202
FIRST FINL CORP IND,10397,322
FIRST FINL SVC CORP,17171,62
FIRST HORIZON NATL CORP,2219803,27259
FIRST INDUSTRIAL REALTY TRUS,493716,8349
FIRST INTST BANCSYSTEM INC,178017,4730
FIRST LONG IS CORP,264619,9116
FIRST MAJESTIC SILVER CORP,118104,921
FIRST MARBLEHEAD CORP,12836,36
FIRST MERCHANTS CORP,94463,1909
FIRST MIDWEST BANCORP DEL,1800837,28976
FIRST NBC BK HLDG CO,24142,791
FIRST NIAGARA FINL GP INC,1234345,10282
FIRST POTOMAC RLTY TR,153909,1808
FIRST REP BK SAN FRANCISCO C,4715611,232857
FIRST SEC GROUP INC,258460,512
FIRST SOLAR INC,206244,13573
FIRST SOUTH BANCORP INC VA,29233,237
FIRST TR EXCH TRD ALPHA FD I,112926,3701
FIRST TR EXCHANG TRADED FD I,50000,2526
FIRST TR EXCHANGE TRADED FD,2871168,110853
FIRST TR EXCNGE TRD ALPHADEX,408156,12010
FIRST TR HIGH INCOME L/S FD,10229,175
FIRST TR ISE REVERE NAT GAS,358508,6414
FIRST TR ISE WATER INDEX FD,25237,801
FIRST TR LRG CP GRWTH ALPHAD,62195,2707
FIRST TR LRG CP VL ALPHADEX,4745,202
FIRST TR LRGE CP CORE ALPHA,18483,804
FIRST TR MID CAP CORE ALPHAD,9764,490
FIRST TR MORNINGSTAR DIV LEA,13642,319
FIRST TR MULTI CAP VALUE ALP,56773,2584
FIRST TR NAS100 EQ WEIGHTED,144607,5793
FIRST TR S&P REIT INDEX FD,32708,643
FIRST TR STOXX EURO DIV FD,41658,563
FIRST TR VALUE LINE DIVID IN,16339,367
FIRSTENERGY CORP,13965638,468827
