nameOfIssuer,sprice,sshPrnamt
ARRIS INTL INC,30.1304318612,1279902
ARROW ELECTRS INC,71.3003285503,1264342
ARROW FINL CORP,40.4320987654,6480
ARROWHEAD PHARMACEUTICALS IN,1.54912650286,218833
ARTISAN PARTNERS ASSET MGMT,29.7494634786,750669
ASANKO GOLD INC,3.05982768339,149028
ASBURY AUTOMOTIVE GROUP INC,61.7004996636,389462
ASCENA RETAIL GROUP INC,6.19001105399,901937
ASCENT CAP GROUP INC,16.2461830364,33731
ASHFORD HOSPITALITY PRIME IN,13.6439304094,91909
ASHFORD HOSPITALITY TR INC,7.76288299929,191939
ASHLAND GLOBAL HLDGS INC,109.289862547,2497432
ASML HOLDING N V,112.20080363,230952
ASPEN INSURANCE HOLDINGS LTD,54.99975254,565748
ASPEN TECHNOLOGY INC,54.679934895,485370
ASSOCIATED BANC CORP,18.0535514905,1237762
ASSURANT INC,92.8578528827,603600
ASSURED GUARANTY LTD,37.7703298535,1974301
ASTEC INDS INC,67.4562064419,127416
ASTERIAS BIOTHERAPEUTICS INC,0.535801266439,20530
ASTORIA FINL CORP,18.6487462206,265916
ASTRAZENECA PLC,27.3204616847,2039314
ASTRONICS CORP,33.848998124,36781
AT&T INC,42.5299701436,22729454
ATARA BIOTHERAPEUTICS INC,14.1990724224,28030
ATHENAHEALTH INC,105.168236205,200165
ATHENE HLDG LTD,47.9979466119,27272
ATHERSYS INC,1.53054868391,56189
ATKORE INTL GROUP INC,23.9134013829,72888
ATLANTIC AMERN CORP,4.10196308233,10239
ATLANTIC PWR CORP,2.50372822919,219273
ATLANTICA YIELD PLC,19.3567711258,53418
ATLANTICUS HLDGS CORP,2.83822138127,51793
ATLAS AIR WORLDWIDE HLDGS IN,52.148441529,48477
ATLASSIAN CORP PLC,24.0914271242,31588
ATMOS ENERGY CORP,74.1500566555,1793296
ATN INTL INC,80.1237737837,15189
ATOMERA INC,6.76826153584,23492
ATRICURE INC,19.5904356061,16896
ATRION CORP,507.186858316,5357
ATWOOD OCEANICS INC,13.1306940361,288789
ATYR PHARMA INC,2.15423836839,78450
AU OPTRONICS CORP,3.53794090502,149522
AUDENTES THERAPEUTICS INC,18.2858364968,18703
AUDIOCODES LTD,6.34785322302,131383
AURINIA PHARMACEUTICALS INC,2.10010857491,1274696
AURIS MED HLDG AG,1.08257913653,23093
AUTOBYTEL INC,13.4351633412,25009
AUTODESK INC,74.0105161615,1683504
AUTOHOME INC,25.2840065841,74118
AUTOLIV INC,113.149007768,83801
AUTOMATIC DATA PROCESSING IN,102.780524035,1829763
AUTONATION INC,48.6497025269,846295
AUTOZONE INC,789.791428422,172267
AV HOMES INC,15.7909951579,27674
AVALONBAY CMNTYS INC,177.149963548,2135699
AVANGRID INC,37.8795512562,476352
AVERY DENNISON CORP,70.2198426732,3480398
AVEXIS INC,47.7268051841,34027
AVIANCA HLDGS SA,9.64005527196,1905487
AVIS BUDGET GROUP,36.6799502935,1586916
AVISTA CORP,39.9899834996,223631
AVNET INC,47.6101052809,2603985
AVON PRODS INC,5.04021586793,3315731
AVX CORP NEW,15.6260044633,217778
AWARE INC MASS,6.05907599091,11883
AXALTA COATING SYS LTD,27.2004236286,1061307
AXCELIS TECHNOLOGIES INC,14.5599438653,39904
AXIS CAPITAL HOLDINGS LTD,65.2699500084,879348
AXOVANT SCIENCES LTD,12.4174474817,180794
AXT INC,4.79080814437,49261
AZZ INC,63.8950052538,149417
B & G FOODS INC NEW,43.8005390836,179564
B2GOLD CORP,2.37051191923,772407
BABCOCK & WILCOX ENTERPRIS I,16.5888877856,140998
BADGER METER INC,36.9492937841,710406
BAIDU INC,164.410431894,1536557
BAKER HUGHES INC,64.9700133516,3622779
BALCHEM CORP,83.905779807,48185
BALDWIN & LYONS INC,25.2246571023,12686
BALL CORP,75.0698444509,3042833
BANC OF CALIFORNIA INC,17.3495063374,234877
BANCFIRST CORP,93.0422919509,10995
BANCO BILBAO VIZCAYA ARGENTA,6.77000955893,1853764
BANCO BRADESCO S A,8.7101124132,15414382
BANCO DE CHILE,70.446125676,140902
BANCO MACRO SA,64.3501173371,218601
BANCO SANTANDER BRASIL S A,8.89011370364,1175688
BANCO SANTANDER CHILE NEW,21.8732642662,165636
BANCO SANTANDER SA,5.17992530178,4853931
BANCOLOMBIA S A,36.6835411779,161980
BANCORP INC DEL,7.85113433597,19615
BANCORPSOUTH INC,31.0500914065,1814423
BANK AMER CORP,22.1220530788,61343131
BANK HAWAII CORP,88.6897075579,329125
BANK MONTREAL QUE,71.9196015491,926187
BANK MUTUAL CORP NEW,9.44906749656,133029
BANK N S HALIFAX,55.6802725672,2151983
BANK NEW YORK MELLON CORP,47.3798219585,5729000
BANK OF NT BUTTERFIELD&SON L,31.4434546278,26492
BANK OF THE OZARKS INC,52.5899688148,2280568
BANKRATE INC DEL,11.0516572414,394330
BANKUNITED INC,37.6882037291,453033
BANNER CORP,55.8099285808,1551964
BANRO CORP,0.18909988455,100476
BAOZUN INC,12.0698604565,2648995
BARCLAYS BANK PLC,27.2885672162,74610
BARCLAYS BK PLC,25.5851065128,2868153
BARCLAYS PLC,11.0000612852,1599082
BARD C R INC,224.659426325,935407
BARNES & NOBLE ED INC,11.4707112083,165029
BARNES & NOBLE INC,11.1490236382,364875
BARNES GROUP INC,47.4191832198,949215
BARRACUDA NETWORKS INC,21.4283489582,256856
BARRETT BILL CORP,6.98960911569,438365
BARRETT BUSINESS SERVICES IN,64.085447263,17227
BARRICK GOLD CORP,15.9798747219,7248993
BASIC ENERGY SVCS INC NEW,35.3501954689,1592325
BASSETT FURNITURE INDS INC,30.3762142435,18633
BATS GLOBAL MKTS INC,33.5101122899,2323806
BAXTER INTL INC,44.3400174408,5247472
BAYTEX ENERGY CORP,4.88291566406,255585
BAZAARVOICE INC,4.85448222746,85694
BB&T CORP,47.0200393947,5595678
BBVA BANCO FRANCES S A,17.4308211474,555625
BCE INC,43.2400282372,2563990
BE AEROSPACE INC,60.1896820328,2055967
BEACON ROOFING SUPPLY INC,46.0701395613,1476770
BEAZER HOMES USA INC,13.2969318037,141386
BEBE STORES INC,5.08346931091,15934
BECTON DICKINSON & CO,165.548395174,670976
BED BATH & BEYOND INC,40.6398296199,1592674
BEIGENE LTD,30.3533190578,18680
BEL FUSE INC,30.8943560897,68977
BELDEN INC,74.7704756471,269906
BELLATRIX EXPLORATION LTD,0.94679192615,122519
BELLICUM PHARMACEUTICALS INC,13.6106385195,28801
BELMOND LTD,13.3512239735,149799
BEMIS INC,47.8201154727,1929460
BENCHMARK ELECTRS INC,30.4987378796,399328
BENEFICIAL BANCORP INC,18.4015049199,207320
BENEFITFOCUS INC,29.7000021993,6274646
BERKLEY W R CORP,66.5100396984,1329273
BERKSHIRE HATHAWAY INC DEL,166.946744097,5227721
BERKSHIRE HILLS BANCORP INC,36.8551002121,155121
BERRY PLASTICS GROUP INC,48.7300228311,2564928
BEST BUY INC,42.669946492,4521379
BGC PARTNERS INC,10.2309708758,436029
BHP BILLITON LTD,35.7803110846,1667649
BHP BILLITON PLC,31.4607158426,431268
BIG 5 SPORTING GOODS CORP,17.347770404,120246
BIG LOTS INC,50.2096555705,928666
BIGLARI HLDGS INC,473.270076371,4321
BIO PATH HOLDINGS INC,1.33455081829,14237
BIO RAD LABS INC,182.284821584,80654
BIO TECHNE CORP,102.831520385,240860
BIOANALYTICAL SYS INC,0.793493354493,10082
BIOCRYST PHARMACEUTICALS,6.32957488131,741440
BIODELIVERY SCIENCES INTL IN,1.75059594756,80544
BIOGEN INC,283.580560296,1298065
BIOLASE INC,1.39675349188,26490
BIOMARIN PHARMACEUTICAL INC,82.8397053584,1380932
BIOSCRIP INC,1.03207162577,38757
BIOSPECIFICS TECHNOLOGIES CO,55.7041991825,53820
BIOSTAGE INC,0.862271693972,12757
BIOTELEMETRY INC,22.3534414442,103474
BIOTIME INC,3.62096477231,16294
BITAUTO HLDGS LTD,18.858393669,5939
BJS RESTAURANTS INC,39.2994340948,121045
BLACK BOX CORP DEL,15.2493389903,97578
BLACK DIAMOND INC,5.3448160311,59684
BLACK HILLS CORP,61.3404477389,1314516
BLACK KNIGHT FINL SVCS INC,37.7999194225,4112813
BLACK STONE MINERALS L P,18.7796056469,642825
BLACKBAUD INC,64.0020868355,172510
BLACKBERRY LTD,6.88935122736,1312170
BLACKHAWK NETWORK HLDGS INC,37.6727957955,67927
BLACKROCK CAPITAL INVESTMENT,6.96475412307,33167
BLACKROCK CORE BD TR,13.0027000142,14074
BLACKROCK CORPOR HI YLD FD I,10.7989607015,12316
BLACKROCK CR ALLCTN INC TR,12.9956999522,10465
BLACKROCK ENH CAP & INC FD I,13.7028014616,19704
BLACKROCK ENHANCED EQT DIV T,8.16215480887,14702
BLACKROCK FLOAT RATE OME STR,14.4020853698,30690
BLACKROCK GLOBAL OPP EQTY TR,11.5514918976,24499
BLACKROCK INC,380.539988796,501603
BLACKROCK INTL GRWTH & INC T,5.48230395559,14410
BLACKROCK RES & COMM STRAT T,8.24480735691,18921
BLACKSTONE GROUP L P,27.0299262274,6311153
BLACKSTONE MTG TR INC,30.0698432257,2480126
BLDRS INDEX FDS TR,32.2489391796,21210
BLOCK H & R INC,22.9899768455,3500395
BLOOMIN BRANDS INC,18.0301492434,838429
BLUCORA INC,14.7509011997,250222
BLUE BIRD CORP,15.4485102099,31783
BLUE BUFFALO PET PRODS INC,24.0400689719,5174278
BLUE NILE INC,40.6341070211,96766
BLUEBIRD BIO INC,61.7025127447,265208
BLUEKNIGHT ENERGY PARTNERS L,6.84899594651,85852
BLUEPRINT MEDICINES CORP,28.046597863,93309
BMC STK HLDGS INC,19.4995829619,696579
BNC BANCORP,31.9001016267,1571437
BOARDWALK PIPELINE PARTNERS,17.3599998631,4674424
BOB EVANS FARMS INC,53.2058754955,171560
BOEING CO,155.679965456,3325566
BOFI HLDG INC,28.5503682739,177721
BOINGO WIRELESS INC,12.1981936598,27791
BOISE CASCADE CO DEL,22.5021561299,76526
BOK FINL CORP,83.0383634724,373767
BON-TON STORES INC,1.46601190797,111186
BONANZA CREEK ENERGY INC,1.02714600147,27260
BOOT BARN HLDGS INC,12.5203022768,1475204
BOOZ ALLEN HAMILTON HLDG COR,36.069729399,960972
BORGWARNER INC,39.4393988756,1623757
BOSTON BEER INC,169.852083857,87482
BOSTON PRIVATE FINL HLDGS IN,16.5500142783,2885496
BOSTON PROPERTIES INC,125.779966269,2213397
BOSTON SCIENTIFIC CORP,21.6300988852,5309592
BOTTOMLINE TECH DEL INC,25.020409199,1142867
BOULDER GROWTH & INCOME FD I,8.94063831999,336665
BOX INC,13.8564991962,44167
BOYD GAMING CORP,20.1697677659,495147
BP PLC,37.3799906801,7648156
BP PRUDHOE BAY RTY TR,23.7145223218,13283
BRADY CORP,37.5514963821,523095
BRANDYWINE RLTY TR,16.5098503126,985654
BRASKEM S A,21.2102699489,366662
BRAVO BRIO RESTAURANT GROUP,3.80312282284,122005
BRF SA,14.7575121977,266034
BRIDGEPOINT ED INC,10.1263846607,140919
BRIGGS & STRATTON CORP,22.2582075851,96953
BRIGHT HORIZONS FAM SOL IN D,70.0290319838,82323
BRIGHTCOVE INC,8.05590253263,55239
BRINKER INTL INC,49.5304086224,949336
BRINKS CO,41.2490043732,266164
BRISTOL MYERS SQUIBB CO,58.4400419943,6722822
BRISTOW GROUP INC,20.4842634171,101102
BRITISH AMERN TOB PLC,112.669929787,2048346
BRIXMOR PPTY GROUP INC,24.4200255083,12341060
BROADCOM LTD,176.770141447,2147512
BROADRIDGE FINL SOLUTIONS IN,66.2997995598,1566053
BROADSOFT INC,41.2515878853,59828
BROADWAY FINL CORP DEL,1.63407899927,17747
BROADWIND ENERGY INC,4.04525422614,91218
BROCADE COMMUNICATIONS SYS I,12.489981859,17395942
BROOKDALE SR LIVING INC,12.4200452035,2978089
BROOKFIELD ASSET MGMT INC,33.0097782712,1787228
BROOKFIELD INFRAST PARTNERS,33.442408377,15280
BROOKFIELD PPTY PARTNERS L P,21.9908840245,266565
BROOKFIELD RENEWABLE ENRGY P,29.6988622715,91586
BROOKLINE BANCORP INC DEL,16.4000937701,2376023
BROOKS AUTOMATION INC,17.070008643,189748
BROWN & BROWN INC,44.8602965322,1132828
BROWN FORMAN CORP,44.9392206431,3495677
BRUKER CORP,21.1799851589,1878566
BRUNSWICK CORP,54.5402352167,1142606
BRYN MAWR BK CORP,42.1681530868,23098
BT GROUP PLC,23.0303414722,536032
BUCKEYE PARTNERS L P,66.1599459564,5146951
BUCKLE INC,22.802737447,143053
BUFFALO WILD WINGS INC,154.393559283,60987
BUILD A BEAR WORKSHOP,13.7438152831,10914
BUILDERS FIRSTSOURCE INC,10.971367407,67266
BUNGE LIMITED,72.2399604787,686213
BURLINGTON STORES INC,84.7500398492,3055267
BWX TECHNOLOGIES INC,39.7000585528,794155
C D I CORP,7.40718021071,65207
C H ROBINSON WORLDWIDE INC,73.2596207301,1181797
