nameOfIssuer,sshPrnamt,value
CHESAPEAKE UTILS CORP,14309,904
CHEVRON CORP NEW,5656277,672587
CHICAGO BRIDGE & IRON CO N V,132958,11587
CHICOS FAS INC,455806,7307
CHILDRENS PL RETAIL STORES I,19243,958
CHIMERA INVT CORP,16047218,49104
CHIMERIX INC,15580,356
CHINA DISTANCE ED HLDGS LTD,542131,9775
CHINA FD INC,11908,237
CHINA FIN ONLINE CO LTD,21038,96
CHINA HGS REAL ESTATE INC,20456,104
CHINA LIFE INS CO LTD,107718,4561
CHINA MING YANG WIND PWR GRO,405139,1155
CHINA MOBILE GAMES & ENTMT G,35718,789
CHINA MOBILE LIMITED,186916,8522
CHINA NEPSTAR CHAIN DRUGSTOR,25000000,59767
CHINA PETE & CHEM CORP,61205,5478
CHINA UNICOM (HONG KONG) LTD,12103,159
CHINDEX INTERNATIONAL INC,20254,386
CHIPMOS TECH BERMUDA LTD,23398,516
CHIPOTLE MEXICAN GRILL INC,619323,351806
CHIQUITA BRANDS INTL INC,57190,712
CHOICE HOTELS INTL INC,24747,1138
CHRISTOPHER & BANKS CORP,32401,214
CHUBB CORP,700283,62535
CHUNGHWA TELECOM CO LTD,67800,2080
CHURCH & DWIGHT INC,2500089,172682
CHURCHILL DOWNS INC,6546,598
CHUYS HLDGS INC,459707,19832
CIBER INC,236771,1084
CIENA CORP,244271,5555
CIGNA CORPORATION,1886714,157975
CIMAREX ENERGY CO,3575275,425851
CINCINNATI BELL INC NEW,542082,1876
CINCINNATI FINL CORP,463050,22532
CINEDIGM CORP,74187,190
CINEMARK HOLDINGS INC,206324,5985
CINTAS CORP,437560,26083
CIRCOR INTL INC,576036,42241
CIRRUS LOGIC INC,371848,7389
CISCO SYS INC,21246999,476251
CIT GROUP INC,1136714,55722
CITI TRENDS INC,26544,432
CITIGROUP INC,47525225,1004165
CITIZENS INC,16006,118
CITRIX SYS INC,4851888,278693
CITY HLDG CO,52247,2344
CITY NATL CORP,242176,19064
CLARCOR INC,72302,4146
CLAYMORE EXCHANGE TRD FD TR,2365712,90891
CLEAN ENERGY FUELS CORP,209016,1869
CLEAN HARBORS INC,61334,3361
CLEAR CHANNEL OUTDOOR HLDGS,138823,1265
CLEARWATER PAPER CORP,29053,1821
CLECO CORP NEW,2030435,102699
CLIFFS NAT RES INC,1002716,20515
CLIFTON SVGS BANCORP INC,10034,118
CLOROX CO DEL,366146,32224
CLOUD PEAK ENERGY INC,521450,11023
CLOVIS ONCOLOGY INC,228418,15822
CLUBCORP HLDGS INC,37222,703
CME GROUP INC,1374950,101773
CMS ENERGY CORP,903504,26454
CNA FINL CORP,81489,3482
CNH INDL N V,3091786,35556
CNO FINL GROUP INC,5431706,98314
CNOOC LTD,24351,3697
COACH INC,1885279,93623
COBALT INTL ENERGY INC,34826204,638016
COBIZ FINANCIAL INC,1176617,13555
COCA COLA BOTTLING CO CONS,33048,2809
COCA COLA CO,13538776,523409
COCA COLA ENTERPRISES INC NE,1568731,74923
COCA COLA FEMSA S A B DE C V,92433,9754
CODEXIS INC,54780,112
COEUR MNG INC,1507192,14002
COGENT COMM GROUP INC,45462,1615
COGNEX CORP,158725,5374
COGNIZANT TECHNOLOGY SOLUTIO,2691288,136179
COHEN & STEERS INC,444869,17728
COHEN & STEERS INFRASTRUCTUR,87437,1931
COHERENT INC,24255,1585
COHU INC,10760,116
COLFAX CORP,58349,4162
COLGATE PALMOLIVE CO,6218950,403423
COLONY FINL INC,134854,2960
COLUMBIA BKG SYS INC,147394,4204
COLUMBIA PPTY TR INC,144485,3937
COLUMBIA SPORTSWEAR CO,76831,6351
COLUMBUS MCKINNON CORP N Y,9748,261
COMCAST CORP NEW,13871304,692576
COMERICA INC,1775926,91993
COMFORT SYS USA INC,1373894,20938
COMMERCE BANCSHARES INC,268962,12486
COMMERCIAL METALS CO,2211693,41757
COMMERCIAL VEH GROUP INC,22232,203
COMMONWEALTH REIT,692761,18220
COMMSCOPE HLDG CO INC,33080,816
COMMUNITY BK SYS INC,1111196,43359
COMMUNITY HEALTH SYS INC NEW,351811,6775
COMMUNITY TR BANCORP INC,11335,470
COMMUNITYONE BANCORP,12729,143
COMMVAULT SYSTEMS INC,642211,41712
COMPANHIA BRASILEIRA DE DIST,147391,6450
COMPANHIA DE SANEAMENTO BASI,995744,9221
COMPANHIA ENERGETICA DE MINA,869969,5916
COMPANHIA PARANAENSE ENERG C,10197,134
COMPANHIA SIDERURGICA NACION,1393773,6077
COMPANIA DE MINAS BUENAVENTU,1048225,13176
COMPASS DIVERSIFIED HOLDINGS,75516,1428
COMPASS MINERALS INTL INC,73686,6081
COMPUGEN LTD,23290,245
COMPUTER PROGRAMS & SYS INC,16703,1079
COMPUTER SCIENCES CORP,1054538,64137
COMPUTER TASK GROUP INC,20489,348
COMPUWARE CORP,1470252,15438
COMSCORE INC,72057,2362
COMSTOCK RES INC,299502,6843
COMTECH TELECOMMUNICATIONS C,49069,1563
COMVERSE INC,17926,620
CON-WAY INC,133071,5466
CONAGRA FOODS INC,6064990,188196
CONATUS PHARMACEUTICALS INC,19976,163
CONCERT PHARMACEUTICALS INC,67145,903
CONCHO RES INC,321758,39416
CONCUR TECHNOLOGIES INC,539353,53434
CONMED CORP,9597,417
CONNECTICUT WTR SVC INC,17525,599
CONNS INC,5658,220
CONOCOPHILLIPS,5347044,376165
CONSOL ENERGY INC,1575263,62932
CONSOLIDATED COMM HLDGS INC,50413,1009
CONSOLIDATED EDISON INC,1460469,78354
CONSOLIDATED WATER CO INC,16289,215
CONSTANT CONTACT INC,278113,6802
CONSTELLATION BRANDS INC,1602217,136141
CONSTELLIUM NV,2705435,79405
CONTAINER STORE GROUP INC,35034,1189
CONTANGO OIL & GAS COMPANY,72825,3477
CONTINENTAL BLDG PRODS INC,110722,2086
CONTINENTAL RESOURCES INC,138864,17257
CONTROLADORA VUELA CIA DE AV,74761,621
CONVERGYS CORP,2334169,51142
CONVERSANT INC,415145,11686
COOPER COS INC,128832,17697
COOPER TIRE & RUBR CO,36546,888
COPA HOLDINGS SA,127749,18548
COPART INC,133729,4867
CORCEPT THERAPEUTICS INC,27717,121
CORE LABORATORIES N V,514862,102169
CORE MARK HOLDING CO INC,11158,810
CORELOGIC INC,176478,5301
CORENERGY INFRASTRUCTURE TR,1791648,12094
CORESITE RLTY CORP,654606,20292
CORINTHIAN COLLEGES INC,96432,133
CORMEDIX INC,17400,44
CORNERSTONE ONDEMAND INC,668352,31994
CORNING INC,7515136,156465
CORONADO BIOSCIENCES INC,126146,250
CORP RES SVCS INC,54211,171
CORPORATE EXECUTIVE BRD CO,46716,3468
CORPORATE OFFICE PPTYS TR,683020,18195
CORRECTIONS CORP AMER NEW,158169,4954
CORVEL CORP,53174,2646
COSAN LTD,59225,675
COSTAMARE INC,189315,4070
COSTAR GROUP INC,68903,12867
COSTCO WHSL CORP NEW,5476437,611608
COTT CORP QUE,28864,244
COTY INC,62246,932
COUPONS COM INC,199985,4930
COUSINS PPTYS INC,486491,5580
COVANCE INC,165322,17177
COVANTA HLDG CORP,95669,1727
COVIDIEN PLC,3434267,252969
COWEN GROUP INC NEW,112957,498
CPFL ENERGIA S A,714989,11676
CRA INTL INC,9891,217
CRACKER BARREL OLD CTRY STOR,8303,808
CRANE CO,3561488,253399
CRAWFORD & CO,11923,130
CRAY INC,43210,1613
CREDICORP LTD,114822,15836
CREDIT ACCEP CORP MICH,5101,725
CREDIT SUISSE AG NASSAU BRH,4600,210
CREDIT SUISSE GROUP,709936,22988
CREDIT SUISSE NASSAU BRH,115150,1667
CREE INC,317537,17960
CRESCENT PT ENERGY CORP,1165320,42546
CRESTWOOD EQUITY PARTNERS LP,1066937,14766
CRESTWOOD MIDSTREAM PARTNERS,1845393,41595
CRH PLC,124309,3504
CRITEO S A,28567,1158
CROCS INC,97583,1522
CROSS CTRY HEALTHCARE INC,28642,231
CROWN CASTLE INTL CORP,2089965,155340
CROWN HOLDINGS INC,313923,14045
CROWN MEDIA HLDGS INC,61041,234
CSG SYS INTL INC,39360,1025
CSS INDS INC,64108,1731
CST BRANDS INC,154343,4822
CSX CORP,2719250,78776
CTC MEDIA INC,18529,171
CTRIP COM INTL LTD,664355,33497
CTS CORP,1561632,32607
CUBESMART,5437025,93300
CUBIC CORP,683692,34916
CUBIST PHARMACEUTICALS INC,409766,23290
CULLEN FROST BANKERS INC,150887,11699
CULP INC,14239,281
CUMMINS INC,852973,127084
CUMULUS MEDIA INC,34434,238
CURIS INC,99603,281
CURRENCYSHARES AUSTRALIAN DL,114164,10602
CURRENCYSHARES CDN DLR TR,92620,8334
CURRENCYSHARES EURO TR,549083,74692
CURRENCYSHARES SWEDISH KRONA,3720,571
CURRENCYSHARES SWISS FRANC T,22958,2542
CURRENCYSHS BRIT POUND STER,25801,4236
CURRENCYSHS JAPANESE YEN TR,84861,8022
CURTISS WRIGHT CORP,42297,2687
CVB FINL CORP,530968,8442
CVENT INC,9301,336
CVR ENERGY INC,1102298,46572
CVR PARTNERS LP,589681,12495
CVR REFNG LP,2147419,49991
CVS CAREMARK CORPORATION,4225364,316311
CYAN INC,83620,357
CYBERONICS INC,90937,5934
CYCLACEL PHARMACEUTICALS INC,131658,485
CYNOSURE INC,6907,202
CYPRESS SEMICONDUCTOR CORP,338525,3477
CYS INVTS INC,282113,2330
CYTEC INDS INC,75078,7329
CYTOKINETICS INC,45827,435
CYTORI THERAPEUTICS INC,22613,61
CYTRX CORP,11501,40
D R HORTON INC,2039244,44150
DAKTRONICS INC,114910,1653
DANA HLDG CORP,62867,1463
DANAHER CORP DEL,6351294,476348
DARDEN RESTAURANTS INC,542045,27514
DARLING INTL INC,246295,4931
DATAWATCH CORP,48661,1319
DAVITA HEALTHCARE PARTNERS I,1068554,73570
DAWSON GEOPHYSICAL CO,28611,801
DBX ETF TR,140142,3057
DCP MIDSTREAM PARTNERS LP,5948123,298001
DCT INDUSTRIAL TRUST INC,3104587,24463
DDR CORP,9847011,162279
DEALERTRACK TECHNOLOGIES INC,51716,2544
DEAN FOODS CO NEW,488272,7549
DECKERS OUTDOOR CORP,952676,75957
DEERE & CO,1515474,137605
DELEK LOGISTICS PARTNERS LP,1576740,52506
DELEK US HLDGS INC,1007173,29248
DELHAIZE GROUP,49498,3597
DELIA'S INC NEW,203189,171
DELPHI AUTOMOTIVE PLC,3558535,241482
DELTA AIR LINES INC DEL,4265528,147801
DELTA APPAREL INC,27190,445
DELTIC TIMBER CORP,4671,305
DELUXE CORP,121998,6401
DEMAND MEDIA INC,5833333,28292
DEMANDWARE INC,114052,7306
DENALI FD INC,115395,2361
DENBURY RES INC,2273467,37285
DENDREON CORP,1116423,3338
DENISON MINES CORP,64868,96
DENNYS CORP,219424,1411
DENTSPLY INTL INC NEW,621259,28603
DEPOMED INC,22329,324
DESARROLLADORA HOMEX S A DE,131892,186
DESTINATION MATERNITY CORP,19071,523
DESTINATION XL GROUP INC,45235,255
DEUTSCHE BANK AG,5533352,248061
DEVON ENERGY CORP NEW,11801284,789861
DEVRY ED GROUP INC,118171,5009
DEX MEDIA INC NEW,631936,5814
DEXCOM INC,776325,32109
DFC GLOBAL CORP,52205,461
DHT HOLDINGS INC,82950,645
DIAGEO P L C,133032,16574
DIAMOND FOODS INC,81516,2847
DIAMOND OFFSHORE DRILLING IN,682766,33292
DIAMOND RESORTS INTL INC,1410235,23904
DIAMONDBACK ENERGY INC,1121929,75517
DIAMONDROCK HOSPITALITY CO,648647,7622
DIANA CONTAINERSHIPS INC,174772,668
DIANA SHIPPING INC,39983,480
DICE HLDGS INC,11610,87
DICERNA PHARMACEUTICALS INC,9079,256
DICKS SPORTING GOODS INC,2224753,121494
DIEBOLD INC,92589,3693
DIGI INTL INC,1168992,11865
DIGITAL RIV INC,126983,2213
DIGITAL RLTY TR INC,1978341,105010
DIGITALGLOBE INC,154150,4472
DILLARDS INC,138882,12833
DIME CMNTY BANCSHARES,934431,15867
DINEEQUITY INC,11277,880
DIODES INC,22251,581
DIRECTV,2675898,204492
DIREXION SHS ETF TR,3486155,138976
DISCOVER FINL SVCS,2154497,125370
DISCOVERY COMMUNICATNS NEW,2545184,209522
DISCOVERY LABORATORIES INC N,100214,215
DISH NETWORK CORP,926689,57649
DISNEY WALT CO,5087322,407341
DOCUMENT SEC SYS INC,14680,19
DOLBY LABORATORIES INC,45892,2042
DOLLAR GEN CORP NEW,8111537,450027
DOLLAR TREE INC,845409,44113
DOMINION DIAMOND CORP,103704,1391
DOMINION RES INC VA NEW,2257316,155108
DOMINOS PIZZA INC,146350,11265
DOMTAR CORP,49382,5542
DONALDSON INC,344468,14606
DONEGAL GROUP INC,13064,190
DONNELLEY R R & SONS CO,2015415,36076
DORAL FINL CORP,13070,113
DORMAN PRODUCTS INC,17842,1053
DOT HILL SYS CORP,43494,168
DOUBLELINE OPPORTUNISTIC CR,11700,271
DOUGLAS DYNAMICS INC,14935,260
DOUGLAS EMMETT INC,1095175,29723
DOVER CORP,598448,48923
DOW 30SM ENHANCED PREM & INC,10665,143
DOW CHEM CO,14953320,726582
DR PEPPER SNAPPLE GROUP INC,573576,31236
DR REDDYS LABS LTD,241572,10605
DREAMWORKS ANIMATION SKG INC,143320,3805
DRESSER-RAND GROUP INC,116956,6832
DREW INDS INC,27400,1485
DRIL-QUIP INC,1604597,179875
DRYSHIPS INC,1377670,4450
DSP GROUP INC,65459,566
DST SYS INC DEL,97088,9203
DSW INC,162562,5829
DTE ENERGY CO,663274,49274
DTF TAX-FREE INCOME INC,19402,287
DTS INC,13180,260
DU PONT E I DE NEMOURS & CO,4452073,298734
DUCOMMUN INC DEL,34489,864
DUKE ENERGY CORP NEW,2310712,164569
DUKE REALTY CORP,4765985,80450
DUN & BRADSTREET CORP DEL NE,587815,58400
DUNKIN BRANDS GROUP INC,698981,35075
DUPONT FABROS TECHNOLOGY INC,2055979,49487
DURECT CORP,29198,39
DWS MUN INCOME TR,94328,1232
DXP ENTERPRISES INC NEW,33592,3189
DYAX CORP,591705,5313
DYCOM INDS INC,28921,914
DYNAGAS LNG PARTNERS LP,1839500,39862
DYNAMIC MATLS CORP,13344,254
DYNAVAX TECHNOLOGIES CORP,141015,255
DYNEGY INC NEW DEL,415542,5077
DYNEX CAP INC,11474,103
E HOUSE CHINA HLDGS LTD,451885,5463
E M C CORP MASS,52206287,1430975
E TRADE FINANCIAL CORP,2709186,62365
E-COMMERCE CHINA DANGDANG IN,47591,683
EAGLE BANCORP INC MD,778881,28118
EAGLE BULK SHIPPING INC,123205,492
EAGLE MATERIALS INC,251095,22262
EAGLE ROCK ENERGY PARTNERS L,96633,508
EARTHLINK HLDGS CORP,203586,735
EAST WEST BANCORP INC,344111,12560
EASTGROUP PPTY INC,57275,3602
EASTMAN CHEM CO,2415635,208252
EASTMAN KODAK CO,38547,1287
EATON CORP PLC,1671473,125561
EATON VANCE CORP,326663,12466
EATON VANCE LTD DUR INCOME F,16572,253
EATON VANCE NEW YORK MUN BD,45099,541
EATON VANCE TAX ADVT DIV INC,27941,549
EATON VANCE TAX MNGD GBL DV,20364,206
EATON VANCE TX ADV GLBL DIV,12551,210
EATON VANCE TX MGD DIV EQ IN,19881,222
EATON VANCE TX MNG BY WRT OP,28624,406
EBAY INC,18643490,1029866
EBIX INC,149266,2548
ECHELON CORP,95600,266
ECHOSTAR CORP,445646,21195
ECOLAB INC,1438390,155331
ECOPETROL S A,650848,26548
EDISON INTL,4174581,236323
EDUCATION MGMT CORP NEW,54368658,264775
EDUCATION RLTY TR INC,286172,2824
EDWARDS LIFESCIENCES CORP,264065,19585
EGA EMERGING GLOBAL SHS TR,12190,323
EGAIN CORP,10177,72
EGALET CORP,15158,212
EHEALTH INC,4772,242
EL PASO ELEC CO,1600248,57177
EL PASO PIPELINE PARTNERS L,796313,24200
ELBIT IMAGING LTD,423828,97
ELBIT SYS LTD,15230,928
ELDORADO GOLD CORP NEW,1520520,8485
ELECTRO RENT CORP,53336,938
ELECTRO SCIENTIFIC INDS,26028,256
ELECTRONIC ARTS INC,2155309,62526
ELECTRONICS FOR IMAGING INC,1509203,65363
ELEVEN BIOTHERAPEUTICS INC,10785,175
ELIZABETH ARDEN INC,59869,1767
ELLIE MAE INC,17789,513
ELLIS PERRY INTL INC,28640,393
EMBOTELLADORA ANDINA S A,31098,610
EMBRAER S A,105077,3730
EMC INS GROUP INC,7975,283
EMCOR GROUP INC,1585134,74169
EMCORE CORP,24597,124
EMERALD OIL INC,139032,934
EMERGE ENERGY SVCS LP,941898,58605
EMERGENT BIOSOLUTIONS INC,276964,6999
EMERITUS CORP,356486,11208
EMERSON ELEC CO,2519791,168322
EMPIRE DIST ELEC CO,73645,1791
EMPIRE ST RLTY TR INC,120942,1827
EMPLOYERS HOLDINGS INC,67790,1372
EMPRESA DIST Y COMERCIAL NOR,35019,259
EMPRESA NACIONAL DE ELCTRCID,63378,2737
EMULEX CORP,210670,1557
ENBRIDGE ENERGY MANAGEMENT L,797674,22103
ENBRIDGE ENERGY PARTNERS L P,497778,13644
ENBRIDGE INC,1586057,72181
ENCANA CORP,3566939,76261
ENCORE CAP GROUP INC,9769,446
ENCORE WIRE CORP,7840,380
ENDEAVOUR INTL CORP,53104,173
ENDEAVOUR SILVER CORP,36314,157
ENDO INTL PLC,1437969,98716
ENDOCYTE INC,12807,305
ENDOLOGIX INC,2281793,29367
ENDURANCE INTL GROUP HLDGS I,20852775,271295
ENDURANCE SPECIALTY HLDGS LT,794601,42773
ENDURO RTY TR,312851,3920
ENERGEN CORP,251841,20351
ENERGIZER HLDGS INC,778310,78407
ENERGY RECOVERY INC,44353,236
ENERGY TRANSFER EQUITY L P,16377975,765670
ENERGY TRANSFER PRTNRS L P,1413516,76033
ENERGY XXI BERMUDA LTD,317502,7484
ENERNOC INC,10628,237
ENERPLUS CORP,275127,5511
ENERSIS S A,137231,2131
ENERSYS,79714,5524
ENGILITY HLDGS INC,7452,336
ENI S P A,623879,31300
ENLINK MIDSTREAM LLC,117942,4003
ENLINK MIDSTREAM PARTNERS LP,46831,1425
ENNIS INC,30073,498
ENPHASE ENERGY INC,146433,1078
ENPRO INDS INC,67300,4891
ENSCO PLC,951038,50196
ENSIGN GROUP INC,26481,1156
ENSTAR GROUP LIMITED,803997,109593
ENTEGRIS INC,3871884,46889
ENTERCOM COMMUNICATIONS CORP,304849,3070
ENTERGY CORP NEW,1382418,92415
ENTEROMEDICS INC,25518,46
ENTERPRISE PRODS PARTNERS L,12513843,867960
ENTRAVISION COMMUNICATIONS C,109722,735
ENTROPIC COMMUNICATIONS INC,73968,303
ENVESTNET INC,78482,3154
ENVISION HEALTHCARE HLDGS IN,32427,1097
ENVIVIO INC,13800,43
ENZO BIOCHEM INC,132978,553
ENZON PHARMACEUTICALS INC,445186,459
ENZYMOTEC LTD,51020,1123
EOG RES INC,1008402,197818
EP ENERGY CORP,18597,364
EPAM SYS INC,22818,751
EPIQ SYS INC,29141,397
EPL OIL & GAS INC,148105,5717
EPLUS INC,19706,1099
EPR PPTYS,1494329,79782
EQT CORP,1764677,171121
EQT MIDSTREAM PARTNERS LP,2945904,207186
EQUIFAX INC,243517,16566
EQUINIX INC,3177145,587264
EQUITY LIFESTYLE PPTYS INC,587374,23876
EQUITY ONE,232155,5187
EQUITY RESIDENTIAL,1793405,104000
ERA GROUP INC,51134,1499
ERICKSON AIR-CRANE INC,19025,367
ERICSSON,1089795,14527
ERIE INDTY CO,17683,1234
EROS INTL PLC,683435,10983
ESSENT GROUP LTD,6038745,135630
ESSEX PPTY TR INC,790875,134489
ESTERLINE TECHNOLOGIES CORP,920135,98031
ETFS ASIAN GOLD TR,1785,224
ETFS GOLD TR,3284,414
ETFS PALLADIUM TR,40030,3024
ETFS PLATINUM TR,6502,898
ETFS SILVER TR,13743,268
ETHAN ALLEN INTERIORS INC,149045,3793
EURONET WORLDWIDE INC,85450,3554
EV ENERGY PARTNERS LP,4954,166
EVERBANK FINL CORP,37410,738
EVERCORE PARTNERS INC,109124,6029
EVEREST RE GROUP LTD,1337733,204740
EVERTEC INC,998586,24665
EVOGENE LTD,264061,5030
EVOLUTION PETROLEUM CORP,15222,194
EXACT SCIENCES CORP,3286336,46568
EXACTECH INC,13837,312
EXAMWORKS GROUP INC,721989,25277
EXAR CORP,16772,200
EXCEL TR INC,70879,899
EXCO RESOURCES INC,920588,5156
EXELIS INC,544635,10354
EXELIXIS INC,3193056,11304
EXELON CORP,2019938,67789
EXETER RES CORP,102899,62
EXFO INC,171443,847
EXLSERVICE HOLDINGS INC,12229,378
EXONE CO,221216,7926
EXPEDIA INC DEL,3812421,276401
EXPEDITORS INTL WASH INC,646029,25602
EXPONENT INC,26492,1988
EXPRESS INC,181681,2885
EXPRESS SCRIPTS HLDG CO,2031417,152539
EXTENDED STAY AMER INC,18411,419
EXTERRAN HLDGS INC,108292,4752
EXTERRAN PARTNERS LP,114076,3251
EXTRA SPACE STORAGE INC,643285,31207
EXTREME NETWORKS INC,679440,3941
EXXON MOBIL CORP,20895054,2041028
EZCORP INC,299485,3232
F M C CORP,291590,22324
F5 NETWORKS INC,1045410,111472
FAB UNVL CORP,74501,229
FABRINET,75741,1573
FACEBOOK INC,10808614,651111
FACTSET RESH SYS INC,80714,8702
FAIR ISAAC CORP,89557,4954
FAIRCHILD SEMICONDUCTOR INTL,2881755,39739
FALCONSTOR SOFTWARE INC,10835,17
FAMILY DLR STORES INC,1934504,112221
FARMERS NATL BANC CORP,33422,257
FARO TECHNOLOGIES INC,7283,386
FASTENAL CO,627685,30945
FATE THERAPEUTICS INC,26310,256
FBL FINL GROUP INC,20760,899
FBR & CO,10406,269
FEDERAL AGRIC MTG CORP,11394,305
FEDERAL MOGUL CORP,21496,402
FEDERAL REALTY INVT TR,362029,41533
FEDERAL SIGNAL CORP,30985,462
FEDERATED INVS INC PA,465447,14214
FEDERATED NATL HLDG CO,10878,199
FEDERATED PREM INTR MUN INC,17499,224
FEDEX CORP,3161366,419071
FEI CO,26526,2733
FELCOR LODGING TR INC,284000,2568
FERRELLGAS PARTNERS L.P.,15000,346
FERRO CORP,110910,1515
FIBRIA CELULOSE S A,46262,512
FIBROCELL SCIENCE INC,41774,218
FIDELITY,2811350,76735
FIDELITY & GTY LIFE,860497,20308
FIDELITY NATIONAL FINANCIAL,975238,30661
FIDELITY NATL INFORMATION SV,795814,42537
FIDUS INVT CORP,33022,638
FIESTA RESTAURANT GROUP INC,91346,4164
FIFTH STREET FINANCE CORP,294332,2784
FIFTH THIRD BANCORP,4301854,98749
FINANCIAL ENGINES INC,122673,6230
FINANCIAL INSTNS INC,12513,288
FINISAR CORP,84665,2245
FINISH LINE INC,146488,3968
FIREEYE INC,5861,361
FIRST AMERN FINL CORP,211834,5624
FIRST BANCORP INC ME,20215,330
FIRST BANCORP P R,229048,1246
FIRST BUSEY CORP,84995,493
FIRST CASH FINL SVCS INC,507317,25599
FIRST CMNTY BANCSHARES INC N,13064,214
FIRST COMWLTH FINL CORP PA,195179,1764
FIRST CTZNS BANCSHARES INC N,21516,5180
FIRST DEFIANCE FINL CORP,7886,214
FIRST FINL BANCORP OH,171685,3087
FIRST FINL BANKSHARES,734940,45411
FIRST FINL CORP IND,12848,433
FIRST FINL HLDGS INC NEW,683141,42778
FIRST HORIZON NATL CORP,1948804,24048
FIRST INDUSTRIAL REALTY TRUS,367871,7108
FIRST INTST BANCSYSTEM INC,179179,5056
FIRST LONG IS CORP,272809,11079
FIRST MAJESTIC SILVER CORP,235210,2267
FIRST MARBLEHEAD CORP,56863,343
FIRST MERCHANTS CORP,80380,1739
FIRST MIDWEST BANCORP DEL,1825184,31174
FIRST NBC BK HLDG CO,21101,736
FIRST NIAGARA FINL GP INC,760649,7188
FIRST POTOMAC RLTY TR,124798,1612
FIRST REP BK SAN FRANCISCO C,5352506,288982
FIRST SEC GROUP INC,143157,298
FIRST SOLAR INC,200531,13995
FIRST SOUTH BANCORP INC VA,29584,257
FIRST TR EXCH TRD ALPHA FD I,129734,5024
FIRST TR EXCHANGE TRADED FD,3711178,160530
FIRST TR EXCNGE TRD ALPHADEX,68967,1949
FIRST TR ISE REVERE NAT GAS,134414,2782
FIRST TR ISE WATER INDEX FD,9736,335
FIRST TR LRG CP GRWTH ALPHAD,62195,2596
FIRST TR LRG CP VL ALPHADEX,31982,1319
FIRST TR MORNINGSTAR DIV LEA,16575,373
FIRST TR MULTI CAP VALUE ALP,61273,2790
FIRST TR NAS100 EQ WEIGHTED,113855,4214
FIRST TR S&P REIT INDEX FD,125290,2402
FIRST TR STOXX EURO DIV FD,67390,970
FIRST TR US IPO INDEX FD,10128,465
FIRST TR VALUE LINE DIVID IN,21811,477
FIRSTENERGY CORP,13593238,462579
FIRSTMERIT CORP,510815,10640
FIRSTSERVICE CORP,33233,1579
FISERV INC,771881,43758
FIVE BELOW INC,3123056,132667
FIVE PRIME THERAPEUTICS INC,503292,9895
FIVE STAR QUALITY CARE INC,136405,663
FLAGSTAR BANCORP INC,14652,326
FLAHERTY&CRMN PFD SEC INCOM,25746,495
FLEETCOR TECHNOLOGIES INC,1388541,159820
FLEETMATICS GROUP PLC,4984,167
FLEXTRONICS INTL LTD,2242131,20717
FLIR SYS INC,631720,22741
FLOTEK INDS INC DEL,39143,1091
FLOWERS FOODS INC,296516,6360
FLOWSERVE CORP,702774,55055
FLUIDIGM CORP DEL,49043,2161
FLUOR CORP NEW,790221,61424
FLUSHING FINL CORP,1283970,27054
FMC TECHNOLOGIES INC,760118,39746
FNB CORP PA,286218,3836
FOMENTO ECONOMICO MEXICANO S,390424,36403
FOOT LOCKER INC,534792,25124
FORCEFIELD ENERGY,58360,338
FORD MTR CO DEL,13162770,205338
FOREST CITY ENTERPRISES INC,363649,6945
FOREST LABS INC,1012318,93406
FOREST OIL CORP,1032720,1972
FORESTAR GROUP INC,11527,205
FORMFACTOR INC,133668,854
FORRESTER RESH INC,29628,1062
FORTINET INC,428992,9451
FORTRESS INVESTMENT GROUP LL,6426085,47553
FORTUNA SILVER MINES INC,34026,125
FORTUNE BRANDS HOME & SEC IN,430109,18099
FORUM ENERGY TECHNOLOGIES IN,2300830,71280
FORWARD AIR CORP,939257,43309
FOSSIL GROUP INC,912437,106363
FOSTER L B CO,23125,1083
FOSTER WHEELER AG,110057,3568
FOUNDATION MEDICINE INC,159765,5172
FRANCESCAS HLDGS CORP,24794,450
FRANCO NEVADA CORP,175170,8033
FRANKLIN COVEY CO,40009,791
FRANKLIN ELEC INC,25882,1100
FRANKLIN RES INC,3124785,169301
FRANKLIN STREET PPTYS CORP,150337,1895
FRANKS INTL N V,17138,425
FREDS INC,153916,2772
FREEPORT-MCMORAN COPPER & GO,4460527,147510
FREESCALE SEMICONDUCTOR LTD,149591,3651
FRESENIUS MED CARE AG&CO KGA,876393,30542
FRESH DEL MONTE PRODUCE INC,47220,1302
FRESH MKT INC,54848,1843
FRONTIER COMMUNICATIONS CORP,6516598,37177
FRONTLINE LTD,648928,2550
FTD COS INC,104664,3330
FTI CONSULTING INC,63172,2106
FUEL SYS SOLUTIONS INC,15965,172
FUEL TECH INC,18658,93
FUELCELL ENERGY INC,165950,412
FULLER H B CO,707589,34162
FULTON FINL CORP PA,453277,5702
FURIEX PHARMACEUTICALS INC,7338,638
FUSION-IO INC,394912,4155
FUTUREFUEL CORPORATION,87726,1781
FX ENERGY INC,14792,49
FXCM INC,90224,1333
G & K SVCS INC,773480,47314
G-III APPAREL GROUP LTD,3434,246
GABELLI DIVD & INCOME TR,10040,221
GAIAM INC,59547,432
GAIN CAP HLDGS INC,281664,3044
GALECTIN THERAPEUTICS INC,5144,79
GALENA BIOPHARMA INC,24411,61
GALLAGHER ARTHUR J & CO,3615029,172003
GAMCO GLOBAL GOLD NAT RES &,11649,116
