nameOfIssuer,sshPrnamt,value
CHEMICAL FINL CORP,93912,2974
CHEMTURA CORP,203061,5670
CHENIERE ENERGY INC,365378,15755
CHENIERE ENERGY PARTNERS LP,641193,18370
CHENIERE ENERGY PTNRS LP HLD,1137531,21329
CHEROKEE INC DEL NEW,11234,155
CHERRY HILL MTG INVT CORP,11564,206
CHESAPEAKE ENERGY CORP,10388034,281931
CHESAPEAKE LODGING TR,3297609,83397
CHESAPEAKE UTILS CORP,18664,1120
CHEVRON CORP NEW,6247923,780429
CHICAGO BRIDGE & IRON CO N V,140442,11677
CHICOS FAS INC,1115242,21011
CHILDRENS PL RETAIL STORES I,59402,3384
CHIMERA INVT CORP,17236856,53434
CHIMERIX INC,43015,650
CHINA FD INC,20808,433
CHINA HGS REAL ESTATE INC,22320,133
CHINA LIFE INS CO LTD,95581,4516
CHINA MING YANG WIND PWR GRO,29772,73
CHINA MOBILE LIMITED,255754,13373
CHINA NEPSTAR CHAIN DRUGSTOR,25000000,46000
CHINA PETE & CHEM CORP,52237,4293
CHINA TELECOM CORP LTD,9174,464
CHINA UNICOM (HONG KONG) LTD,92247,1389
CHINDEX INTERNATIONAL INC,17095,298
CHIPMOS TECH BERMUDA LTD,19267,371
CHIPOTLE MEXICAN GRILL INC,628329,334761
CHIQUITA BRANDS INTL INC,28515,334
CHOICE HOTELS INTL INC,23510,1155
CHRISTOPHER & BANKS CORP,106530,910
CHUBB CORP,815562,78808
CHUNGHWA TELECOM CO LTD,62197,1926
CHURCH & DWIGHT INC,2520872,167083
CHURCHILL DOWNS INC,6311,566
CHUYS HLDGS INC,428266,15426
CIBER INC,362864,1502
CIENA CORP,470779,11265
CIGNA CORPORATION,760654,66542
CIMAREX ENERGY CO,2103069,220633
CINCINNATI BELL INC NEW,1022344,3640
CINCINNATI FINL CORP,448329,23479
CINEDIGM CORP,63484,128
CINEMARK HOLDINGS INC,129290,4310
CINTAS CORP,275954,16445
CIRCOR INTL INC,590925,47735
CIRRUS LOGIC INC,750016,15319
CISCO SYS INC,24227367,543419
CIT GROUP INC,3469350,180857
CITIGROUP INC,50177720,1237736
CITIZENS INC,20615,180
CITRIX SYS INC,4074654,257722
CITY HLDG CO,103242,4784
CITY NATL CORP,147418,11679
CLARCOR INC,62706,4035
CLAYMORE EXCHANGE TRD FD TR,1848746,68837
CLEAN ENERGY FUELS CORP,175595,2262
CLEAN HARBORS INC,67392,4041
CLEAR CHANNEL OUTDOOR HLDGS,86175,874
CLEARWATER PAPER CORP,42392,2226
CLECO CORP NEW,2018271,94092
CLIFFS NAT RES INC,1382610,36239
CLOROX CO DEL,363601,33728
CLOUD PEAK ENERGY INC,386848,6963
CLOVIS ONCOLOGY INC,122198,7365
CME GROUP INC,1733090,135978
CMS ENERGY CORP,850534,22769
CNA FINL CORP,66920,2870
CNH INDL N V,2440236,27696
CNO FINL GROUP INC,5155699,91204
CNOOC LTD,39753,7460
COACH INC,1751646,98320
COBALT INTL ENERGY INC,34826204,572891
COBIZ FINANCIAL INC,1175081,14054
COCA COLA BOTTLING CO CONS,11425,836
COCA COLA CO,14866245,614124
COCA COLA ENTERPRISES INC NE,2409385,106326
COCA COLA FEMSA S A B DE C V,15886,1935
CODEXIS INC,53076,74
COEUR MNG INC,38275,416
COGENT COMM GROUP INC,27273,1102
COGNEX CORP,210088,8021
COGNIZANT TECHNOLOGY SOLUTIO,1729780,174673
COHEN & STEERS INC,349320,13994
COHEN & STEERS INFRASTRUCTUR,93069,1917
COHERENT INC,79485,5913
COHU INC,76128,799
COLE REAL ESTATE INVTS INC,2909669,40852
COLFAX CORP,23555,1500
COLGATE PALMOLIVE CO,5298054,345487
COLONY FINL INC,373569,7579
COLUMBIA BKG SYS INC,323300,8888
COLUMBIA PPTY TR INC,160679,4017
COLUMBIA SPORTSWEAR CO,89528,7050
COLUMBUS MCKINNON CORP N Y,34231,929
COMCAST CORP NEW,14556514,753541
COMERICA INC,3452663,164140
COMFORT SYS USA INC,1395899,27067
COMMERCE BANCSHARES INC,246163,11055
COMMERCIAL METALS CO,1700367,34569
COMMERCIAL VEH GROUP INC,26718,194
COMMONWEALTH REIT,1135901,26478
COMMSCOPE HLDG CO INC,2100743,39767
COMMUNITY BK SYS INC,1155183,45838
COMMUNITY HEALTH SYS INC NEW,153347,6022
COMMUNITY TR BANCORP INC,7919,358
COMMVAULT SYSTEMS INC,538413,40306
COMPANHIA BRASILEIRA DE DIST,155787,6959
COMPANHIA DE SANEAMENTO BASI,166177,1885
COMPANHIA ENERGETICA DE MINA,598798,4665
COMPANHIA PARANAENSE ENERG C,99034,1302
COMPANHIA SIDERURGICA NACION,3247063,20132
COMPANIA DE MINAS BUENAVENTU,469432,5267
COMPASS DIVERSIFIED HOLDINGS,75058,1473
COMPASS MINERALS INTL INC,35145,2813
COMPUGEN LTD,22175,198
COMPUTER PROGRAMS & SYS INC,35145,2172
COMPUTER SCIENCES CORP,826243,46170
COMPUTER TASK GROUP INC,20908,394
COMPUWARE CORP,1708089,19147
COMSCORE INC,144444,4133
COMSTOCK RES INC,300493,5496
COMTECH TELECOMMUNICATIONS C,66158,2085
COMVERSE INC,12370,480
CON-WAY INC,151952,6034
CONAGRA FOODS INC,5813180,195903
CONATUS PHARMACEUTICALS INC,22068,142
CONCHO RES INC,434273,46901
CONCUR TECHNOLOGIES INC,610849,63027
CONMED CORP,59081,2511
CONNECTICUT WTR SVC INC,34162,1213
CONNS INC,23275,1832
CONOCOPHILLIPS,5517517,389812
CONSOL ENERGY INC,877186,33368
CONSOLIDATED COMM HLDGS INC,51063,1003
CONSOLIDATED EDISON INC,1268610,70129
CONSOLIDATED GRAPHICS INC,93456,6303
CONSOLIDATED TOMOKA LD CO,11928,433
CONSOLIDATED WATER CO INC,16302,230
CONSTANT CONTACT INC,181670,5644
CONSTELLATION BRANDS INC,2388827,168126
CONTAINER STORE GROUP INC,7214,336
CONTANGO OIL & GAS COMPANY,78735,3721
CONTINENTAL RESOURCES INC,74735,8410
CONTROL4 CORP,19158,339
CONTROLADORA VUELA CIA DE AV,86977,1179
CONVERGYS CORP,2223290,46800
COOPER COS INC,126388,15652
COOPER TIRE & RUBR CO,151909,3652
COPA HOLDINGS SA,237162,37973
COPART INC,127894,4688
CORCEPT THERAPEUTICS INC,21775,70
CORE LABORATORIES N V,468957,89548
CORE MARK HOLDING CO INC,12162,923
CORELOGIC INC,279984,9947
CORENERGY INFRASTRUCTURE TR,403966,2876
CORESITE RLTY CORP,674126,21700
CORINTHIAN COLLEGES INC,43565,78
CORNERSTONE ONDEMAND INC,718899,38326
CORNING INC,6831698,121740
CORONADO BIOSCIENCES INC,155359,409
CORP RES SVCS INC,52319,138
CORPORATE EXECUTIVE BRD CO,44616,3455
CORPORATE OFFICE PPTYS TR,723341,17136
CORRECTIONS CORP AMER NEW,696651,22342
CORVEL CORP,88727,4144
COSAN LTD,1077346,14782
COSTA INC,12345,268
COSTAMARE INC,168895,3086
COSTAR GROUP INC,96940,17893
COSTCO WHSL CORP NEW,6142861,731123
COTT CORP QUE,29328,236
COTY INC,40633,620
COUSINS PPTYS INC,860558,8864
COVANCE INC,141817,12488
COVANTA HLDG CORP,700107,12427
COVIDIEN PLC,3944846,268645
COWEN GROUP INC NEW,111987,438
CPFL ENERGIA S A,569154,9112
CRA INTL INC,17250,342
CRACKER BARREL OLD CTRY STOR,62638,6895
CRANE CO,1863720,125335
CRAWFORD & CO,13582,125
CRAY INC,97511,2678
CREDICORP LTD,133754,17753
CREDIT ACCEP CORP MICH,8332,1083
CREDIT SUISSE GROUP,558043,17321
CREDIT SUISSE NASSAU BRH,35500,1115
CREE INC,314916,19688
CRESTWOOD EQUITY PARTNERS LP,410349,5675
CRESTWOOD MIDSTREAM PARTNERS,1437225,35773
CRH PLC,106049,2710
CRITEO S A,69180,2366
CROCS INC,217546,3463
CROSS CTRY HEALTHCARE INC,120365,1201
CROSSTEX ENERGY INC,99084,3583
CROSSTEX ENERGY L P,13673,377
CROWN CASTLE INTL CORP,1193788,92928
CROWN HOLDINGS INC,214089,9541
CRYOLIFE INC,84633,939
CSG SYS INTL INC,105059,3088
CSS INDS INC,68703,1970
CST BRANDS INC,462101,16969
CSX CORP,3327622,95736
CTC MEDIA INC,49124,683
CTRIP COM INTL LTD,13859,688
CTS CORP,1595683,31770
CUBESMART,4046348,64499
CUBIC CORP,717054,37760
CUBIST PHARMACEUTICALS INC,390860,19678
CULLEN FROST BANKERS INC,155582,11580
CULP INC,16725,342
CUMMINS INC,927805,130793
CURIS INC,127227,359
CURRENCYSHARES AUSTRALIAN DL,326217,29174
CURRENCYSHARES CDN DLR TR,71604,6703
CURRENCYSHARES EURO TR,530800,72183
CURRENCYSHARES SWEDISH KRONA,5571,861
CURRENCYSHARES SWISS FRANC T,22953,2521
CURRENCYSHS BRIT POUND STER,19953,3258
CURRENCYSHS JAPANESE YEN TR,68677,6370
CURTISS WRIGHT CORP,137224,8540
CVB FINL CORP,725799,12390
CVENT INC,9044,329
CVR ENERGY INC,770199,33450
CVR PARTNERS LP,33336,549
CVR REFNG LP,1668302,37737
CVS CAREMARK CORPORATION,4439098,317707
CYAN INC,34007,180
CYBERONICS INC,107768,7051
CYCLACEL PHARMACEUTICALS INC,146880,590
CYNOSURE INC,46445,1237
CYPRESS SEMICONDUCTOR CORP,298159,3131
CYS INVTS INC,326578,2420
CYTEC INDS INC,92578,8625
CYTORI THERAPEUTICS INC,22433,58
CYTRX CORP,21894,137
D R HORTON INC,3145496,70207
DAKTRONICS INC,169013,2650
DANA HLDG CORP,160221,3144
DANAHER CORP DEL,6434136,496716
DARA BIOSCIENCES INC,11482,6
DARDEN RESTAURANTS INC,506938,27562
DARLING INTL INC,385356,8046
DAVITA HEALTHCARE PARTNERS I,1720015,108997
DAWSON GEOPHYSICAL CO,35428,1199
DBX ETF TR,2120858,52758
DCP MIDSTREAM PARTNERS LP,3739032,188260
DCT INDUSTRIAL TRUST INC,2990525,21323
DDR CORP,10159617,156153
DEALERTRACK TECHNOLOGIES INC,146870,7061
DEAN FOODS CO NEW,624051,10728
DECKERS OUTDOOR CORP,1244360,105098
DEERE & CO,1778052,162390
DELEK LOGISTICS PARTNERS LP,1623685,51389
DELEK US HLDGS INC,551544,18978
DELHAIZE GROUP,24681,1466
DELIA'S INC NEW,127079,112
DELPHI AUTOMOTIVE PLC,4098602,246449
DELTA AIR LINES INC DEL,7019334,192820
DELTA APPAREL INC,15751,267
DELTIC TIMBER CORP,26763,1818
DELUXE CORP,141849,7403
DEMAND MEDIA INC,5833333,33658
DEMANDWARE INC,88155,5653
DENALI FD INC,117195,2268
DENBURY RES INC,1646625,27054
DENDREON CORP,1393040,4165
DENISON MINES CORP,41628,50
DENNYS CORP,256009,1841
DENTSPLY INTL INC NEW,666160,32295
DEPOMED INC,321734,3404
DESARROLLADORA HOMEX S A DE,351304,411
DESTINATION MATERNITY CORP,16916,505
DESTINATION XL GROUP INC,27997,183
DEUTSCHE BANK AG,5945222,286798
DEVON ENERGY CORP NEW,11596292,717463
DEVRY ED GROUP INC,149094,5293
DEX MEDIA INC NEW,442398,2996
DEXCOM INC,612953,21705
DFC GLOBAL CORP,42669,489
DIAGEO P L C,119480,15822
DIAMOND FOODS INC,59453,1536
DIAMOND OFFSHORE DRILLING IN,758146,43153
DIAMOND RESORTS INTL INC,1330581,24563
DIAMONDBACK ENERGY INC,1180954,62450
DIAMONDROCK HOSPITALITY CO,950304,10976
DIANA CONTAINERSHIPS INC,151520,614
DIANA SHIPPING INC,104461,1388
DICE HLDGS INC,97529,707
DICKS SPORTING GOODS INC,1662580,96596
DIEBOLD INC,158144,5220
DIGI INTL INC,1216024,14738
DIGITAL GENERATION INC,50310,641
DIGITAL RIV INC,163947,3028
DIGITAL RLTY TR INC,3526969,173245
DIGITALGLOBE INC,197733,8136
DILLARDS INC,59020,5737
DIME CMNTY BANCSHARES,891511,15084
DINEEQUITY INC,40074,3348
DIODES INC,94560,2227
DIRECTV,2596740,179330
DIREXION SHS ETF TR,3052047,146419
DISCOVER FINL SVCS,2259651,126428
DISCOVERY COMMUNICATNS NEW,2610541,232392
DISCOVERY LABORATORIES INC N,160108,360
DISH NETWORK CORP,1572453,91076
DISNEY WALT CO,5752208,439469
DOLAN CO,41794,29
DOLBY LABORATORIES INC,128578,4958
DOLLAR GEN CORP NEW,9583183,578058
DOLLAR TREE INC,859384,48486
DOMINION DIAMOND CORP,84104,1208
DOMINION RES INC VA NEW,2130788,136254
DOMINOS PIZZA INC,189367,13190
DOMTAR CORP,75061,7082
DONALDSON INC,522054,22689
DONEGAL GROUP INC,17845,284
DONNELLEY R R & SONS CO,2322602,47102
DORMAN PRODUCTS INC,81505,4567
DOT HILL SYS CORP,17501,59
DOUGLAS EMMETT INC,901562,20997
DOVER CORP,677378,65394
DOW 30SM ENHANCED PREM & INC,11328,149
DOW CHEM CO,13349070,592701
DR PEPPER SNAPPLE GROUP INC,472584,23025
DR REDDYS LABS LTD,251869,10334
DRDGOLD LIMITED,12453,46
DREAMWORKS ANIMATION SKG INC,96253,3417
DRESSER-RAND GROUP INC,188295,11228
DREW INDS INC,58318,2986
DRIL-QUIP INC,1650141,181400
DRYSHIPS INC,20347,96
DSP GROUP INC,126882,1232
DST SYS INC DEL,62186,5643
DSW INC,78067,3336
DTE ENERGY CO,587207,38985
DTF TAX-FREE INCOME INC,19269,270
DTS INC,42556,1018
DU PONT E I DE NEMOURS & CO,5607405,364313
DUCOMMUN INC DEL,80181,2391
DUFF & PHELPS UTIL CORP BD T,14586,146
DUKE ENERGY CORP NEW,2813403,194154
DUKE REALTY CORP,4983438,74951
DUN & BRADSTREET CORP DEL NE,331058,40637
DUNKIN BRANDS GROUP INC,78540,3785
DUPONT FABROS TECHNOLOGY INC,1859739,45954
DURECT CORP,31556,55
DWS MUN INCOME TR,94460,1133
DXP ENTERPRISES INC NEW,26154,3013
DYAX CORP,274847,2071
DYCOM INDS INC,103285,2870
DYNAGAS LNG PARTNERS LP,1590300,35861
DYNAMIC MATLS CORP,13730,298
DYNAVAX TECHNOLOGIES CORP,261414,513
DYNEGY INC NEW DEL,349567,2934
DYNEX CAP INC,27805,222
E HOUSE CHINA HLDGS LTD,339417,5118
E M C CORP MASS,46548134,1170686
E TRADE FINANCIAL CORP,3326886,65340
E-COMMERCE CHINA DANGDANG IN,120561,1151
EAGLE BANCORP INC MD,869243,26624
EAGLE BULK SHIPPING INC,29084,133
EAGLE MATERIALS INC,284302,22013
EAGLE ROCK ENERGY PARTNERS L,28722,171
EARTHLINK INC,250010,1267
EAST WEST BANCORP INC,276777,9679
EASTGROUP PPTY INC,151619,8783
EASTMAN CHEM CO,3128938,252505
EASTMAN KODAK CO,13087,454
EATON CORP PLC,1681251,127976
EATON VANCE CORP,420009,17972
EATON VANCE NEW YORK MUN BD,45099,511
EATON VANCE SH TM DR DIVR IN,12884,197
EATON VANCE TAX ADVT DIV INC,31781,604
EATON VANCE TAX MNGD GBL DV,23866,239
EATON VANCE TAX-ADV BD & OPT,12234,174
EATON VANCE TX ADV GLBL DIV,15641,265
EATON VANCE TX MGD DIV EQ IN,17445,190
EATON VANCE TX MNG BY WRT OP,31347,439
EATON VANCE TXMGD GL BUYWR O,12582,152
EBAY INC,16001164,877904
EBIX INC,161447,2374
ECHELON CORP,86939,187
ECHOSTAR CORP,233991,11634
ECOLAB INC,1408833,146899
ECOPETROL S A,75847,2916
EDISON INTL,5717977,264743
EDUCATION MGMT CORP NEW,54368658,548580
EDUCATION RLTY TR INC,168344,1485
EDWARDS GROUP LTD,2491232,25361
EDWARDS LIFESCIENCES CORP,311804,20504
EGAIN CORP,16664,171
EHEALTH INC,37097,1725
EL PASO ELEC CO,1642517,57669
EL PASO PIPELINE PARTNERS L,3654907,131577
ELBIT SYS LTD,65928,4002
ELDORADO GOLD CORP NEW,1187483,6757
ELECTRO RENT CORP,69232,1282
ELECTRO SCIENTIFIC INDS,60938,637
ELECTRONIC ARTS INC,2097557,48117
ELECTRONICS FOR IMAGING INC,956406,37042
ELEPHANT TALK COMM CORP,10207,13
ELIZABETH ARDEN INC,58273,2066
ELLIE MAE INC,30859,829
ELLIS PERRY INTL INC,69494,1097
EMBRAER S A,304362,9795
EMC INS GROUP INC,9027,276
EMCOR GROUP INC,1385396,58796
EMCORE CORP,29270,150
EMERALD OIL INC,14327,110
EMERGE ENERGY SVCS LP,791792,35100
EMERGENT BIOSOLUTIONS INC,298674,6866
EMERITUS CORP,353186,7640
EMERSON ELEC CO,3126609,219426
EMPIRE DIST ELEC CO,28282,642
EMPIRE ST RLTY TR INC,500727,7661
EMPLOYERS HOLDINGS INC,131926,4175
EMPRESA NACIONAL DE ELCTRCID,46244,2062
EMULEX CORP,49141,352
ENANTA PHARMACEUTICALS INC,9541,260
ENBRIDGE ENERGY MANAGEMENT L,509158,14603
ENBRIDGE ENERGY PARTNERS L P,534439,15963
ENBRIDGE INC,1072398,46842
ENCANA CORP,4983608,89954
ENCORE CAP GROUP INC,60223,3027
ENCORE WIRE CORP,41554,2252
ENDEAVOUR INTL CORP,68474,359
ENDEAVOUR SILVER CORP,10575,38
ENDO HEALTH SOLUTIONS INC,1999427,134882
ENDOCYTE INC,27539,294
ENDOLOGIX INC,32364,564
ENDURANCE INTL GROUP HLDGS I,20884779,296146
ENDURANCE SPECIALTY HLDGS LT,620957,36431
ENDURO RTY TR,282270,3413
ENERGEN CORP,160577,11361
ENERGIZER HLDGS INC,202589,21928
ENERGY RECOVERY INC,94715,526
ENERGY TRANSFER EQUITY L P,10509789,859070
ENERGY TRANSFER PRTNRS L P,1591419,91108
ENERGY XXI (BERMUDA) LTD,167246,4526
ENERPLUS CORP,151778,2759
ENERSIS S A,441888,6624
ENERSYS,216101,15147
ENGILITY HLDGS INC,41574,1389
ENI S P A,382413,18543
ENNIS INC,76830,1360
ENPHASE ENERGY INC,64735,410
ENPRO INDS INC,138207,7968
ENSCO PLC,922583,52754
ENSIGN GROUP INC,52147,2309
ENSTAR GROUP LIMITED,803997,111683
ENTEGRIS INC,117961,1367
ENTERCOM COMMUNICATIONS CORP,297013,3122
ENTERGY CORP NEW,702922,44474
ENTEROMEDICS INC,416,1
ENTERPRISE PRODS PARTNERS L,12533661,830982
ENTRAVISION COMMUNICATIONS C,1391,8
ENTROPIC COMMUNICATIONS INC,218538,1027
ENVESTNET INC,22120,891
ENVISION HEALTHCARE HLDGS IN,8901,316
ENVIVIO INC,13800,47
ENZO BIOCHEM INC,148329,433
ENZON PHARMACEUTICALS INC,499249,579
ENZYMOTEC LTD,64251,1735
EOG RES INC,1133222,190200
EPAM SYS INC,13903,486
EPIQ SYS INC,79116,1280
EPL OIL & GAS INC,215615,6145
EPLUS INC,19713,1120
EPR PPTYS,1648611,81046
EQT CORP,1827317,164057
EQT MIDSTREAM PARTNERS LP,2649452,155761
EQUAL ENERGY LTD,13340,71
EQUIFAX INC,263465,18203
EQUINIX INC,3514940,623726
EQUITY LIFESTYLE PPTYS INC,485650,17595
EQUITY ONE,218969,4914
EQUITY RESIDENTIAL,2132877,110632
ERA GROUP INC,60046,1853
ERICKSON AIR-CRANE INC,23074,480
ERICSSON,468257,5732
ERIE INDTY CO,3587,262
EROS INTL PLC,928667,10317
ESCO TECHNOLOGIES INC,60593,2076
ESPERION THERAPEUTICS INC NE,11819,162
ESSENT GROUP LTD,6038745,145292
ESSEX PPTY TR INC,797993,114520
ESTERLINE TECHNOLOGIES CORP,837989,85442
ETFS GOLD TR,14607,1729
ETFS PALLADIUM TR,300030,20888
ETFS PLATINUM TR,6572,880
ETFS PRECIOUS METALS BASKET,11332,748
ETFS SILVER TR,41828,803
ETHAN ALLEN INTERIORS INC,213941,6508
EURONET WORLDWIDE INC,129461,6195
EV ENERGY PARTNERS LP,18214,618
EVER GLORY INTL GRP INC,13151,66
EVERBANK FINL CORP,13120,241
EVERCORE PARTNERS INC,137186,8201
EVEREST RE GROUP LTD,1334072,207942
EVERTEC INC,965622,23812
EVOGENE LTD,1039061,20418
EVOLUTION PETROLEUM CORP,14090,174
EXACT SCIENCES CORP,3280998,38551
EXACTECH INC,14988,356
EXAMWORKS GROUP INC,800659,23916
EXAR CORP,149107,1758
EXCEL TR INC,60555,690
EXCHANGE TRADED CONCEPTS TR,15175,319
EXCO RESOURCES INC,594962,3159
EXELIS INC,619856,11814
EXELIXIS INC,2857439,17516
EXELON CORP,3247114,88939
EXETER RES CORP,150729,80
EXFO INC,171443,816
EXLSERVICE HOLDINGS INC,62554,1728
EXONE CO,213190,12889
EXPEDIA INC DEL,2281715,158945
EXPEDITORS INTL WASH INC,679156,30052
EXPONENT INC,49799,3848
EXPRESS INC,353125,6592
EXPRESS SCRIPTS HLDG CO,2441466,171489
EXTENDED STAY AMER INC,104236,2737
EXTERRAN HLDGS INC,252008,8619
EXTRA SPACE STORAGE INC,667783,28134
EXTREME NETWORKS INC,305452,2132
EXXON MOBIL CORP,22874636,2314913
EZCORP INC,127256,1488
F M C CORP,418930,31612
F5 NETWORKS INC,1355833,123191
FAB UNVL CORP,74501,229
FABRINET,23610,486
FACEBOOK INC,9196708,502591
FACTSET RESH SYS INC,142511,15473
FAIR ISAAC CORP,131918,8290
FAIRCHILD SEMICONDUCTOR INTL,2739558,36573
FALCONSTOR SOFTWARE INC,11124,15
FAMILY DLR STORES INC,437046,28395
FARMERS NATL BANC CORP,36413,239
FARO TECHNOLOGIES INC,35608,2076
FASTENAL CO,829118,39391
FATE THERAPEUTICS INC,40991,257
FBL FINL GROUP INC,39585,1773
FBR & CO,8212,217
FEDERAL AGRIC MTG CORP,11394,325
FEDERAL MOGUL CORP,23683,466
FEDERAL REALTY INVT TR,503429,51053
FEDERAL SIGNAL CORP,132434,1940
FEDERATED INVS INC PA,721129,20769
FEDERATED PREM INTR MUN INC,17499,213
FEDEX CORP,4613928,663345
FEI CO,90266,8066
FELCOR LODGING TR INC,191181,1560
FEMALE HEALTH CO,11754,100
FERRELLGAS PARTNERS L.P.,45147,1036
FERRO CORP,147715,1895
FIBRIA CELULOSE S A,265223,3098
FIBROCELL SCIENCE INC,41955,170
FIDELITY,1108620,29433
FIDELITY & GTY LIFE,830462,15729
FIDELITY NATIONAL FINANCIAL,841517,27307
FIDELITY NATL INFORMATION SV,4010563,215287
FIDUS INVT CORP,20912,455
FIESTA RESTAURANT GROUP INC,74078,3870
FIFTH & PAC COS INC,4551918,145980
FIFTH STREET FINANCE CORP,190771,1765
FIFTH THIRD BANCORP,4100903,86242
FINANCIAL ENGINES INC,238204,16550
FINANCIAL INSTNS INC,27813,687
FINISAR CORP,350909,8394
FINISH LINE INC,247324,6967
FIREEYE INC,8717,380
FIRST AMERN FINL CORP,295996,8347
FIRST BANCORP INC ME,20215,352
FIRST BANCORP N C,36422,605
FIRST BANCORP P R,232675,1440
FIRST BUSEY CORP,83069,482
FIRST CASH FINL SVCS INC,456783,28247
FIRST CMNTY BANCSHARES INC N,24025,401
FIRST COMWLTH FINL CORP PA,361681,3190
FIRST CTZNS BANCSHARES INC N,22431,4994
FIRST DEFIANCE FINL CORP,8432,219
FIRST FINL BANCORP OH,315267,5494
FIRST FINL BANKSHARES,766763,50691
FIRST FINL CORP IND,21877,800
FIRST FINL HLDGS INC NEW,667434,44391
FIRST HORIZON NATL CORP,2105214,24525
FIRST INDUSTRIAL REALTY TRUS,298888,5216
FIRST INTST BANCSYSTEM INC,192815,5470
FIRST LONG IS CORP,263815,11310
FIRST MAJESTIC SILVER CORP,130947,1284
FIRST MARBLEHEAD CORP,55865,413
FIRST MERCHANTS CORP,75652,1719
FIRST MIDWEST BANCORP DEL,1981409,34735
FIRST NIAGARA FINL GP INC,1597782,16968
FIRST POTOMAC RLTY TR,78978,918
FIRST REP BK SAN FRANCISCO C,4726148,247414
FIRST SEC GROUP INC,105316,242
FIRST SOLAR INC,285085,15577
FIRST SOUTH BANCORP INC VA,29273,228
FIRST TR ABERDEEN GLBL OPP F,18392,258
FIRST TR EXCH TRD ALPHA FD I,117501,4050
FIRST TR EXCHANGE TRADED FD,2156573,100357
FIRST TR EXCNGE TRD ALPHADEX,68767,1930
FIRST TR HIGH INCOME L/S FD,44091,759
FIRST TR ISE GLB WIND ENRG E,22170,252
FIRST TR ISE GLOBL COPPR IND,24956,556
FIRST TR ISE REVERE NAT GAS,92422,1802
FIRST TR LRG CP GRWTH ALPHAD,61896,2535
FIRST TR LRG CP VL ALPHADEX,32044,1288
FIRST TR MULTI CAP VALUE ALP,61273,2766
FIRST TR NAS100 EQ WEIGHTED,12100,440
FIRST TR S&P REIT INDEX FD,144041,2526
FIRST TR VALUE LINE DIVID IN,57991,1241
FIRSTENERGY CORP,10541283,347651
FIRSTMERIT CORP,708851,15758
FIRSTSERVICE CORP,24955,1074
FISERV INC,967180,57111
FIVE BELOW INC,1918366,82869
FIVE PRIME THERAPEUTICS INC,478966,8042
FIVE STAR QUALITY CARE INC,131560,722
FLEETCOR TECHNOLOGIES INC,1181394,138424
FLEETMATICS GROUP PLC,1792,78
FLEXTRONICS INTL LTD,2618837,20349
FLIR SYS INC,768957,23146
FLOTEK INDS INC DEL,101900,2045
FLOW INTL CORP,85769,346
FLOWERS FOODS INC,318519,6839
FLOWSERVE CORP,527850,41610
FLUIDIGM CORP DEL,47250,1809
FLUOR CORP NEW,752410,60412
FLUSHING FINL CORP,1204793,24940
FMC TECHNOLOGIES INC,548062,28615
FNB CORP PA,553601,6986
FOMENTO ECONOMICO MEXICANO S,581998,56960
FOOT LOCKER INC,412007,17074
FORCEFIELD ENERGY,15483,92
FORD MTR CO DEL,16886688,260562
FOREST CITY ENTERPRISES INC,516070,9857
FOREST LABS INC,746769,44828
FOREST OIL CORP,1449037,5231
FORESTAR GROUP INC,85720,1823
FORMFACTOR INC,99031,595
FORRESTER RESH INC,57743,2209
FORTINET INC,315172,6029
FORTRESS INVESTMENT GROUP LL,3717036,31818
FORTUNA SILVER MINES INC,24000,69
FORTUNE BRANDS HOME & SEC IN,473930,21659
FORUM ENERGY TECHNOLOGIES IN,2094142,59180
FORWARD AIR CORP,993814,43639
FOSSIL GROUP INC,526509,63150
FOSTER L B CO,16817,795
FOSTER WHEELER AG,109737,3621
FOUNDATION MEDICINE INC,153563,3658
FRANCESCAS HLDGS CORP,135337,2490
FRANCO NEVADA CORP,90520,3688
FRANKLIN COVEY CO,54261,1079
FRANKLIN ELEC INC,89075,3976
FRANKLIN RES INC,1760087,101610
FRANKLIN STREET PPTYS CORP,384833,4599
FRANKS INTL N V,8471,229
FREDS INC,236126,4364
FREEPORT-MCMORAN COPPER & GO,5552572,209554
FREESCALE SEMICONDUCTOR LTD,111067,1783
FRESENIUS MED CARE AG&CO KGA,2154189,76646
FRESH DEL MONTE PRODUCE INC,91305,2584
FRESH MKT INC,35006,1418
FRONTIER COMMUNICATIONS CORP,7297786,33935
FRONTLINE LTD,203291,761
FTD COS INC,145913,4754
FTI CONSULTING INC,96783,3982
FUEL SYS SOLUTIONS INC,16368,227
FUEL TECH INC,18891,134
FUELCELL ENERGY INC,91970,130
FULLER H B CO,427256,22235
FULTON FINL CORP PA,406231,5315
FURIEX PHARMACEUTICALS INC,17315,727
FURMANITE CORPORATION,83308,885
FUSION-IO INC,166418,1483
FUTUREFUEL CORPORATION,94109,1487
FX ENERGY INC,78319,287
FXCM INC,182538,3256
G & K SVCS INC,804362,50056
G-III APPAREL GROUP LTD,42484,3142
GABELLI DIVD & INCOME TR,10013,222
GAFISA S A,107594,337
GAIAM INC,59146,392
GAIN CAP HLDGS INC,283386,2129
GALENA BIOPHARMA INC,1355,7
GALLAGHER ARTHUR J & CO,1972125,92552
GAMCO INVESTORS INC,51740,4500
GAMESTOP CORP NEW,2346339,115580
