nameOfIssuer,value,sshPrnamt,Sole,Shared,None
ALPINE GLOBAL PREMIER PPTYS,99,13768,13768,0,0
ALPINE TOTAL DYNAMIC DIVID F,73,17368,17368,0,0
ALPS ETF TR,115714,6384522,5291153,0,1093369
ALTERA CORP,629188,19353086,16557154,107250,2688682
ALTISOURCE PORTFOLIO SOLNS S,591,3724,3724,0,0
ALTISOURCE RESIDENTIAL CORP,335,11116,11116,0,0
ALTRA INDL MOTION CORP,2481,72514,72514,0,0
ALTRIA GROUP INC,323754,8433287,7644156,65994,723137
ALUMINA LTD,140,35122,35122,0,0
ALUMINUM CORP CHINA LTD,167,19214,19214,0,0
AMAG PHARMACEUTICALS INC,3213,132331,132331,0,0
AMARIN CORP PLC,444,225296,225296,0,0
AMAZON COM INC,1323220,3318091,1929738,6355,1381998
AMBAC FINL GROUP INC,537,21865,21865,0,0
AMBARELLA INC,690,20361,20361,0,0
AMBEV SA,41446,5638995,5638995,0,0
AMC NETWORKS INC,7973,117063,117063,0,0
AMCOL INTL CORP,1786,52562,52562,0,0
AMDOCS LTD,8792,213193,213168,0,25
AMEDISYS INC,1415,96771,96771,0,0
AMERCO,2256,9486,9486,0,0
AMEREN CORP,44411,1228193,1223898,0,4295
AMERESCO INC,175,18145,18145,0,0
AMERICA MOVIL SAB DE CV,114644,4905596,4898104,0,7492
AMERICAN AIRLS GROUP INC,39511,1564789,1564789,0,0
AMERICAN APPAREL INC,18,14975,14975,0,0
AMERICAN ASSETS TR INC,5851,186176,186176,0,0
AMERICAN AXLE & MFG HLDGS IN,47933,2343889,2215122,0,128767
AMERICAN CAMPUS CMNTYS INC,104685,3250094,3116988,288,132818
AMERICAN CAP LTD,10743,686833,686833,0,0
AMERICAN CAP MTG INVT CORP,6383,365578,365578,0,0
AMERICAN CAPITAL AGENCY CORP,40070,2077288,2073988,0,3300
AMERICAN EAGLE OUTFITTERS NE,8488,589419,579569,0,9850
AMERICAN ELEC PWR INC,75500,1615304,1590098,10414,14792
AMERICAN EQTY INVT LIFE HLD,103844,3936485,3718482,0,218003
AMERICAN EXPRESS CO,335038,3692685,3398329,0,294356
AMERICAN FINL GROUP INC OHIO,10230,177236,177236,0,0
AMERICAN HOMES 4 RENT,748,46152,46152,0,0
AMERICAN INTL GROUP INC,725360,14217693,13950902,137053,129738
AMERICAN MIDSTREAM PARTNERS,18225,673000,673000,0,0
AMERICAN NATL INS CO,883,7706,7706,0,0
AMERICAN PAC CORP,513,13779,13779,0,0
AMERICAN PUBLIC EDUCATION IN,3509,80723,80723,0,0
AMERICAN RAILCAR INDS INC,576,12593,12593,0,0
AMERICAN RLTY CAP PPTYS INC,5900,459067,459067,0,0
AMERICAN SCIENCE & ENGR INC,4341,60371,60371,0,0
AMERICAN SOFTWARE INC,471,47752,47752,0,0
AMERICAN STS WTR CO,5161,179626,179626,0,0
AMERICAN SUPERCONDUCTOR CORP,435,265548,265548,0,0
AMERICAN TOWER CORP NEW,899765,11272436,7497906,39543,3734987
AMERICAN VANGUARD CORP,1337,55052,55052,0,0
AMERICAN WOODMARK CORP,2251,56933,56933,0,0
AMERICAN WTR WKS CO INC NEW,10088,238699,203771,0,34928
AMERICAS CAR MART INC,891,21092,21092,0,0
AMERIGAS PARTNERS L P,5515,123741,123741,0,0
AMERIPRISE FINL INC,167287,1454035,1298496,15868,139671
AMERIS BANCORP,574,27185,27185,0,0
AMERISAFE INC,1863,44101,44101,0,0
AMERISERV FINL INC,38,12532,12532,0,0
AMERISOURCEBERGEN CORP,75778,1077779,1032220,14838,30721
AMETEK INC NEW,88042,1671575,1619626,9671,42278
AMGEN INC,394651,3459430,3341242,9330,108858
AMICUS THERAPEUTICS INC,123,52524,52524,0,0
AMKOR TECHNOLOGY INC,1800,293708,293708,0,0
AMN HEALTHCARE SERVICES INC,4482,304920,304920,0,0
AMPCO-PITTSBURGH CORP,297,15261,15261,0,0
AMPHENOL CORP NEW,215344,2414708,2315625,10604,88479
