nameOfIssuer,value,sshPrnamt,Sole,Shared,None
DOLLAR GEN CORP NEW,578058,9583183,8238153,21745,1323285
DOLLAR TREE INC,48486,859384,802739,0,56645
DOMINION DIAMOND CORP,1208,84104,84104,0,0
DOMINION RES INC VA NEW,136254,2130788,2130788,0,0
DOMINOS PIZZA INC,13190,189367,188266,0,1101
DOMTAR CORP,7082,75061,75061,0,0
DONALDSON INC,22689,522054,415445,0,106609
DONEGAL GROUP INC,284,17845,17845,0,0
DONNELLEY R R & SONS CO,47102,2322602,2322602,0,0
DORMAN PRODUCTS INC,4567,81505,81505,0,0
DOT HILL SYS CORP,59,17501,17501,0,0
DOUGLAS EMMETT INC,20997,901562,901201,361,0
DOVER CORP,65394,677378,658026,0,19352
DOW 30SM ENHANCED PREM & INC,149,11328,1828,0,9500
DOW CHEM CO,592701,13349070,12674414,52264,622392
DR PEPPER SNAPPLE GROUP INC,23025,472584,472584,0,0
DR REDDYS LABS LTD,10334,251869,251869,0,0
DRDGOLD LIMITED,46,12453,12453,0,0
DREAMWORKS ANIMATION SKG INC,3417,96253,96253,0,0
DRESSER-RAND GROUP INC,11228,188295,188295,0,0
DREW INDS INC,2986,58318,58318,0,0
DRIL-QUIP INC,181400,1650141,1589255,7952,52934
DRYSHIPS INC,96,20347,20347,0,0
DSP GROUP INC,1232,126882,126882,0,0
DST SYS INC DEL,5643,62186,62186,0,0
DSW INC,3336,78067,78067,0,0
DTE ENERGY CO,38985,587207,587207,0,0
DTF TAX-FREE INCOME INC,270,19269,19269,0,0
DTS INC,1018,42556,42556,0,0
DU PONT E I DE NEMOURS & CO,364313,5607405,5308486,0,298919
DUCOMMUN INC DEL,2391,80181,80181,0,0
DUFF & PHELPS UTIL CORP BD T,146,14586,14586,0,0
DUKE ENERGY CORP NEW,194154,2813403,2739416,14160,59827
DUKE REALTY CORP,74951,4983438,4982546,892,0
DUN & BRADSTREET CORP DEL NE,40637,331058,331058,0,0
DUNKIN BRANDS GROUP INC,3785,78540,78540,0,0
DUPONT FABROS TECHNOLOGY INC,45954,1859739,1756521,170,103048
DURECT CORP,55,31556,31556,0,0
DWS MUN INCOME TR,1133,94460,94460,0,0
DXP ENTERPRISES INC NEW,3013,26154,26154,0,0
DYAX CORP,2071,274847,274847,0,0
DYCOM INDS INC,2870,103285,103285,0,0
DYNAGAS LNG PARTNERS LP,35861,1590300,1590300,0,0
DYNAMIC MATLS CORP,298,13730,13730,0,0
DYNAVAX TECHNOLOGIES CORP,513,261414,261414,0,0
DYNEGY INC NEW DEL,2934,349567,349493,0,74
DYNEX CAP INC,222,27805,27805,0,0
E HOUSE CHINA HLDGS LTD,5118,339417,339417,0,0
E M C CORP MASS,1170686,46548134,35491114,200851,10856169
E TRADE FINANCIAL CORP,65340,3326886,3202688,0,124198
E-COMMERCE CHINA DANGDANG IN,1151,120561,120561,0,0
EAGLE BANCORP INC MD,26624,869243,869243,0,0
EAGLE BULK SHIPPING INC,133,29084,29084,0,0
EAGLE MATERIALS INC,22013,284302,265736,0,18566
EAGLE ROCK ENERGY PARTNERS L,171,28722,28722,0,0
EARTHLINK INC,1267,250010,250010,0,0
EAST WEST BANCORP INC,9679,276777,276777,0,0
EASTGROUP PPTY INC,8783,151619,151549,70,0
EASTMAN CHEM CO,252505,3128938,3007529,60888,60521
EASTMAN KODAK CO,454,13087,13087,0,0
EATON CORP PLC,127976,1681251,1575457,0,105794
EATON VANCE CORP,17972,420009,418676,0,1333
EATON VANCE NEW YORK MUN BD,511,45099,45099,0,0
EATON VANCE SH TM DR DIVR IN,197,12884,12884,0,0
EATON VANCE TAX ADVT DIV INC,604,31781,17095,0,14686
EATON VANCE TAX MNGD GBL DV,239,23866,23866,0,0
EATON VANCE TAX-ADV BD & OPT,174,12234,12234,0,0
EATON VANCE TX ADV GLBL DIV,265,15641,15641,0,0
EATON VANCE TX MGD DIV EQ IN,190,17445,17445,0,0
EATON VANCE TX MNG BY WRT OP,439,31347,11387,0,19960
EATON VANCE TXMGD GL BUYWR O,152,12582,12582,0,0
EBAY INC,877904,16001164,10208733,75837,5716594
EBIX INC,2374,161447,161447,0,0
ECHELON CORP,187,86939,86939,0,0
ECHOSTAR CORP,11634,233991,210741,0,23250
ECOLAB INC,146899,1408833,1382333,4297,22203
ECOPETROL S A,2916,75847,75847,0,0
EDISON INTL,264743,5717977,5508687,35246,174044
EDUCATION MGMT CORP NEW,548580,54368658,54368658,0,0
EDUCATION RLTY TR INC,1485,168344,168126,218,0
EDWARDS GROUP LTD,25361,2491232,2328145,0,163087
EDWARDS LIFESCIENCES CORP,20504,311804,297900,0,13904
EGAIN CORP,171,16664,16664,0,0
EHEALTH INC,1725,37097,37097,0,0
EL PASO ELEC CO,57669,1642517,1549997,0,92520
EL PASO PIPELINE PARTNERS L,131577,3654907,3439332,0,215575
ELBIT SYS LTD,4002,65928,65928,0,0
ELDORADO GOLD CORP NEW,6757,1187483,1187483,0,0
ELECTRO RENT CORP,1282,69232,69232,0,0
ELECTRO SCIENTIFIC INDS,637,60938,60938,0,0
ELECTRONIC ARTS INC,48117,2097557,1813712,24339,259506
ELECTRONICS FOR IMAGING INC,37042,956406,907145,0,49261
ELEPHANT TALK COMM CORP,13,10207,10207,0,0
ELIZABETH ARDEN INC,2066,58273,58273,0,0
ELLIE MAE INC,829,30859,30859,0,0
ELLIS PERRY INTL INC,1097,69494,69494,0,0
EMBRAER S A,9795,304362,293832,0,10530
EMC INS GROUP INC,276,9027,9027,0,0
EMCOR GROUP INC,58796,1385396,1310656,0,74740
EMCORE CORP,150,29270,29270,0,0
EMERALD OIL INC,110,14327,14327,0,0
EMERGE ENERGY SVCS LP,35100,791792,791792,0,0
EMERGENT BIOSOLUTIONS INC,6866,298674,298674,0,0
EMERITUS CORP,7640,353186,353186,0,0
EMERSON ELEC CO,219426,3126609,2900950,32355,193304
EMPIRE DIST ELEC CO,642,28282,28282,0,0
EMPIRE ST RLTY TR INC,7661,500727,500727,0,0
EMPLOYERS HOLDINGS INC,4175,131926,131926,0,0
EMPRESA NACIONAL DE ELCTRCID,2062,46244,46244,0,0
EMULEX CORP,352,49141,49141,0,0
ENANTA PHARMACEUTICALS INC,260,9541,9541,0,0
ENBRIDGE ENERGY MANAGEMENT L,14603,509158,487421,0,21737
ENBRIDGE ENERGY PARTNERS L P,15963,534439,510795,0,23644
ENBRIDGE INC,46842,1072398,990427,0,81971
ENCANA CORP,89954,4983608,4983608,0,0
ENCORE CAP GROUP INC,3027,60223,60223,0,0
ENCORE WIRE CORP,2252,41554,41554,0,0
ENDEAVOUR INTL CORP,359,68474,68474,0,0
ENDEAVOUR SILVER CORP,38,10575,10575,0,0
ENDO HEALTH SOLUTIONS INC,134882,1999427,1999175,0,252
ENDOCYTE INC,294,27539,27539,0,0
ENDOLOGIX INC,564,32364,32364,0,0
ENDURANCE INTL GROUP HLDGS I,296146,20884779,20884779,0,0
ENDURANCE SPECIALTY HLDGS LT,36431,620957,586396,0,34561
ENDURO RTY TR,3413,282270,18391,0,263879
ENERGEN CORP,11361,160577,160577,0,0
ENERGIZER HLDGS INC,21928,202589,202589,0,0
ENERGY RECOVERY INC,526,94715,94715,0,0
ENERGY TRANSFER EQUITY L P,859070,10509789,10409789,0,100000
ENERGY TRANSFER PRTNRS L P,91108,1591419,1433349,0,158070
ENERGY XXI (BERMUDA) LTD,4526,167246,167246,0,0
ENERPLUS CORP,2759,151778,151778,0,0
ENERSIS S A,6624,441888,441888,0,0
ENERSYS,15147,216101,216101,0,0
ENGILITY HLDGS INC,1389,41574,41574,0,0
ENI S P A,18543,382413,382413,0,0
ENNIS INC,1360,76830,76830,0,0
ENPHASE ENERGY INC,410,64735,64735,0,0
ENPRO INDS INC,7968,138207,138207,0,0
ENSCO PLC,52754,922583,919250,0,3333
ENSIGN GROUP INC,2309,52147,52147,0,0
ENSTAR GROUP LIMITED,111683,803997,798581,0,5416
ENTEGRIS INC,1367,117961,117961,0,0
ENTERCOM COMMUNICATIONS CORP,3122,297013,249965,0,47048
ENTERGY CORP NEW,44474,702922,694701,0,8221
ENTEROMEDICS INC,1,416,416,0,0
ENTERPRISE PRODS PARTNERS L,830982,12533661,11796861,0,736800
ENTRAVISION COMMUNICATIONS C,8,1391,1391,0,0
ENTROPIC COMMUNICATIONS INC,1027,218538,218538,0,0
ENVESTNET INC,891,22120,22120,0,0
ENVISION HEALTHCARE HLDGS IN,316,8901,8901,0,0
ENVIVIO INC,47,13800,13800,0,0
ENZO BIOCHEM INC,433,148329,148329,0,0
ENZON PHARMACEUTICALS INC,579,499249,499249,0,0
ENZYMOTEC LTD,1735,64251,64251,0,0
EOG RES INC,190200,1133222,977622,13038,142562
EPAM SYS INC,486,13903,13903,0,0
EPIQ SYS INC,1280,79116,79116,0,0
EPL OIL & GAS INC,6145,215615,215615,0,0
EPLUS INC,1120,19713,19713,0,0
EPR PPTYS,81046,1648611,1648611,0,0
EQT CORP,164057,1827317,1804644,0,22673
EQT MIDSTREAM PARTNERS LP,155761,2649452,2649452,0,0
EQUAL ENERGY LTD,71,13340,13340,0,0
EQUIFAX INC,18203,263465,262697,0,768
EQUINIX INC,623726,3514940,2909439,7765,597736
EQUITY LIFESTYLE PPTYS INC,17595,485650,456809,197,28644
EQUITY ONE,4914,218969,218791,178,0
EQUITY RESIDENTIAL,110632,2132877,2132000,877,0
ERA GROUP INC,1853,60046,60046,0,0
ERICKSON AIR-CRANE INC,480,23074,23074,0,0
ERICSSON,5732,468257,457893,0,10364
ERIE INDTY CO,262,3587,3587,0,0
EROS INTL PLC,10317,928667,928667,0,0
ESCO TECHNOLOGIES INC,2076,60593,60593,0,0
ESPERION THERAPEUTICS INC NE,162,11819,11819,0,0
ESSENT GROUP LTD,145292,6038745,6038745,0,0
ESSEX PPTY TR INC,114520,797993,797908,85,0
ESTERLINE TECHNOLOGIES CORP,85442,837989,789805,0,48184
ETFS GOLD TR,1729,14607,14607,0,0
ETFS PALLADIUM TR,20888,300030,300030,0,0
ETFS PLATINUM TR,880,6572,5072,0,1500
ETFS PRECIOUS METALS BASKET,748,11332,11332,0,0
ETFS SILVER TR,803,41828,41828,0,0
ETHAN ALLEN INTERIORS INC,6508,213941,213941,0,0
EURONET WORLDWIDE INC,6195,129461,129461,0,0
EV ENERGY PARTNERS LP,618,18214,18214,0,0
EVER GLORY INTL GRP INC,66,13151,13151,0,0
EVERBANK FINL CORP,241,13120,13120,0,0
EVERCORE PARTNERS INC,8201,137186,137186,0,0
EVEREST RE GROUP LTD,207942,1334072,1313943,0,20129
EVERTEC INC,23812,965622,944322,0,21300
EVOGENE LTD,20418,1039061,1039061,0,0
EVOLUTION PETROLEUM CORP,174,14090,14090,0,0
EXACT SCIENCES CORP,38551,3280998,3086477,0,194521
EXACTECH INC,356,14988,14988,0,0
EXAMWORKS GROUP INC,23916,800659,800659,0,0
EXAR CORP,1758,149107,149107,0,0
EXCEL TR INC,690,60555,60555,0,0
EXCHANGE TRADED CONCEPTS TR,319,15175,0,0,15175
EXCO RESOURCES INC,3159,594962,594962,0,0
EXELIS INC,11814,619856,574456,0,45400
EXELIXIS INC,17516,2857439,2857439,0,0
EXELON CORP,88939,3247114,3155737,61119,30258
EXETER RES CORP,80,150729,150729,0,0
EXFO INC,816,171443,171443,0,0
EXLSERVICE HOLDINGS INC,1728,62554,62554,0,0
EXONE CO,12889,213190,213190,0,0
EXPEDIA INC DEL,158945,2281715,2249144,26983,5588
EXPEDITORS INTL WASH INC,30052,679156,679156,0,0
EXPONENT INC,3848,49799,49799,0,0
EXPRESS INC,6592,353125,353125,0,0
EXPRESS SCRIPTS HLDG CO,171489,2441466,2395394,0,46072
EXTENDED STAY AMER INC,2737,104236,104236,0,0
EXTERRAN HLDGS INC,8619,252008,252008,0,0
EXTRA SPACE STORAGE INC,28134,667783,659025,263,8495
EXTREME NETWORKS INC,2132,305452,305452,0,0
EXXON MOBIL CORP,2314913,22874636,19377313,164678,3332645
EZCORP INC,1488,127256,127256,0,0
F M C CORP,31612,418930,418930,0,0
F5 NETWORKS INC,123191,1355833,1349433,0,6400
FAB UNVL CORP,229,74501,74501,0,0
FABRINET,486,23610,23610,0,0
FACEBOOK INC,502591,9196708,7915337,0,1281371
FACTSET RESH SYS INC,15473,142511,138715,0,3796
FAIR ISAAC CORP,8290,131918,131918,0,0
FAIRCHILD SEMICONDUCTOR INTL,36573,2739558,2586738,0,152820
FALCONSTOR SOFTWARE INC,15,11124,11124,0,0
FAMILY DLR STORES INC,28395,437046,349987,0,87059
FARMERS NATL BANC CORP,239,36413,36413,0,0
FARO TECHNOLOGIES INC,2076,35608,35608,0,0
FASTENAL CO,39391,829118,829118,0,0
FATE THERAPEUTICS INC,257,40991,40991,0,0
FBL FINL GROUP INC,1773,39585,39585,0,0
FBR & CO,217,8212,8212,0,0
FEDERAL AGRIC MTG CORP,325,11394,11394,0,0
FEDERAL MOGUL CORP,466,23683,23683,0,0
FEDERAL REALTY INVT TR,51053,503429,503279,150,0
FEDERAL SIGNAL CORP,1940,132434,132434,0,0
FEDERATED INVS INC PA,20769,721129,721129,0,0
FEDERATED PREM INTR MUN INC,213,17499,17499,0,0
FEDEX CORP,663345,4613928,2741144,8360,1864424
FEI CO,8066,90266,90266,0,0
FELCOR LODGING TR INC,1560,191181,191181,0,0
FEMALE HEALTH CO,100,11754,11754,0,0
FERRELLGAS PARTNERS L.P.,1036,45147,45147,0,0
FERRO CORP,1895,147715,147715,0,0
FIBRIA CELULOSE S A,3098,265223,265223,0,0
FIBROCELL SCIENCE INC,170,41955,41955,0,0
FIDELITY,29433,1108620,1108620,0,0
FIDELITY & GTY LIFE,15729,830462,787226,0,43236
FIDELITY NATIONAL FINANCIAL,27307,841517,841017,0,500
FIDELITY NATL INFORMATION SV,215287,4010563,3987321,0,23242
FIDUS INVT CORP,455,20912,20912,0,0
FIESTA RESTAURANT GROUP INC,3870,74078,74078,0,0
FIFTH & PAC COS INC,145980,4551918,4412087,25909,113922
FIFTH STREET FINANCE CORP,1765,190771,190771,0,0
FIFTH THIRD BANCORP,86242,4100903,4071785,0,29118
FINANCIAL ENGINES INC,16550,238204,238204,0,0
FINANCIAL INSTNS INC,687,27813,27813,0,0
FINISAR CORP,8394,350909,350909,0,0
FINISH LINE INC,6967,247324,247324,0,0
FIREEYE INC,380,8717,8217,0,500
FIRST AMERN FINL CORP,8347,295996,295996,0,0
FIRST BANCORP INC ME,352,20215,20215,0,0
FIRST BANCORP N C,605,36422,36422,0,0
FIRST BANCORP P R,1440,232675,232675,0,0
FIRST BUSEY CORP,482,83069,83069,0,0
FIRST CASH FINL SVCS INC,28247,456783,433176,0,23607
FIRST CMNTY BANCSHARES INC N,401,24025,24025,0,0
FIRST COMWLTH FINL CORP PA,3190,361681,361681,0,0
FIRST CTZNS BANCSHARES INC N,4994,22431,21742,0,689
FIRST DEFIANCE FINL CORP,219,8432,8432,0,0
FIRST FINL BANCORP OH,5494,315267,315267,0,0
FIRST FINL BANKSHARES,50691,766763,725562,0,41201
FIRST FINL CORP IND,800,21877,21877,0,0
FIRST FINL HLDGS INC NEW,44391,667434,628980,0,38454
FIRST HORIZON NATL CORP,24525,2105214,2082718,0,22496
FIRST INDUSTRIAL REALTY TRUS,5216,298888,298615,273,0
FIRST INTST BANCSYSTEM INC,5470,192815,192815,0,0
FIRST LONG IS CORP,11310,263815,246961,0,16854
FIRST MAJESTIC SILVER CORP,1284,130947,130947,0,0
FIRST MARBLEHEAD CORP,413,55865,55865,0,0
FIRST MERCHANTS CORP,1719,75652,75652,0,0
FIRST MIDWEST BANCORP DEL,34735,1981409,1882651,0,98758
FIRST NIAGARA FINL GP INC,16968,1597782,1592582,0,5200
FIRST POTOMAC RLTY TR,918,78978,78978,0,0
FIRST REP BK SAN FRANCISCO C,247414,4726148,4609854,15756,100538
FIRST SEC GROUP INC,242,105316,105316,0,0
FIRST SOLAR INC,15577,285085,267835,2822,14428
FIRST SOUTH BANCORP INC VA,228,29273,29273,0,0
FIRST TR ABERDEEN GLBL OPP F,258,18392,18392,0,0
FIRST TR EXCH TRD ALPHA FD I,4050,117501,117501,0,0
FIRST TR EXCHANGE TRADED FD,100357,2156573,2107073,0,49500
FIRST TR EXCNGE TRD ALPHADEX,1930,68767,68767,0,0
FIRST TR HIGH INCOME L/S FD,759,44091,44091,0,0
FIRST TR ISE GLB WIND ENRG E,252,22170,22170,0,0
FIRST TR ISE GLOBL COPPR IND,556,24956,24956,0,0
FIRST TR ISE REVERE NAT GAS,1802,92422,91822,0,600
FIRST TR LRG CP GRWTH ALPHAD,2535,61896,61896,0,0
FIRST TR LRG CP VL ALPHADEX,1288,32044,32044,0,0
FIRST TR MULTI CAP VALUE ALP,2766,61273,61273,0,0
FIRST TR NAS100 EQ WEIGHTED,440,12100,0,0,12100
FIRST TR S&P REIT INDEX FD,2526,144041,144041,0,0
FIRST TR VALUE LINE DIVID IN,1241,57991,57991,0,0
FIRSTENERGY CORP,347651,10541283,10327526,51939,161818
FIRSTMERIT CORP,15758,708851,706934,0,1917
FIRSTSERVICE CORP,1074,24955,24955,0,0
FISERV INC,57111,967180,944184,5321,17675
FIVE BELOW INC,82869,1918366,1566161,9698,342507
FIVE PRIME THERAPEUTICS INC,8042,478966,478966,0,0
FIVE STAR QUALITY CARE INC,722,131560,131514,0,46
FLEETCOR TECHNOLOGIES INC,138424,1181394,1146030,6430,28934
FLEETMATICS GROUP PLC,78,1792,1792,0,0
FLEXTRONICS INTL LTD,20349,2618837,1895540,45048,678249
FLIR SYS INC,23146,768957,768957,0,0
FLOTEK INDS INC DEL,2045,101900,101900,0,0
FLOW INTL CORP,346,85769,85769,0,0
FLOWERS FOODS INC,6839,318519,318519,0,0
FLOWSERVE CORP,41610,527850,527850,0,0
FLUIDIGM CORP DEL,1809,47250,47250,0,0
FLUOR CORP NEW,60412,752410,618723,0,133687
FLUSHING FINL CORP,24940,1204793,1131384,0,73409
FMC TECHNOLOGIES INC,28615,548062,548062,0,0
FNB CORP PA,6986,553601,553601,0,0
FOMENTO ECONOMICO MEXICANO S,56960,581998,581998,0,0
FOOT LOCKER INC,17074,412007,412007,0,0
FORCEFIELD ENERGY,92,15483,15483,0,0
FORD MTR CO DEL,260562,16886688,15868285,14700,1003703
FOREST CITY ENTERPRISES INC,9857,516070,515656,414,0
FOREST LABS INC,44828,746769,741569,0,5200
FOREST OIL CORP,5231,1449037,1449037,0,0
FORESTAR GROUP INC,1823,85720,85720,0,0
FORMFACTOR INC,595,99031,99031,0,0
FORRESTER RESH INC,2209,57743,57743,0,0
FORTINET INC,6029,315172,315172,0,0
FORTRESS INVESTMENT GROUP LL,31818,3717036,3703036,0,14000
FORTUNA SILVER MINES INC,69,24000,24000,0,0
FORTUNE BRANDS HOME & SEC IN,21659,473930,473930,0,0
FORUM ENERGY TECHNOLOGIES IN,59180,2094142,1968546,0,125596
FORWARD AIR CORP,43639,993814,935829,0,57985
FOSSIL GROUP INC,63150,526509,430609,8586,87314
FOSTER L B CO,795,16817,16817,0,0
FOSTER WHEELER AG,3621,109737,109737,0,0
FOUNDATION MEDICINE INC,3658,153563,153563,0,0
FRANCESCAS HLDGS CORP,2490,135337,135337,0,0
FRANCO NEVADA CORP,3688,90520,90520,0,0
FRANKLIN COVEY CO,1079,54261,54261,0,0
FRANKLIN ELEC INC,3976,89075,89075,0,0
FRANKLIN RES INC,101610,1760087,1558273,0,201814
FRANKLIN STREET PPTYS CORP,4599,384833,384675,158,0
FRANKS INTL N V,229,8471,8471,0,0
FREDS INC,4364,236126,236126,0,0
FREEPORT-MCMORAN COPPER & GO,209554,5552572,5252911,0,299661
FREESCALE SEMICONDUCTOR LTD,1783,111067,111067,0,0
FRESENIUS MED CARE AG&CO KGA,76646,2154189,2154189,0,0
FRESH DEL MONTE PRODUCE INC,2584,91305,91305,0,0
FRESH MKT INC,1418,35006,26556,0,8450
FRONTIER COMMUNICATIONS CORP,33935,7297786,7268143,0,29643
FRONTLINE LTD,761,203291,203291,0,0
FTD COS INC,4754,145913,145913,0,0
FTI CONSULTING INC,3982,96783,96783,0,0
FUEL SYS SOLUTIONS INC,227,16368,16368,0,0
FUEL TECH INC,134,18891,18891,0,0
FUELCELL ENERGY INC,130,91970,91970,0,0
FULLER H B CO,22235,427256,409702,0,17554
FULTON FINL CORP PA,5315,406231,406231,0,0
FURIEX PHARMACEUTICALS INC,727,17315,17235,0,80
FURMANITE CORPORATION,885,83308,83308,0,0
FUSION-IO INC,1483,166418,166418,0,0
FUTUREFUEL CORPORATION,1487,94109,94109,0,0
FX ENERGY INC,287,78319,78319,0,0
FXCM INC,3256,182538,182538,0,0
G & K SVCS INC,50056,804362,760612,0,43750
G-III APPAREL GROUP LTD,3142,42484,42484,0,0
GABELLI DIVD & INCOME TR,222,10013,10013,0,0
GAFISA S A,337,107594,107594,0,0
GAIAM INC,392,59146,59146,0,0
GAIN CAP HLDGS INC,2129,283386,283386,0,0
GALENA BIOPHARMA INC,7,1355,1355,0,0
GALLAGHER ARTHUR J & CO,92552,1972125,1906635,0,65490
GAMCO INVESTORS INC,4500,51740,51740,0,0
GAMESTOP CORP NEW,115580,2346339,2033880,29727,282732
GAMING & LEISURE PPTYS INC,91823,1807181,1807181,0,0
GANNETT INC,30176,1020154,1015022,0,5132
GAP INC DEL,179148,4584129,4274052,52355,257722
GARMIN LTD,78532,1700195,1474039,20875,205281
GARTNER INC,16212,228185,227428,0,757
GASLOG LTD,243,14240,14240,0,0
GASTAR EXPL INC,335,48472,48472,0,0
GATX CORP,4630,88764,88764,0,0
GAZIT GLOBE LTD,2590,193072,193072,0,0
GENCO SHIPPING & TRADING LTD,10,4034,4034,0,0
GENCORP INC,2567,142428,142428,0,0
GENERAC HLDGS INC,3934,69451,69451,0,0
GENERAL AMERN INVS INC,8330,236654,236654,0,0
GENERAL CABLE CORP DEL NEW,4453,151422,151422,0,0
GENERAL COMMUNICATION INC,1437,128873,128873,0,0
GENERAL DYNAMICS CORP,188046,1968038,1929080,0,38958
GENERAL ELECTRIC CO,1999533,71335445,57708735,624865,13001845
GENERAL FIN CORP DEL,100,16621,16621,0,0
GENERAL GROWTH PPTYS INC NEW,76998,3836442,3006598,8719,821125
GENERAL MLS INC,95769,1918849,1895844,0,23005
GENERAL MOLY INC,117,87226,87226,0,0
GENERAL MTRS CO,427642,12417312,12253245,0,164067
GENESCO INC,6072,83117,83117,0,0
GENESEE & WYO INC,12035,119982,119982,0,0
GENESIS ENERGY L P,242639,4615551,4615551,0,0
GENIE ENERGY LTD,2803,274515,274515,0,0
GENOMIC HEALTH INC,5079,173517,173517,0,0
GENPACT LIMITED,1241,67515,67515,0,0
GENTEX CORP,12971,393307,393307,0,0
GENTHERM INC,19388,723133,723133,0,0
GENTIVA HEALTH SERVICES INC,1217,98109,98109,0,0
GENUINE PARTS CO,49794,598556,597127,0,1429
GENWORTH FINL INC,194867,12547788,12472009,0,75779
GEO GROUP INC,18521,574833,574833,0,0
GEOSPACE TECHNOLOGIES CORP,22665,239499,239499,0,0
GERDAU S A,16461,2099605,1162590,0,937015
GERON CORP,3874,817305,817305,0,0
GETTY RLTY CORP NEW,2931,159586,159586,0,0
GEVO INC,208,145379,145379,0,0
GFI GROUP INC,453,115826,115826,0,0
GIANT INTERACTIVE GROUP INC,2315,206004,206004,0,0
GIBRALTAR INDS INC,1814,97592,97592,0,0
GIGAMON INC,233,8315,7915,0,400
GIGOPTIX INC,87,56552,56552,0,0
GILDAN ACTIVEWEAR INC,5766,108166,108166,0,0
GILEAD SCIENCES INC,983764,13099390,12651011,45100,403279
GIVEN IMAGING,4251,141332,141332,0,0
GLACIER BANCORP INC NEW,65544,2200202,2080727,0,119475
GLADSTONE CAPITAL CORP,1007,105237,105237,0,0
GLADSTONE COML CORP,309,17182,17182,0,0
GLADSTONE INVT CORP,394,48839,48839,0,0
GLATFELTER,4227,152917,152917,0,0
GLAXOSMITHKLINE PLC,102427,1918462,1705203,0,213259
GLIMCHER RLTY TR,2762,295039,294663,376,0
GLOBAL BRASS & COPPR HLDGS I,377,22793,22793,0,0
GLOBAL CASH ACCESS HLDGS INC,904,90474,90474,0,0
GLOBAL EAGLE ENTMT INC,819,55105,55105,0,0
GLOBAL GEOPHYSICAL SVCS INC,254,157587,157587,0,0
GLOBAL HIGH INCOME FUND INC,178,17917,17917,0,0
GLOBAL INDEMNITY PLC,964,38113,38113,0,0
GLOBAL PMTS INC,88823,1366719,1357977,0,8742
GLOBAL TELECOM & TECHNOLGY I,341,46704,46704,0,0
GLOBAL X FDS,5067,234338,234338,0,0
GLOBE SPECIALTY METALS INC,39370,2185974,2084987,0,100987
GLOBUS MED INC,18430,913292,913292,0,0
GLU MOBILE INC,361,92942,92942,0,0
GNC HLDGS INC,49931,854246,807369,0,46877
GOGO INC,2925,117826,117826,0,0
GOL LINHAS AEREAS INTLG S A,1182,258687,258687,0,0
GOLAR LNG LTD BERMUDA,12401,341717,341717,0,0
GOLAR LNG PARTNERS LP,78616,2598871,2598871,0,0
GOLD FIELDS LTD NEW,2548,796350,796350,0,0
GOLD RESOURCE CORP,390,86278,86278,0,0
GOLDCORP INC NEW,56703,2616665,2602765,0,13900
GOLDEN MINERALS CO,91,193577,193577,0,0
GOLDEN STAR RES LTD CDA,447,1015597,1015597,0,0
GOLDMAN SACHS GROUP INC,17828,380543,380543,0,0
GOLUB CAP BDC INC,13545,708774,667522,0,41252
GOODRICH PETE CORP,11064,650048,650048,0,0
GOODYEAR TIRE & RUBR CO,28050,849631,849631,0,0
GOOGLE INC,2434203,2172019,1704684,6068,461267
GORDMANS STORES INC,102,13278,13278,0,0
GORMAN RUPP CO,920,27510,27510,0,0
GOVERNMENT PPTYS INCOME TR,50322,2025028,2025028,0,0
GP STRATEGIES CORP,1149,38577,38577,0,0
GPO AEROPORTUARIO DEL PAC SA,4791,90023,90023,0,0
GRACE W R & CO DEL NEW,83792,847497,637120,0,210377
GRACO INC,197432,2527292,2428617,14217,84458
GRAFTECH INTL LTD,2251,200425,146325,0,54100
GRAHAM CORP,212,5839,5839,0,0
GRAHAM HLDGS CO,21592,32551,30975,716,860
GRAINGER W W INC,147329,576808,490714,2792,83302
GRAN TIERRA ENERGY INC,2543,347804,347804,0,0
GRAND CANYON ED INC,1951,44752,44752,0,0
GRANITE CONSTR INC,2081,59495,59495,0,0
GRANITE REAL ESTATE INVT TR,2170,59465,59465,0,0
GRAPHIC PACKAGING HLDG CO,49347,5140335,4846826,0,293509
GRAY TELEVISION INC,2032,136527,136527,0,0
GREAT LAKES DREDGE & DOCK CO,226,24547,24547,0,0
GREAT PANTHER SILVER LTD,145,198406,198406,0,0
GREAT PLAINS ENERGY INC,7239,298626,290526,0,8100
GREAT SOUTHN BANCORP INC,789,25933,25933,0,0
GREATBATCH INC,4410,99677,99677,0,0
GREEN DOT CORP,3686,146525,146525,0,0
GREEN MTN COFFEE ROASTERS IN,392909,5201334,4988079,13111,200144
GREEN PLAINS RENEWABLE ENERG,5600,288970,288970,0,0
GREENBRIER COS INC,5524,168217,168217,0,0
GREENHILL & CO INC,5154,88966,88966,0,0
GREENLIGHT CAPITAL RE LTD,1906,56536,56536,0,0
GREIF INC,2413,46039,46039,0,0
GRIFFON CORP,76742,5809380,5809380,0,0
GRIFOLS S A,65125,1803019,1803019,0,0
GROUP 1 AUTOMOTIVE INC,9908,139519,139519,0,0
GROUPE CGI INC,3228,96456,96456,0,0
GROUPON INC,4124,350471,350471,0,0
GRUPO AEROPORTUARIO DEL SURE,8195,65755,65755,0,0
GRUPO FINANCIERO GALICIA S A,385,36846,36846,0,0
GRUPO FINANCIERO SANTANDER M,39810,2918583,2918583,0,0
GRUPO TELEVISA SA,44568,1472834,1472834,0,0
